Time (sec),AF Correction 1 (%),AF Correction 3 (%),AF Sens 1 Curr (mA),AF Sens 1 Ratio (AFR),AVCS Exh Table (°),AVCS In Table (°),Accel Position (%),Battery Volts (V),Boost Extended (psi),CL Fuel Target (AFR),CL Fuel Target Table (AFR),CPC Purge Valve Duty (%),Calculated Load (g/rev),Catalyst Temp (F),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv Base Table (°),Dynamic Adv Lrn (°),EGR Estimate (steps),Engine Start Mode (mode),Feedback Knock (°),Fine Knock Learn (°),Fuel Econ Corr (mult),Fuel Pressure (psi),Fuel Pressure Target (psi),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF Corr Final (g/s),MAF Table (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),Per Gear Boost (%),Primary Ign (°),RPM (RPM),Req Torque (Nm),TD Boost Error Ext (psi),TGV Map Ratio (mult),TPS Duty (%),Target Boost Final Abs Ext (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.4.0-17408][2016 USDM WRX MT COBB Custom Features Gen2][Reflash: Stage2+BigSF 91 v361 LWG.ptm - Realtime: Stage2+BigSF 91 v361 LWG.ptm]
0.000,7.03,-0.78,0.00,15.19,0.00,-10.42,0.0,13.76,-10.02,14.87,14.73,0.0,0.17,705.6,15.81,192,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,395,438,71.8,4,7.00,0.35,75,2.42,2.26,0.74,3.04,201,0.0,16.50,818,0.00,5.57,0.000,-34.38,8.61,4.7,16,0.00,0
0.035,7.03,-0.78,0.00,15.22,0.00,-10.43,0.0,13.76,-10.02,14.87,14.73,0.0,0.17,705.6,15.81,192,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,409,438,71.8,4,7.00,0.35,75,2.42,2.21,0.72,3.04,201,0.0,16.50,821,0.00,5.56,0.000,-32.81,8.59,4.7,16,0.00,0
0.039,7.03,-0.78,0.00,15.21,0.00,-10.45,0.0,13.60,-10.04,14.87,14.73,0.0,0.17,705.6,15.81,192,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,402,438,71.8,4,7.00,0.35,75,2.43,2.19,0.74,3.03,201,0.0,16.50,823,0.00,5.56,0.000,-32.81,8.59,4.7,16,0.00,0
0.064,7.03,-0.78,0.00,15.19,0.00,-10.46,0.0,13.68,-10.04,14.87,14.73,0.0,0.17,705.5,15.81,192,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,387,438,71.8,4,7.00,0.35,75,2.43,2.10,0.70,3.03,201,0.0,16.50,824,0.00,5.56,0.000,-32.81,8.57,4.7,16,0.00,0
0.068,7.03,-0.78,0.00,15.21,0.00,-10.46,0.0,13.68,-10.04,14.87,14.73,0.0,0.17,705.5,15.81,192,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,406,438,71.8,4,7.00,0.35,75,2.43,2.07,0.70,3.03,201,0.0,16.50,825,0.00,5.56,0.000,-32.81,8.57,4.7,16,0.00,0
0.094,7.03,-0.78,0.00,15.17,0.00,-10.46,0.0,13.60,-10.04,14.88,14.73,0.0,0.17,705.5,15.88,192,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,408,438,71.8,4,7.00,0.35,75,2.42,2.19,0.70,3.02,201,0.0,16.50,824,0.00,5.56,0.000,-32.81,8.58,4.7,16,0.00,0
0.111,7.03,-0.78,0.00,15.15,0.00,-10.46,0.0,13.68,-10.05,14.88,14.73,0.0,0.17,705.5,15.88,192,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,395,438,71.8,4,7.00,0.35,75,2.42,2.33,0.74,3.03,201,0.0,16.50,824,0.00,5.57,0.000,-32.81,8.57,4.7,16,0.00,0
0.129,6.25,-0.78,0.00,15.14,0.00,-10.48,0.0,13.76,-10.05,14.88,14.73,0.0,0.17,705.5,15.88,192,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,399,438,71.8,4,7.00,0.35,75,2.42,2.55,0.78,3.04,201,0.0,16.50,827,0.00,5.56,0.000,-30.47,8.57,4.7,16,0.00,0
0.149,6.25,-0.78,0.00,15.13,0.00,-10.48,0.0,13.76,-10.04,14.88,14.73,0.0,0.17,705.5,15.88,192,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,398,438,71.8,4,7.00,0.35,75,2.43,2.67,0.78,3.01,201,0.0,16.50,829,0.00,5.54,0.000,-30.47,8.55,4.7,16,0.00,0
0.166,6.25,-0.78,0.00,15.10,0.00,-10.57,0.0,13.68,-10.06,14.88,14.73,0.0,0.17,705.3,15.88,192,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,397,438,71.8,4,7.00,0.36,75,2.45,2.55,0.80,3.01,201,0.0,17.00,846,0.00,5.51,0.000,-32.03,8.51,4.7,16,0.00,0
