Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Curr (mA),AF Sens 1 Ratio (AFR),AVCS Exh Table (°),AVCS In Table (°),Accel Position (%),Battery Volts (V),Boost Extended (psi),CL Fuel Target (AFR),CL Fuel Target Table (AFR),CPC Purge Valve Duty (%),Calculated Load (g/rev),Catalyst Temp (F),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv (°),Dynamic Adv Base Table (°),Dynamic Adv Lrn (°),EGR Estimate (steps),Engine Start Mode (mode),Ethanol Final (%),Feedback Knock (°),Fine Knock Learn (°),Fuel Econ Corr (mult),Fuel Pressure (psi),Fuel Pressure Target (psi),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),Knock Sum (count),MAF Corr Final (g/s),MAF Table (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),Per Gear Boost (%),Primary Ign (°),RPM (RPM),Req Torque (Nm),TD Boost Error Ext (psi),TGV Map Ratio (mult),TPS Duty (%),TPS Volts Main (V),Target Boost Final Abs Ext (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.4.0-17408][2016 USDM WRX MT COBB Custom Features Gen2][Reflash: Stage1+BigSF 91 v361 LWG.ptm - Realtime: Stage1+BigSF 91 v361 LWG.ptm]
0.000,0.78,7.03,-0.38,13.83,0.00,-10.40,0.0,13.44,-9.62,13.74,14.73,0.0,0.18,822.5,14.87,190,0.812,0.00,0.00,0.00,0.0,2.0,0.0,0.00,0.00,1.000,382,438,71.8,0,6.00,0.46,91,15,2.23,2.00,0.72,3.30,205,0.0,17.00,725,0.00,5.42,0.000,-28.12,0.68,8.71,5.5,8,0.00,0
0.016,0.78,7.03,-0.38,13.83,0.00,-10.40,0.0,13.44,-9.62,13.74,14.73,0.0,0.18,822.5,14.87,190,0.812,0.00,0.00,0.00,0.0,2.0,0.0,0.00,0.00,1.000,391,438,71.8,2,6.00,0.46,91,15,2.23,2.00,0.68,3.31,205,0.0,17.00,725,0.00,5.42,0.000,-28.91,0.68,8.71,5.1,7,0.00,0
0.057,0.78,7.03,-0.38,13.85,0.00,-10.40,0.0,13.36,-9.61,13.74,14.73,0.0,0.18,821.9,14.87,190,0.812,0.00,0.00,0.00,0.0,2.0,0.0,0.00,0.00,1.000,388,438,71.8,2,6.00,0.46,91,15,2.23,2.03,0.68,3.31,205,0.0,17.00,724,0.00,5.42,0.000,-29.69,0.68,8.71,5.1,7,0.00,0
0.061,1.56,7.03,-0.38,13.86,0.00,-10.40,0.0,13.36,-9.61,13.74,14.73,0.0,0.18,821.9,14.87,190,0.812,0.00,0.00,0.00,0.0,2.0,0.0,0.00,0.00,1.000,393,438,71.8,2,6.00,0.46,91,15,2.22,2.12,0.70,3.31,205,0.0,17.00,724,0.00,5.42,0.000,-32.03,0.68,8.71,5.1,7,0.00,0
0.087,1.56,7.03,-0.38,13.86,0.00,-10.40,0.0,13.36,-9.62,13.74,14.73,0.0,0.18,821.9,14.87,190,0.812,0.00,0.00,0.00,0.0,2.0,0.0,0.00,0.00,1.000,378,438,71.8,2,6.00,0.46,91,15,2.22,2.05,0.70,3.31,205,0.0,17.00,724,0.00,5.41,0.000,-32.03,0.68,8.71,5.1,7,0.00,0
0.123,1.56,7.03,-0.38,13.90,0.00,-10.40,0.0,13.44,-9.61,13.74,14.73,0.0,0.18,821.9,14.87,190,0.812,0.00,0.00,0.00,0.0,2.0,0.0,0.00,0.00,1.000,378,438,71.8,2,6.00,0.46,91,15,2.22,2.03,0.68,3.32,205,0.0,17.00,725,0.00,5.42,0.000,-32.03,0.68,8.71,5.1,7,0.00,0
0.128,1.56,7.03,-0.38,13.90,0.00,-10.40,0.0,13.44,-9.60,13.74,14.73,0.0,0.18,821.9,14.87,190,0.812,0.00,0.00,0.00,0.0,2.0,0.0,0.00,0.00,1.000,388,438,71.8,2,6.00,0.46,91,15,2.22,1.98,0.68,3.32,205,0.0,17.00,723,0.00,5.41,0.000,-32.03,0.68,8.71,5.1,7,0.00,0
0.133,1.56,7.03,-0.38,13.89,0.00,-10.40,0.0,13.36,-9.60,13.74,14.73,0.0,0.18,821.3,14.87,190,0.812,0.00,0.00,0.00,0.0,2.0,0.0,0.00,0.00,1.000,386,438,71.8,2,6.00,0.46,91,15,2.21,2.02,0.68,3.34,205,0.0,17.00,722,0.00,5.39,0.000,-33.59,0.68,8.71,5.1,7,0.00,0
0.139,1.56,7.03,-0.38,13.92,0.00,-10.40,0.0,13.36,-9.59,13.74,14.73,0.0,0.18,821.3,14.87,190,0.812,0.00,0.00,0.00,0.0,2.0,0.0,0.00,0.00,1.000,390,438,71.8,2,6.00,0.46,91,15,2.21,2.03,0.68,3.34,205,0.0,17.00,722,0.00,5.40,0.000,-34.38,0.68,8.71,5.1,6,0.00,0
0.173,1.56,7.03,-0.38,13.92,0.00,-10.40,0.0,13.36,-9.60,13.74,14.73,0.0,0.18,821.3,14.87,190,0.812,0.00,0.00,0.00,0.0,2.0,0.0,0.00,0.00,1.000,381,438,71.8,2,6.00,0.46,91,15,2.21,2.05,0.68,3.34,205,0.0,17.00,721,0.00,5.39,0.000,-34.38,0.68,8.71,5.1,6,0.00,0
0.180,1.56,7.03,-0.38,13.92,0.00,-10.40,0.0,14.08,-9.59,13.74,14.73,0.0,0.18,821.3,14.87,190,0.812,0.00,0.00,0.00,0.0,2.0,0.0,0.00,0.00,1.000,379,438,71.8,2,6.00,0.46,91,15,2.21,2.02,0.70,3.34,205,0.0,17.00,721,0.00,5.39,0.000,-28.91,0.68,8.71,5.1,6,0.00,0
