Time (sec),AF Correction 1 (%),AF Correction 3 (%),AF Sens 1 Curr (mA),AF Sens 1 Ratio (AFR),AVCS Exh Table (°),AVCS In Table (°),Accel Position (%),Battery Volts (V),Boost Extended (psi),CL Fuel Target (AFR),CL Fuel Target Table (AFR),CPC Purge Valve Duty (%),Calculated Load (g/rev),Catalyst Temp (F),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv Base Table (°),Dynamic Adv Lrn (°),EGR Estimate (steps),Engine Start Mode (mode),Feedback Knock (°),Fine Knock Learn (°),Fuel Econ Corr (mult),Fuel Pressure (psi),Fuel Pressure Target (psi),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF Corr Final (g/s),MAF Table (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),Per Gear Boost (%),Primary Ign (°),RPM (RPM),Req Torque (Nm),TD Boost Error Ext (psi),TGV Map Ratio (mult),TPS Duty (%),Target Boost Final Abs Ext (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.4.0-17408][2016 USDM WRX MT COBB Custom Features Gen2][Reflash: Stage2+BigSF 91 v361 LWG.ptm - Realtime: Stage2+BigSF 91 v361 LWG.ptm]
0.000,0.00,0.00,0.00,14.70,0.00,-10.70,0.0,14.00,-8.75,14.70,14.73,0.0,0.22,251.6,15.55,194,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,396,438,88.6,0,4.00,0.48,75,2.85,2.52,0.78,4.34,195,0.0,18.50,747,0.00,4.38,0.000,-32.81,8.71,5.5,0,0.00,0
0.025,0.00,0.00,0.00,14.70,0.00,-10.70,0.0,14.00,-8.77,14.70,14.73,0.0,0.22,252.4,15.55,194,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,396,438,88.6,0,3.50,0.48,75,2.83,2.55,0.78,4.31,195,0.0,18.50,745,0.00,4.40,0.000,-34.38,8.71,5.5,0,0.00,0
0.032,0.00,0.00,0.00,14.70,0.00,-10.70,0.0,14.16,-8.81,14.70,14.73,0.0,0.22,252.4,15.55,194,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,402,438,88.6,0,3.50,0.48,75,2.80,2.64,0.80,4.27,195,0.0,18.50,739,0.00,4.43,0.000,-25.00,8.71,5.5,0,0.00,0
0.039,0.00,0.00,0.00,14.70,0.00,-10.70,0.0,14.00,-8.83,14.70,14.73,0.0,0.22,252.4,15.55,194,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,388,438,88.6,0,3.50,0.47,75,2.79,2.73,0.80,4.24,195,0.0,18.50,736,0.00,4.47,0.000,-35.94,8.71,5.5,0,0.00,0
0.043,0.00,0.00,0.00,14.70,0.00,-10.70,0.0,14.00,-8.87,14.70,14.73,0.0,0.22,252.4,15.55,194,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,394,438,88.6,0,3.50,0.47,75,2.78,2.64,0.80,4.20,195,0.0,18.50,736,0.00,4.52,0.000,-36.72,8.71,5.5,0,0.00,0
0.069,0.00,0.00,0.00,14.70,0.00,-10.70,0.0,14.16,-8.86,14.70,14.73,0.0,0.22,253.1,15.55,194,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,410,438,88.6,0,3.50,0.47,75,2.78,2.70,0.80,4.20,195,0.0,18.50,737,0.00,4.52,0.000,-20.31,8.71,5.5,0,0.00,0
0.074,0.00,0.00,0.00,14.70,0.00,-10.70,0.0,14.00,-8.88,14.70,14.73,0.0,0.22,253.1,15.55,194,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,401,438,88.6,0,3.50,0.47,75,2.77,2.64,0.80,4.18,195,0.0,18.50,734,0.00,4.54,0.000,-30.47,8.71,5.5,0,0.00,0
0.099,0.00,0.00,0.00,14.70,0.00,-10.70,0.0,14.00,-8.88,14.70,14.73,0.0,0.22,253.1,15.55,194,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,406,438,88.6,0,3.50,0.47,75,2.77,2.73,0.80,4.17,195,0.0,18.50,734,0.00,4.52,0.000,-30.47,8.71,5.5,0,0.00,0
0.104,0.00,0.00,0.00,14.70,0.00,-10.70,0.0,14.00,-8.89,14.70,14.73,0.0,0.22,253.1,15.55,194,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,399,438,88.6,0,3.50,0.47,75,2.76,2.76,0.82,4.17,195,0.0,18.50,726,0.00,4.54,0.000,-35.94,8.71,5.9,0,0.00,0
0.148,0.00,0.00,0.00,14.70,0.00,-10.70,0.0,14.08,-8.91,14.70,14.73,0.0,0.22,253.1,15.55,194,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,397,438,88.6,0,4.00,0.46,75,2.75,2.86,0.82,4.17,195,0.0,18.50,724,0.00,4.56,0.000,-21.09,8.71,5.9,0,0.00,0
0.162,0.00,0.00,0.00,14.70,0.00,-10.70,0.0,14.16,-8.90,14.70,14.73,0.0,0.22,253.9,15.55,194,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,402,438,88.6,0,4.00,0.46,75,2.75,2.99,0.84,4.18,195,0.0,18.50,724,0.00,4.55,0.000,-29.69,8.71,5.9,0,0.00,0
0.177,0.00,0.00,0.00,14.70,0.00,-10.70,0.0,14.00,-8.90,14.70,14.73,0.0,0.22,253.9,15.55,194,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,399,438,88.6,0,4.50,0.46,75,2.75,2.86,0.84,4.18,195,0.0,18.50,722,0.00,4.55,0.000,-34.38,8.71,5.9,0,0.00,0
0.184,0.00,0.00,0.00,14.70,0.00,-10.70,0.0,14.00,-8.88,14.70,14.73,0.0,0.22,253.9,15.55,194,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,405,438,88.6,0,4.50,0.46,75,2.75,2.83,0.84,4.19,195,0.0,18.50,721,0.00,4.54,0.000,-34.38,8.71,5.9,0,0.00,0
0.219,0.00,0.00,0.00,14.70,0.00,-10.70,0.0,14.00,-8.87,14.70,14.73,0.0,0.22,253.9,15.55,194,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,403,438,88.6,0,5.00,0.46,75,2.76,2.73,0.82,4.21,195,0.0,18.50,722,0.00,4.53,0.000,-28.91,8.71,5.9,0,0.00,0
0.255,0.00,0.00,0.00,14.70,0.00,-10.70,0.0,14.00,-8.86,14.70,14.73,0.0,0.22,253.9,15.55,194,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,397,438,88.6,0,4.50,0.46,75,2.77,2.99,0.84,4.23,195,0.0,18.50,724,0.00,4.51,0.000,-29.69,8.71,5.9,0,0.00,0
