Time (sec),AF Correction 1 (%),AF Correction 3 (%),AF Sens 1 Curr (mA),AF Sens 1 Ratio (AFR),AVCS Exh Table (°),AVCS In Table (°),Accel Position (%),Battery Volts (V),Boost Extended (psi),CL Fuel Target (AFR),CL Fuel Target Table (AFR),CPC Purge Valve Duty (%),Calculated Load (g/rev),Catalyst Temp (F),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv Base Table (°),Dynamic Adv Lrn (°),EGR Estimate (steps),Engine Start Mode (mode),Feedback Knock (°),Fine Knock Learn (°),Fuel Econ Corr (mult),Fuel Pressure (psi),Fuel Pressure Target (psi),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF Corr Final (g/s),MAF Table (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),Per Gear Boost (%),Primary Ign (°),RPM (RPM),Req Torque (Nm),TD Boost Error Ext (psi),TGV Map Ratio (mult),TPS Duty (%),Target Boost Final Abs Ext (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.4.0-17408][2016 USDM WRX MT COBB Custom Features Gen2][Reflash: Stage2 91 v361.ptm - Realtime: Stage2 91 v361.ptm]
0.000,0.00,0.00,0.00,14.70,0.00,-10.65,0.0,14.00,-9.42,14.70,14.73,0.0,0.21,219.8,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,414,438,88.6,0,6.50,0.52,113,2.95,2.93,0.90,3.64,178,0.0,18.00,808,0.00,4.83,0.000,-28.91,8.46,5.9,1,0.00,0
0.038,0.00,0.00,0.00,14.70,0.00,-10.64,0.0,14.16,-9.44,14.70,14.73,0.0,0.21,219.8,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,421,438,88.6,0,6.50,0.52,113,2.95,2.96,0.90,3.65,178,0.0,18.00,807,0.00,4.85,0.000,-26.56,8.46,5.9,1,0.00,0
0.062,0.00,0.00,0.00,14.70,0.00,-10.64,0.0,14.16,-9.42,14.70,14.73,0.0,0.21,220.8,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,425,438,88.6,0,6.50,0.52,113,2.94,2.96,0.90,3.63,178,0.0,18.00,806,0.00,4.85,0.000,-28.12,8.47,5.9,1,0.00,0
0.068,0.00,0.00,0.00,14.70,0.00,-10.64,0.0,14.00,-9.43,14.70,14.73,0.0,0.21,220.8,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,410,438,88.6,0,6.50,0.52,113,2.95,2.99,0.90,3.63,178,0.0,18.00,806,0.00,4.84,0.000,-25.78,8.47,5.9,1,0.00,0
0.075,0.00,0.00,0.00,14.70,0.00,-10.63,0.0,14.00,-9.42,14.70,14.73,0.0,0.21,220.8,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,425,438,88.6,0,6.50,0.52,113,2.94,2.96,0.90,3.63,178,0.0,18.00,806,0.00,4.85,0.000,-25.78,8.47,5.9,1,0.00,0
0.079,0.00,0.00,0.00,14.70,0.00,-10.65,0.0,14.00,-9.44,14.70,14.73,0.0,0.21,220.8,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,424,438,88.6,0,6.50,0.52,113,2.95,2.96,0.90,3.64,178,0.0,18.00,808,0.00,4.84,0.000,-37.50,8.46,5.9,1,0.00,0
0.111,0.00,0.00,0.00,14.70,0.00,-10.65,0.0,13.92,-9.43,14.70,14.73,0.0,0.21,220.8,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,419,438,88.6,0,6.50,0.52,113,2.94,2.90,0.90,3.64,178,0.0,18.00,808,0.00,4.84,0.000,-31.25,8.46,5.9,1,0.00,0
0.136,0.00,0.00,0.00,14.70,0.00,-10.65,0.0,14.08,-9.44,14.70,14.73,0.0,0.21,221.7,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,419,438,88.6,0,6.50,0.52,113,2.94,2.93,0.88,3.62,178,0.0,18.00,808,0.00,4.84,0.000,-30.47,8.46,5.9,1,0.00,0
0.171,0.00,0.00,0.00,14.70,0.00,-10.65,0.0,14.08,-9.46,14.70,14.73,0.0,0.21,221.7,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,425,438,88.6,0,6.50,0.52,113,2.94,2.90,0.88,3.62,178,0.0,18.00,809,0.00,4.85,0.000,-31.25,8.45,5.9,1,0.00,0
0.193,0.00,0.00,0.00,14.70,0.00,-10.65,0.0,14.08,-9.47,14.70,14.73,0.0,0.21,221.7,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,417,438,88.6,0,6.50,0.52,113,2.94,2.90,0.88,3.62,178,0.0,18.00,809,0.00,4.86,0.000,-31.25,8.45,5.9,1,0.00,0
0.205,0.00,0.00,0.00,14.70,0.00,-10.65,0.0,14.00,-9.47,14.70,14.73,0.0,0.21,221.7,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,423,438,88.6,0,6.50,0.52,113,2.94,2.93,0.88,3.60,179,0.0,18.00,810,0.00,4.85,0.000,-31.25,8.45,5.9,1,0.00,0
0.235,0.00,0.00,0.00,14.70,0.00,-10.66,0.0,14.00,-9.46,14.70,14.73,0.0,0.21,221.7,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,418,438,88.6,0,6.50,0.52,113,2.94,2.88,0.88,3.60,179,0.0,18.00,810,0.00,4.87,0.000,-30.47,8.45,5.9,1,0.00,0
0.250,0.00,0.00,0.00,14.70,0.00,-10.66,0.0,14.00,-9.48,14.70,14.73,0.0,0.21,221.7,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,423,438,88.6,0,6.50,0.52,113,2.94,2.90,0.88,3.59,179,0.0,18.00,810,0.00,4.86,0.000,-30.47,8.45,5.9,1,0.00,0
0.277,0.00,0.00,0.00,14.70,0.00,-10.65,0.0,13.92,-9.48,14.70,14.73,0.0,0.21,222.7,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,425,438,88.6,0,6.50,0.52,113,2.93,2.93,0.88,3.58,179,0.0,18.00,810,0.00,4.87,0.000,-30.47,8.45,5.9,1,0.00,0
0.307,0.00,0.00,0.00,14.70,0.00,-10.65,0.0,13.92,-9.48,14.70,14.73,0.0,0.21,222.7,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,425,438,88.6,0,6.50,0.52,113,2.93,2.88,0.88,3.58,179,0.0,18.00,811,0.00,4.88,0.000,-30.47,8.44,5.9,1,0.00,0
0.343,0.00,0.00,0.00,14.70,0.00,-10.66,0.0,14.08,-9.49,14.70,14.73,0.0,0.21,222.7,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,410,438,88.6,0,6.50,0.52,113,2.93,2.88,0.88,3.57,179,0.0,18.00,811,0.00,4.87,0.000,-28.91,8.44,5.9,1,0.00,0
0.364,0.00,0.00,0.00,14.70,0.00,-10.66,0.0,14.08,-9.49,14.70,14.73,0.0,0.21,222.7,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,418,438,88.6,0,6.50,0.52,113,2.93,2.93,0.88,3.56,179,0.0,18.00,810,0.00,4.89,0.000,-26.56,8.45,5.9,1,0.00,0
0.401,0.00,0.00,0.00,14.70,0.00,-10.66,0.0,13.84,-9.50,14.70,14.73,0.0,0.21,222.7,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,421,438,88.6,0,6.50,0.52,113,2.92,2.93,0.90,3.56,179,0.0,18.00,809,0.00,4.88,0.000,-28.91,8.45,5.9,1,0.00,0
0.433,0.00,0.00,0.00,14.70,0.00,-10.65,0.0,13.84,-9.49,14.70,14.73,0.0,0.21,222.7,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,421,438,88.6,0,6.50,0.52,113,2.92,2.90,0.90,3.56,179,0.0,18.00,808,0.00,4.90,0.000,-28.91,8.46,5.9,1,0.00,0
0.444,0.00,0.00,0.00,14.70,0.00,-10.64,0.0,14.00,-9.51,14.70,14.73,0.0,0.21,223.6,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,412,438,88.6,0,6.50,0.52,113,2.91,2.93,0.90,3.57,179,0.0,18.00,807,0.00,4.92,0.000,-24.22,8.46,5.9,1,0.00,0
0.474,0.00,0.00,0.00,14.70,0.00,-10.64,0.0,14.00,-9.50,14.70,14.73,0.0,0.21,223.6,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,407,438,88.6,0,6.50,0.52,113,2.91,2.96,0.90,3.56,179,0.0,18.00,807,0.00,4.90,0.000,-24.22,8.46,5.9,1,0.00,0
0.489,0.00,0.00,0.00,14.70,0.00,-10.65,0.0,14.00,-9.50,14.70,14.73,0.0,0.21,223.6,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,417,438,88.6,0,6.50,0.52,113,2.92,2.93,0.90,3.56,179,0.0,18.00,809,0.00,4.91,0.000,-25.78,8.45,5.9,1,0.00,0
0.538,0.00,0.00,0.00,14.70,0.00,-10.65,0.0,14.08,-9.50,14.70,14.73,0.0,0.21,223.6,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,415,438,88.6,0,6.50,0.52,113,2.92,2.96,0.90,3.56,179,0.0,18.00,808,0.00,4.91,0.000,-25.00,8.46,5.9,1,0.00,0
0.574,0.00,0.00,0.00,14.70,0.00,-10.64,0.0,14.08,-9.51,14.70,14.73,0.0,0.21,223.6,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,409,438,88.6,0,6.50,0.52,113,2.93,3.02,0.90,3.56,179,0.0,18.00,808,0.00,4.91,0.000,-26.56,8.46,5.9,1,0.00,0
0.607,0.00,0.00,0.00,14.70,0.00,-10.64,0.0,14.00,-9.50,14.70,14.73,0.0,0.21,224.6,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,425,438,88.6,0,6.50,0.52,113,2.93,2.96,0.90,3.56,179,0.0,18.00,808,0.00,4.91,0.000,-27.34,8.46,5.9,1,0.00,0
0.643,0.00,0.00,0.00,14.70,0.00,-10.64,0.0,13.92,-9.50,14.70,14.73,0.0,0.21,224.6,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,410,438,88.6,0,6.50,0.52,113,2.93,2.96,0.90,3.56,179,0.0,18.00,807,0.00,4.91,0.000,-28.91,8.46,5.9,1,0.00,0
0.668,0.00,0.00,0.00,14.70,0.00,-10.64,0.0,13.92,-9.50,14.70,14.73,0.0,0.21,224.6,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,419,438,88.6,0,6.50,0.52,113,2.94,2.96,0.90,3.57,179,0.0,18.00,808,0.00,4.91,0.000,-28.91,8.46,5.9,1,0.00,0
0.706,0.00,0.00,0.00,14.70,0.00,-10.65,0.0,14.00,-9.50,14.70,14.73,0.0,0.21,224.6,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,419,438,88.6,0,6.50,0.52,113,2.94,2.96,0.90,3.58,179,0.0,18.00,807,0.00,4.91,0.000,-28.12,8.46,5.9,1,0.00,0
0.793,0.00,0.00,0.00,14.70,0.00,-10.64,0.0,14.00,-9.50,14.70,14.73,0.0,0.21,224.6,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,410,438,88.6,0,6.50,0.52,113,2.94,2.99,0.90,3.57,179,0.0,18.00,807,0.00,4.91,0.000,-28.12,8.47,5.9,1,0.00,0
0.798,0.00,0.00,0.00,14.70,0.00,-10.64,0.0,14.08,-9.50,14.70,14.73,0.0,0.21,225.6,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,410,438,88.6,0,6.50,0.52,113,2.94,2.93,0.90,3.58,179,0.0,18.00,806,0.00,4.91,0.000,-28.91,8.47,5.9,1,0.00,0
0.838,0.00,0.00,0.00,14.70,0.00,-10.62,0.0,14.00,-9.48,14.70,14.73,0.0,0.21,225.6,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,423,438,88.6,0,6.50,0.51,113,2.93,2.96,0.90,3.58,179,0.0,18.00,804,0.00,4.92,0.000,-26.56,8.48,5.9,1,0.00,0
0.854,0.00,0.00,0.00,14.70,0.00,-10.62,0.0,14.00,-9.49,14.70,14.73,0.0,0.21,225.6,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,425,438,88.6,0,6.50,0.51,113,2.94,2.96,0.90,3.58,179,0.0,18.00,804,0.00,4.92,0.000,-26.56,8.48,5.9,1,0.00,0
0.870,0.00,0.00,0.00,14.70,0.00,-10.62,0.0,14.00,-9.48,14.70,14.73,0.0,0.21,225.6,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,413,438,88.6,0,7.00,0.51,113,2.94,3.02,0.90,3.58,179,0.0,18.00,803,0.00,4.91,0.000,-26.56,8.48,5.9,1,0.00,0
0.951,0.00,0.00,0.00,14.70,0.00,-10.62,0.0,14.00,-9.48,14.70,14.73,0.0,0.21,226.5,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,418,438,88.6,0,7.00,0.51,113,2.94,3.02,0.90,3.59,179,0.0,18.00,804,0.00,4.90,0.000,-26.56,8.48,5.9,1,0.00,0
0.957,0.00,0.00,0.00,14.70,0.00,-10.63,0.0,14.00,-9.47,14.70,14.73,0.0,0.21,226.5,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,428,438,88.6,0,7.00,0.51,113,2.95,3.02,0.90,3.59,179,0.0,18.00,805,0.00,4.89,0.000,-26.56,8.47,5.9,1,0.00,0
1.012,0.00,0.00,0.00,14.70,0.00,-10.63,0.0,14.16,-9.48,14.70,14.73,0.0,0.21,226.5,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,408,438,88.6,0,7.00,0.52,113,2.95,3.02,0.90,3.59,179,0.0,18.00,806,0.00,4.89,0.000,-25.78,8.47,5.9,2,0.00,0
1.040,0.00,0.00,0.00,14.70,0.00,-10.74,0.0,14.08,-9.48,14.70,14.73,0.0,0.22,226.5,15.30,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,410,438,88.6,0,7.00,0.52,113,2.96,3.02,0.90,3.59,179,0.0,18.50,807,0.00,4.88,0.000,-34.38,8.47,5.9,2,0.00,0
1.055,0.00,0.00,0.00,14.70,0.00,-10.73,0.0,14.08,-9.47,14.70,14.73,0.0,0.21,226.5,15.30,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,426,438,88.6,0,7.00,0.52,113,2.96,2.96,0.90,3.59,179,0.0,18.00,807,0.00,4.89,0.000,-34.38,8.47,5.9,2,0.00,0
1.073,0.00,0.00,0.00,14.70,0.00,-10.73,0.0,14.00,-9.48,14.70,14.73,0.0,0.21,227.4,15.30,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,417,438,88.6,0,6.50,0.52,113,2.97,2.96,0.90,3.59,179,0.0,18.00,809,0.00,4.88,0.000,-39.06,8.46,5.9,2,0.00,0
1.110,0.00,0.00,0.00,14.70,0.00,-10.65,0.0,13.92,-9.48,14.70,14.73,0.0,0.21,227.4,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,416,438,88.6,0,6.50,0.52,113,2.96,2.96,0.90,3.60,179,0.0,18.50,808,0.00,4.87,0.000,-31.25,8.45,5.9,2,0.00,0
1.145,0.00,0.00,0.00,14.70,0.00,-10.64,0.0,14.08,-9.48,14.70,14.73,0.0,0.21,227.4,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,429,438,88.6,0,6.50,0.52,113,2.95,2.88,0.88,3.59,179,0.0,18.00,807,0.00,4.89,0.000,-28.91,8.46,5.9,2,0.00,0
1.175,0.00,0.00,0.00,14.70,0.00,-10.64,0.0,14.08,-9.48,14.70,14.73,0.0,0.21,227.4,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,415,438,88.6,0,6.50,0.52,113,2.94,2.93,0.88,3.59,179,0.0,18.00,806,0.00,4.89,0.000,-28.91,8.47,5.9,2,0.00,0
1.190,0.00,0.00,0.00,14.70,0.00,-10.63,0.0,14.08,-9.48,14.70,14.73,0.0,0.21,227.4,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,429,438,88.6,0,7.00,0.52,113,2.94,2.88,0.88,3.59,179,0.0,18.00,806,0.00,4.90,0.000,-28.12,8.47,5.9,2,0.00,0
1.238,0.00,0.00,0.00,14.70,0.00,-10.64,0.0,14.00,-9.48,14.70,14.73,0.0,0.21,228.3,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,418,438,88.6,0,6.50,0.52,113,2.94,2.93,0.88,3.59,179,0.0,18.00,808,0.00,4.88,0.000,-27.34,8.46,5.9,2,0.00,0
1.287,0.00,0.00,0.00,14.70,0.00,-10.65,0.0,13.92,-9.48,14.70,14.73,0.0,0.21,228.3,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,415,438,88.6,0,6.50,0.52,113,2.95,2.90,0.88,3.59,179,0.0,18.00,810,0.00,4.89,0.000,-26.56,8.45,5.9,2,0.00,0
1.313,0.00,0.00,0.00,14.70,0.00,-10.67,0.0,14.00,-9.49,14.70,14.73,0.0,0.21,228.3,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,418,438,88.6,0,6.50,0.52,113,2.95,2.90,0.88,3.57,179,0.0,18.00,812,0.00,4.88,0.000,-28.91,8.44,5.9,2,0.00,0
1.333,0.00,0.00,0.00,14.70,0.00,-10.67,0.0,14.00,-9.50,14.70,14.73,0.0,0.21,228.3,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,411,438,88.6,0,6.50,0.52,113,2.95,2.96,0.88,3.57,179,0.0,18.00,812,0.00,4.87,0.000,-28.91,8.44,5.9,2,0.00,0
1.358,0.00,0.00,0.00,14.70,0.00,-10.67,0.0,14.08,-9.50,14.70,14.73,0.0,0.21,228.3,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,415,438,88.6,0,6.50,0.52,113,2.95,2.96,0.90,3.57,179,0.0,18.00,812,0.00,4.88,0.000,-28.91,8.43,5.9,2,0.00,0
1.383,0.00,0.00,0.00,14.70,0.00,-10.69,0.0,14.08,-9.49,14.70,14.73,0.0,0.21,228.3,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,406,438,88.6,0,6.50,0.52,113,2.96,2.90,0.90,3.57,179,0.0,18.00,815,0.00,4.86,0.000,-28.91,8.42,5.9,2,0.00,0
1.414,0.00,0.00,0.00,14.70,0.00,-10.68,0.0,14.08,-9.51,14.70,14.73,0.0,0.21,229.3,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,410,438,88.6,0,6.50,0.52,113,2.95,2.90,0.90,3.56,179,0.0,18.00,814,0.00,4.87,0.000,-29.69,8.43,5.9,2,0.00,0
1.439,0.00,0.00,0.00,14.70,0.00,-10.68,0.0,13.92,-9.51,14.70,14.73,0.0,0.21,229.3,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,418,438,88.6,0,6.00,0.52,113,2.95,2.90,0.90,3.56,179,0.0,18.00,813,0.00,4.88,0.000,-39.84,8.43,5.9,1,0.00,0
1.485,0.00,0.00,0.00,14.70,0.00,-10.68,0.0,14.00,-9.52,14.70,14.73,0.0,0.21,229.3,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,407,438,88.6,0,6.00,0.52,113,2.94,2.93,0.90,3.56,179,0.0,18.00,813,0.00,4.90,0.000,-28.91,8.43,5.9,1,0.00,0
1.532,0.00,0.00,0.00,14.70,0.00,-10.67,0.0,14.00,-9.52,14.70,14.73,0.0,0.21,229.3,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,404,438,88.6,0,6.00,0.52,113,2.94,2.90,0.90,3.55,179,0.0,18.00,812,0.00,4.91,0.000,-28.91,8.44,5.9,1,0.00,0
1.563,0.00,0.00,0.00,14.70,0.00,-10.67,0.0,14.08,-9.53,14.70,14.73,0.0,0.21,230.2,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,413,438,88.6,0,6.50,0.52,113,2.92,2.93,0.90,3.54,179,0.0,18.00,808,0.00,4.90,0.000,-28.12,8.44,5.9,1,0.00,0
1.593,0.00,0.00,0.00,14.70,0.00,-10.62,0.0,14.08,-9.53,14.70,14.73,0.0,0.21,230.2,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,407,438,88.6,0,6.50,0.52,113,2.92,2.93,0.90,3.54,179,0.0,18.00,804,0.00,4.94,0.000,-28.12,8.46,5.9,1,0.00,0
1.622,0.00,0.00,0.00,14.70,0.00,-10.62,0.0,14.08,-9.53,14.70,14.73,0.0,0.21,230.2,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,414,438,88.6,0,6.50,0.51,113,2.90,2.96,0.90,3.54,179,0.0,18.00,801,0.00,4.97,0.000,-27.34,8.49,5.9,1,0.00,0
1.654,0.00,0.00,0.00,14.70,0.00,-10.60,0.0,14.00,-9.52,14.70,14.73,0.0,0.21,230.2,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,419,438,88.6,0,7.00,0.51,113,2.89,2.93,0.90,3.54,179,0.0,18.00,796,0.00,4.97,0.000,-28.91,8.50,5.9,1,0.00,0
1.669,0.00,0.00,0.00,14.70,0.00,-10.60,0.0,13.92,-9.52,14.70,14.73,0.0,0.21,230.2,15.61,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,404,438,88.6,0,7.00,0.51,113,2.89,2.96,0.90,3.54,179,0.0,18.00,791,0.00,4.97,0.000,-27.34,8.50,5.9,1,0.00,0
1.696,0.00,0.00,0.00,14.70,0.00,-10.70,0.0,13.92,-9.52,14.70,14.73,0.0,0.22,230.2,15.61,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,410,438,88.6,0,7.00,0.51,113,2.89,3.02,0.90,3.56,179,0.0,18.50,787,0.00,4.97,0.000,-27.34,8.50,5.9,1,0.00,0
1.727,0.00,0.00,0.00,14.70,0.00,-10.70,0.0,14.00,-9.50,14.70,14.73,0.0,0.22,231.1,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,410,438,88.6,0,7.50,0.50,113,2.89,3.05,0.90,3.56,179,0.0,18.50,785,0.00,4.95,0.000,-17.97,8.50,5.9,1,0.00,0
1.748,0.00,0.00,0.00,14.70,0.00,-10.70,0.0,14.08,-9.50,14.70,14.73,0.0,0.22,231.1,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,411,438,88.6,0,7.00,0.50,113,2.89,3.05,0.92,3.58,179,0.0,18.50,780,0.00,4.96,0.000,-32.03,8.50,5.9,1,0.00,0
1.777,0.00,0.00,0.00,14.70,0.00,-10.70,0.0,14.08,-9.49,14.70,14.73,0.0,0.22,231.1,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,403,438,88.6,0,7.00,0.50,113,2.89,3.14,0.92,3.60,179,0.0,18.50,774,0.00,4.93,0.000,-32.03,8.50,5.9,1,0.00,0
1.804,0.00,0.00,0.00,14.70,0.00,-10.70,0.0,14.08,-9.46,14.70,14.73,0.0,0.22,231.1,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,405,438,88.6,0,7.50,0.49,113,2.90,3.18,0.92,3.62,179,0.0,18.50,772,0.00,4.91,0.000,-27.34,8.50,6.3,1,0.00,0
1.834,0.00,0.00,0.00,14.70,0.00,-10.70,0.0,13.92,-9.43,14.70,14.73,0.0,0.22,231.1,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,407,438,88.6,0,8.00,0.49,113,2.89,3.14,0.92,3.62,179,0.0,18.50,762,0.00,4.90,0.000,-17.19,8.50,6.3,1,0.00,0
1.849,0.00,0.00,0.00,14.70,0.00,-10.70,0.0,13.92,-9.41,14.70,14.73,0.0,0.22,231.1,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,405,438,88.6,0,8.00,0.49,113,2.89,3.31,0.92,3.66,179,0.0,18.50,754,0.00,4.88,0.000,-17.19,8.50,6.3,1,0.00,0
1.877,0.00,0.00,0.00,14.70,0.00,-10.70,0.0,14.00,-9.38,14.70,14.73,0.0,0.22,232.0,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,408,438,88.6,0,8.50,0.48,113,2.91,3.35,0.94,3.66,179,0.0,18.50,750,0.00,4.83,0.000,-1.56,8.50,7.5,1,0.00,0
1.903,0.00,0.00,0.00,14.70,0.00,-10.80,0.0,14.00,-9.34,14.70,14.73,0.0,0.23,232.0,15.55,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,413,438,88.6,0,8.50,0.48,113,2.96,4.45,0.94,3.72,179,0.0,19.00,735,0.00,4.79,0.000,-1.56,8.50,7.5,1,0.00,0
1.940,0.00,0.00,0.00,14.70,0.00,-10.80,0.0,14.08,-9.18,14.70,14.73,0.0,0.25,232.0,15.36,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,394,438,88.6,0,9.50,0.47,113,3.01,4.81,1.08,3.87,179,0.0,19.50,724,0.00,4.72,0.000,-24.22,8.50,8.3,1,0.00,0
1.956,0.00,0.00,0.00,14.70,0.00,-10.90,0.0,14.08,-9.10,14.70,14.73,0.0,0.25,232.0,15.17,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,418,438,88.6,0,9.50,0.46,113,3.09,5.43,1.14,3.87,179,0.0,19.50,717,0.00,4.54,0.000,-25.00,8.50,8.7,1,0.00,0
1.992,0.00,0.00,0.00,14.70,0.00,-11.00,0.0,13.92,-8.86,14.70,14.73,0.0,0.26,232.0,14.99,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,401,438,88.6,0,10.50,0.75,113,3.10,6.01,1.18,4.43,179,0.0,19.50,699,0.00,4.42,0.000,10.94,8.50,9.4,1,0.00,0
2.015,0.00,0.00,0.00,14.70,0.00,-11.00,0.0,13.92,-8.70,14.70,14.73,0.0,0.26,232.0,15.11,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,419,438,88.6,0,10.50,0.75,113,3.17,6.32,1.18,4.77,179,0.0,19.50,699,0.00,4.31,0.000,10.94,8.50,9.4,1,0.00,0
2.041,0.00,0.00,0.00,14.70,0.00,-11.00,0.0,13.92,-8.58,14.70,14.73,0.0,0.28,232.9,15.11,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,409,438,88.6,0,11.00,0.73,113,3.24,6.81,1.22,4.77,179,0.0,19.00,681,0.00,4.15,0.000,11.72,8.50,9.4,1,0.00,0
2.074,0.00,0.00,0.00,14.70,0.00,-11.40,0.0,14.00,-8.29,14.70,14.73,0.0,0.30,232.9,14.93,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,412,438,88.6,0,6.00,0.71,113,3.43,7.50,1.30,5.30,179,0.0,18.50,670,0.00,3.88,0.000,15.62,8.50,8.7,1,0.00,0
