Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),AVCS Exh Left (°),AVCS Exh Right (°),AVCS In Left (°),AVCS In Right (°),Accel Position (%),Baro Pressure (psi),Boost Extended (psi),CL Fuel Target (AFR),Calculated Load Ext (g/rev),Closed Loop Sw (on/off),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Ethanol Final (%),Feedback Knock (°),Fine Knock Learn (°),Fuel Pressure (psi),Fuel Pressure Target (psi),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),KS Noise Cyl 1 (raw),KS Noise Cyl 2 (raw),KS Noise Cyl 3 (raw),KS Noise Cyl 4 (raw),Limits Boost Table Base Rel SL Ext (psi),MAF Corr Final (g/s),MAF Table (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),RPM (RPM),Req Torque (Nm),Roughness Cyl 1 (count),Roughness Cyl 2 (count),Roughness Cyl 3 (count),Roughness Cyl 4 (count),Sns Only TGV R (raw),TGV Map Ratio (mult),Target Boost Final Rel Ext (psi),Throttle Pos (%),Wastegate Duty (%),"AP Info:[AP3-SUB-004 v1.7.4.2-18474][2016 USDM WRX MT COBB Custom Features Gen2][Reflash: 2016 WRX 91 - 06.ptm - Realtime: 2016 WRX 91 - 06.ptm]"
0.000,1.56,3.91,15.65,0,0,0,0,0.0,13.05,-8.74,14.55,0.23,on,14.59,196,1.000,0.0,0.00,0.00,417,438,71.8,1,8.00,0.63,129,142,0,0,0,0,22.0,3.75,3.77,0.96,4.33,207,982,0.00,0,0,0,0,66.65,0.000,-10.03,6.7,0.00,0
0.024,1.56,3.91,15.61,0,0,0,0,0.0,13.05,-8.75,14.55,0.23,on,14.59,196,1.000,0.0,0.00,0.00,424,438,71.8,1,8.00,0.63,129,142,0,0,0,0,22.0,3.74,3.77,0.96,4.31,207,980,0.00,0,0,0,0,66.65,0.000,-10.03,6.7,0.00,0
0.028,1.56,3.91,15.59,0,0,0,0,0.0,13.05,-8.77,14.55,0.23,on,14.59,196,1.000,0.0,0.00,0.00,424,438,71.8,1,8.50,0.63,129,142,0,0,0,0,22.0,3.74,3.77,0.96,4.31,207,981,0.00,0,0,0,0,66.66,0.000,-10.03,6.7,0.00,0
0.032,1.56,3.91,15.55,0,0,0,0,0.0,13.05,-8.78,14.55,0.23,on,14.59,196,1.000,0.0,0.00,0.00,410,438,71.8,1,8.50,0.63,129,142,0,0,1,0,22.0,3.75,3.77,0.96,4.29,207,983,0.00,0,0,0,0,66.65,0.000,-10.02,6.7,0.00,0
0.062,1.56,3.91,15.54,0,0,0,0,0.0,13.05,-8.78,14.55,0.23,on,14.59,196,1.000,0.0,0.00,0.00,437,438,71.8,1,8.00,0.63,129,142,0,0,1,0,22.0,3.75,3.82,0.96,4.29,207,983,0.00,0,0,0,0,66.65,0.000,-10.03,6.7,0.00,0
0.100,1.56,3.91,15.49,0,0,0,0,0.0,13.05,-8.81,14.55,0.23,on,14.59,196,1.000,0.0,0.00,0.00,418,438,71.8,1,8.50,0.84,129,142,0,0,1,0,22.0,3.74,3.58,0.96,4.26,207,983,0.00,0,0,0,0,66.66,0.000,-10.03,6.7,0.00,0
0.114,1.56,3.91,15.49,0,0,0,0,0.0,13.05,-8.83,14.55,0.23,on,14.59,196,1.000,0.0,0.00,0.00,424,438,71.8,1,8.50,0.84,129,142,0,0,1,0,22.0,3.74,3.63,0.96,4.25,207,984,0.00,0,0,0,0,66.66,0.000,-10.03,6.7,0.00,0
0.118,1.56,3.91,15.42,0,0,0,0,0.0,13.05,-8.83,14.55,0.23,on,14.59,196,1.000,0.0,0.00,0.00,427,438,71.8,1,8.00,0.84,129,140,0,0,0,0,22.0,3.75,3.58,0.94,4.23,207,982,0.00,0,0,0,0,66.66,0.000,-10.03,6.7,0.00,0
0.122,1.56,3.91,15.39,0,0,0,0,0.0,13.05,-8.84,14.55,0.23,on,14.59,196,1.000,0.0,0.00,0.00,418,438,71.8,1,8.00,0.84,129,142,0,0,0,0,22.0,3.74,3.40,0.94,4.23,207,983,0.00,0,0,0,0,66.66,0.000,-10.03,6.7,0.00,0
0.150,1.56,3.91,15.29,0,0,0,0,0.0,13.05,-8.87,14.55,0.23,on,14.59,196,1.000,0.0,0.00,0.00,409,438,71.8,1,8.50,0.84,129,140,0,0,0,0,22.0,3.74,3.58,0.94,4.17,207,983,0.00,0,0,0,0,66.66,0.000,-10.02,6.7,0.00,0
0.152,1.56,3.91,15.28,0,0,0,0,0.0,13.05,-8.91,14.55,0.22,on,14.59,196,1.000,0.0,0.00,0.00,414,438,71.8,1,8.00,0.84,129,140,0,1,0,0,22.0,3.66,3.00,0.94,4.15,207,982,0.00,0,0,0,0,66.65,0.000,-10.03,5.5,0.00,0
0.177,1.56,3.91,15.28,0,0,0,0,0.0,13.05,-8.95,14.55,0.22,on,14.59,196,1.000,0.0,0.00,0.00,416,438,71.8,1,8.00,0.63,129,140,0,1,0,1,22.0,3.60,2.93,0.86,4.07,207,980,0.00,0,0,0,0,66.65,0.000,-10.03,5.5,0.00,0
0.180,1.56,3.91,15.19,0,0,0,0,0.0,13.05,-9.05,14.55,0.22,on,14.59,196,1.000,0.0,0.00,0.00,426,438,71.8,1,8.50,0.63,129,140,0,1,0,1,22.0,3.52,2.62,0.82,3.98,207,978,0.00,0,0,0,0,66.65,0.000,-10.04,5.9,0.00,0
0.206,1.56,3.91,15.18,0,0,0,0,0.0,13.05,-9.11,14.55,0.21,on,14.59,196,1.000,0.0,0.00,0.00,426,438,71.8,1,8.00,0.62,129,140,0,0,0,1,22.0,3.46,2.47,0.78,3.92,207,974,0.00,0,0,0,0,66.65,0.000,-10.05,5.9,0.00,0
0.239,1.56,3.91,15.09,0,0,0,0,0.0,13.05,-9.24,14.55,0.21,on,14.59,196,1.000,0.0,0.00,0.00,407,438,71.8,1,8.00,0.62,129,140,0,0,0,0,22.0,3.34,2.50,0.78,3.80,207,961,0.00,0,0,0,0,66.66,0.000,-10.08,5.9,0.00,0
0.274,1.56,3.91,15.07,0,0,0,1,0.0,13.05,-9.25,14.55,0.21,on,14.59,196,1.000,0.0,0.00,0.00,429,438,71.8,1,8.50,0.62,129,140,0,0,1,0,22.0,3.30,2.43,0.78,3.80,207,956,0.00,0,0,0,0,66.66,0.000,-10.09,5.9,0.00,0
0.304,1.56,3.91,15.08,0,0,0,1,0.0,13.05,-9.29,14.55,0.21,on,14.59,196,1.000,0.0,0.00,0.00,431,438,71.8,1,8.50,0.61,129,140,0,0,1,0,22.0,3.25,2.53,0.78,3.76,207,948,0.00,0,0,0,0,66.66,0.000,-10.09,5.9,0.00,0
0.318,1.56,3.91,15.02,0,0,0,1,0.0,13.05,-9.32,14.55,0.20,on,14.59,196,1.000,0.0,0.00,0.00,418,438,71.8,1,8.50,0.61,129,140,0,0,1,0,22.0,3.20,2.71,0.78,3.73,207,941,0.00,0,0,0,0,66.65,0.000,-10.12,5.9,0.00,0
0.346,1.56,3.91,14.97,0,0,0,1,0.0,13.05,-9.35,14.55,0.20,on,14.59,196,1.000,0.0,0.00,0.00,427,438,71.8,1,8.50,0.60,129,140,0,0,1,0,22.0,3.16,2.74,0.82,3.70,207,935,0.00,0,0,0,0,66.65,0.000,-10.13,5.9,0.00,0
