Time (sec),AF Correction 1 (%),AF Correction 3 (%),AF Sens 1 Curr (mA),AF Sens 1 Ratio (AFR),AVCS Exh Table (°),AVCS In Table (°),Accel Position (%),Battery Volts (V),Boost Extended (psi),CL Fuel Target (AFR),CL Fuel Target Table (AFR),CPC Purge Valve Duty (%),Calculated Load (g/rev),Catalyst Temp (F),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv Base Table (°),Dynamic Adv Lrn (°),EGR Estimate (steps),Engine Start Mode (mode),Feedback Knock (°),Fine Knock Learn (°),Fuel Econ Corr (mult),Fuel Pressure (psi),Fuel Pressure Target (psi),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF Corr Final (g/s),MAF Table (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),Per Gear Boost (%),Primary Ign (°),RPM (RPM),Req Torque (Nm),TD Boost Error Ext (psi),TGV Map Ratio (mult),TPS Duty (%),Target Boost Final Abs Ext (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.4.0-17408][2016 USDM WRX MT COBB Custom Features Gen2][Reflash: Stage2+BigSF 91 v361 LWG.ptm - Realtime: Stage2+BigSF 91 v361 LWG.ptm]
0.000,-6.25,0.00,0.12,15.45,0.00,-10.50,0.0,13.60,-9.66,14.70,14.73,0.0,0.18,1104.3,15.55,196,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,382,438,71.8,0,6.00,0.52,66,2.64,2.76,0.82,3.25,212,0.0,17.00,817,0.00,5.31,0.000,-32.81,8.55,5.1,0,0.00,0
0.004,-6.25,0.00,0.12,15.42,0.00,-10.52,0.0,13.60,-9.68,14.70,14.73,0.0,0.18,1104.3,15.55,196,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,384,438,71.8,0,6.00,0.52,66,2.64,2.70,0.82,3.25,212,0.0,17.00,819,0.00,5.31,0.000,-32.81,8.55,5.1,0,0.00,0
0.031,-6.25,0.00,0.12,15.41,0.00,-10.52,0.0,13.60,-9.68,14.70,14.73,0.0,0.18,1104.3,15.55,196,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,380,438,71.8,0,6.00,0.52,66,2.65,2.73,0.82,3.24,212,0.0,17.00,819,0.00,5.30,0.000,-32.03,8.53,5.1,0,0.00,0
0.039,-6.25,0.00,0.12,15.41,0.00,-10.52,0.0,13.60,-9.67,14.70,14.73,0.0,0.18,1104.3,15.55,196,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,395,438,71.8,0,6.00,0.52,66,2.65,2.76,0.82,3.24,212,0.0,17.00,819,0.00,5.30,0.000,-32.03,8.53,5.1,0,0.00,0
0.044,-6.25,0.00,0.12,15.38,0.00,-10.53,0.0,13.68,-9.68,14.70,14.73,0.0,0.19,1104.3,15.55,196,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,391,438,71.8,0,6.00,0.52,66,2.65,2.73,0.82,3.25,212,0.0,17.00,821,0.00,5.29,0.000,-32.03,8.53,5.1,0,0.00,0
0.071,-6.25,0.00,0.12,15.39,0.00,-10.62,0.0,13.76,-9.68,14.70,14.73,0.0,0.19,1103.7,15.49,196,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,386,438,71.8,0,6.00,0.53,66,2.65,2.73,0.82,3.25,212,0.0,17.00,819,0.00,5.31,0.000,-32.03,8.53,5.1,0,0.00,0
0.076,-6.25,0.00,0.12,15.37,0.00,-10.62,0.0,13.76,-9.68,14.70,14.73,0.0,0.19,1103.7,15.49,196,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,391,438,71.8,0,6.00,0.52,66,2.65,2.83,0.84,3.24,212,0.0,17.00,819,0.00,5.30,0.000,-32.81,8.53,5.1,0,0.00,0
0.095,-6.25,0.00,0.12,15.37,0.00,-10.53,0.0,13.76,-9.68,14.70,14.73,0.0,0.19,1103.7,15.55,196,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,392,438,71.8,0,6.00,0.52,66,2.65,2.76,0.84,3.24,212,0.0,17.50,821,0.00,5.31,0.000,-32.81,8.53,5.1,0,0.00,0
0.122,-6.25,0.00,0.12,15.35,0.00,-10.64,0.0,13.68,-9.69,14.70,14.73,0.0,0.18,1103.7,15.49,196,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,377,438,71.8,0,6.00,0.53,66,2.66,2.83,0.82,3.24,212,0.0,17.50,822,0.00,5.31,0.000,-33.59,8.52,5.1,0,0.00,0
0.154,-6.25,0.00,0.12,15.33,0.00,-10.64,0.0,13.68,-9.69,14.70,14.73,0.0,0.19,1103.7,15.49,198,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,381,438,71.8,0,6.00,0.53,66,2.66,2.76,0.82,3.24,212,0.0,17.50,822,0.00,5.30,0.000,-34.38,8.52,5.1,0,0.00,0
