Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),AVCS Exh Left (°),AVCS Exh Right (°),AVCS In Left (°),AVCS In Right (°),Accel Position (%),Baro Pressure (psi),Boost Extended (psi),CL Fuel Target (AFR),Calculated Load Ext (g/rev),Closed Loop Sw (on/off),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Ethanol Final (%),Feedback Knock (°),Fine Knock Learn (°),Fuel Pressure (psi),Fuel Pressure Target (psi),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),KS Noise Cyl 1 (raw),KS Noise Cyl 2 (raw),KS Noise Cyl 3 (raw),KS Noise Cyl 4 (raw),Limits Boost Table Base Rel SL Ext (psi),MAF Corr Final (g/s),MAF Table (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),RPM (RPM),Req Torque (Nm),Roughness Cyl 1 (count),Roughness Cyl 2 (count),Roughness Cyl 3 (count),Roughness Cyl 4 (count),Sns Only TGV R (raw),TGV Map Ratio (mult),Target Boost Final Rel Ext (psi),Throttle Pos (%),Wastegate Duty (%),"AP Info:[AP3-SUB-004 v1.7.4.2-18474][2016 USDM WRX MT COBB Custom Features Gen2][Reflash: 2016 WRX 91 - 07.ptm - Realtime: 2016 WRX 91 - 07.ptm]"
0.000,0.00,-9.38,14.24,0,0,1,0,0.0,13.20,-10.77,14.70,0.14,off,14.70,192,1.000,0.0,0.00,0.00,937,438,71.8,3,16.50,0.42,102,109,5,4,4,7,22.0,4.67,2.24,0.76,2.29,212,1989,2.99,0,0,0,0,66.45,0.000,-6.29,4.7,0.00,0
0.004,0.00,-9.38,14.19,0,0,1,0,0.0,13.20,-10.85,14.70,0.14,off,14.70,192,1.000,0.0,0.00,0.00,907,438,71.8,3,16.00,0.42,104,109,5,3,5,7,22.0,4.45,2.22,0.76,2.21,212,1981,2.71,0,0,0,0,66.45,0.000,-6.43,4.7,0.00,0
0.028,0.00,-9.38,14.12,0,0,1,0,0.0,13.20,-10.99,14.70,0.13,off,14.70,192,1.000,0.0,0.00,0.00,904,438,71.8,3,16.50,0.42,104,109,4,3,8,4,22.0,4.07,2.20,0.72,2.11,212,1955,1.89,0,0,0,0,66.45,0.000,-6.88,4.3,0.00,0
0.032,0.00,-9.38,14.08,0,0,1,0,0.0,13.20,-11.08,14.70,0.12,off,14.70,192,1.000,0.0,0.00,0.00,886,438,71.8,3,16.50,0.42,104,109,6,3,6,4,22.0,3.87,2.02,0.72,2.08,212,1966,1.20,0,0,0,0,66.45,0.000,-7.25,4.3,0.00,0
0.035,0.00,-9.38,14.08,0,0,0,0,0.0,13.20,-11.11,14.70,0.12,off,14.70,192,1.000,0.0,0.00,0.00,876,438,71.8,3,16.00,0.42,104,109,6,3,6,6,22.0,3.79,2.00,0.70,2.04,212,1975,0.93,0,0,0,0,66.45,0.000,-7.36,4.3,0.00,0
0.039,0.00,-9.38,14.04,0,0,0,0,5.1,13.20,-11.16,14.70,0.11,off,14.70,192,1.000,0.0,0.00,0.00,869,438,71.8,3,16.50,0.42,104,109,5,2,8,6,22.0,3.61,2.09,0.70,1.98,212,1977,16.59,0,0,0,0,66.45,0.000,-6.71,4.3,0.00,0
0.042,0.00,-9.38,14.05,0,0,0,0,21.2,13.20,-11.17,14.70,0.11,off,14.70,192,1.000,0.0,0.00,0.00,867,438,71.8,3,16.50,0.42,104,109,3,2,8,6,22.0,3.66,2.22,0.72,1.97,212,1966,28.79,0,0,0,0,66.45,0.000,5.72,9.8,0.00,0
0.072,0.00,-9.38,14.03,0,0,0,0,33.7,13.20,-11.11,14.70,0.12,off,14.70,192,1.000,0.0,0.00,0.00,848,438,71.8,3,16.50,0.42,104,109,3,2,7,6,22.0,4.07,3.99,0.72,2.09,212,1966,36.01,0,0,0,0,66.45,0.000,9.11,9.8,0.00,0
0.078,0.00,-9.38,14.05,0,0,0,0,46.7,13.20,-10.89,14.70,0.14,off,14.70,192,1.000,0.0,0.00,0.00,816,438,71.8,3,16.50,0.42,104,109,3,3,7,4,22.0,4.78,8.20,1.04,2.48,212,1957,50.86,0,0,0,0,66.45,0.000,13.74,13.8,0.39,0
0.082,-2.34,-9.38,14.05,0,0,-1,0,60.0,13.20,-10.61,14.70,0.19,on,14.70,194,1.000,0.0,0.00,0.00,804,438,71.8,3,17.50,0.84,104,109,4,3,4,4,22.0,6.68,19.94,1.52,3.38,212,1970,76.89,0,0,0,0,66.45,0.000,17.92,22.0,2.75,0
0.097,-2.34,-9.38,14.06,0,0,-1,0,69.0,13.20,-9.70,14.70,0.27,on,14.70,194,1.000,0.0,0.00,0.00,755,438,71.8,3,17.50,0.84,104,109,4,4,4,4,22.0,10.59,33.54,1.52,5.16,212,1987,94.51,0,0,0,0,66.45,0.000,20.66,22.0,2.75,0
0.142,-2.34,-9.38,14.26,0,0,-6,-2,89.8,13.20,-4.39,14.62,0.82,on,14.70,194,1.000,0.0,0.00,0.00,855,1606,71.8,3,11.00,1.30,104,111,13,4,6,8,22.0,29.04,58.14,2.58,12.04,212,2067,166.40,0,0,0,0,66.45,0.030,21.10,46.5,9.80,0
0.181,-1.56,-9.38,14.29,0,0,-15,-8,95.7,13.20,-1.90,14.38,0.92,on,14.42,194,1.000,0.0,0.00,0.00,1267,1659,71.8,3,13.50,3.42,104,111,13,34,65,25,22.0,30.86,43.50,2.24,13.02,212,2005,211.40,0,0,0,0,66.35,0.080,21.10,68.5,17.25,0
0.257,0.00,-9.38,14.85,1,0,-16,-9,100.0,13.20,-0.84,14.33,0.94,on,14.36,194,1.000,0.0,0.00,0.00,1382,1738,71.8,3,12.50,3.29,104,111,71,99,390,25,22.0,30.52,32.12,2.04,13.22,212,1935,253.78,0,0,0,0,60.52,0.401,21.10,76.8,20.78,0
0.271,2.34,-9.38,15.19,4,1,-17,-10,100.0,13.20,-0.41,14.33,0.94,on,14.36,194,1.000,0.0,0.00,0.00,1391,1738,71.8,3,13.50,2.94,102,111,403,99,283,96,22.0,31.47,29.22,1.94,13.28,212,2006,297.35,0,0,0,0,48.38,0.777,21.10,100.0,23.92,0
