Time (sec),AF Correction 1 (%),AF Correction 3 (%),AF Sens 1 Curr (mA),AF Sens 1 Ratio (AFR),AVCS Exh Table (°),AVCS In Table (°),Accel Position (%),Battery Volts (V),Boost Extended (psi),CL Fuel Target (AFR),CL Fuel Target Table (AFR),CPC Purge Valve Duty (%),Calculated Load (g/rev),Catalyst Temp (F),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv Base Table (°),Dynamic Adv Lrn (°),EGR Estimate (steps),Engine Start Mode (mode),Feedback Knock (°),Fine Knock Learn (°),Fuel Econ Corr (mult),Fuel Pressure (psi),Fuel Pressure Target (psi),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF Corr Final (g/s),MAF Table (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),Per Gear Boost (%),Primary Ign (°),RPM (RPM),Req Torque (Nm),TD Boost Error Ext (psi),TGV Map Ratio (mult),TPS Duty (%),Target Boost Final Abs Ext (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.4.0-17408][2016 USDM WRX MT COBB Custom Features Gen2][Reflash: Stage2+BigSF 91 v361.ptm - Realtime: Stage2+BigSF 91 v361.ptm]
0.000,4.69,2.34,-0.50,13.65,0.00,-10.40,0.0,14.00,-9.80,14.37,14.73,0.0,0.18,798.4,15.95,190,0.875,0.00,0.00,0.0,1.0,0.00,0.00,1.000,386,438,71.8,0,5.00,0.46,75,2.22,2.33,0.74,3.27,201,0.0,17.00,715,0.00,5.45,0.000,-34.38,8.71,4.7,0,0.00,0
0.063,4.69,2.34,-0.50,13.67,0.00,-10.40,0.0,14.16,-9.80,14.41,14.73,0.0,0.18,798.2,15.95,190,0.875,0.00,0.00,0.0,1.0,0.00,0.00,1.000,388,438,71.8,0,5.00,0.46,75,2.22,2.33,0.74,3.27,201,0.0,17.00,714,0.00,5.46,0.000,-35.16,8.71,4.7,0,0.00,0
0.067,3.91,1.56,-0.50,13.64,0.00,-10.40,0.0,14.00,-9.81,14.44,14.73,0.0,0.18,798.2,15.95,190,0.875,0.00,0.00,0.0,1.0,0.00,0.00,1.000,380,438,71.8,0,5.50,0.46,75,2.22,2.31,0.74,3.27,201,0.0,17.00,713,0.00,5.46,0.000,-35.94,8.71,4.7,0,0.00,0
0.121,3.91,1.56,-0.50,13.67,0.00,-10.40,0.0,14.00,-9.79,14.46,14.73,0.0,0.18,798.2,15.95,190,0.875,0.00,0.00,0.0,1.0,0.00,0.00,1.000,388,438,71.8,0,5.50,0.46,75,2.22,2.40,0.74,3.27,201,0.0,17.00,714,0.00,5.45,0.000,-35.94,8.71,4.7,0,0.00,0
0.125,3.91,1.56,-0.50,13.68,0.00,-10.40,0.0,14.00,-9.80,14.48,14.73,0.0,0.18,798.2,15.95,190,0.875,0.00,0.00,0.0,1.0,0.00,0.00,1.000,377,438,71.8,0,5.00,0.46,75,2.23,2.33,0.76,3.28,201,0.0,17.00,715,0.00,5.45,0.000,-37.50,8.71,4.7,0,0.00,0
0.130,3.91,1.56,-0.50,13.68,0.00,-10.40,0.0,14.08,-9.80,14.52,14.73,0.0,0.18,798.2,15.95,190,0.875,0.00,0.00,0.0,1.0,0.00,0.00,1.000,382,438,71.8,0,5.00,0.46,75,2.23,2.40,0.76,3.27,201,0.0,17.00,714,0.00,5.45,0.000,-36.72,8.71,4.7,0,0.00,0
0.166,3.12,0.78,-0.50,13.70,0.00,-10.40,0.0,14.16,-9.81,14.58,14.73,0.0,0.18,798.1,15.95,190,0.875,0.00,0.00,0.0,1.0,0.00,0.00,1.000,383,438,71.8,0,5.50,0.46,75,2.23,2.19,0.74,3.27,201,0.0,17.00,712,0.00,5.46,0.000,-37.50,8.71,4.7,0,0.00,0
0.174,3.12,0.00,-0.50,13.72,0.00,-10.40,0.0,14.00,-9.80,14.62,14.73,0.0,0.18,798.1,15.95,190,0.875,0.00,0.00,0.0,1.0,0.00,0.00,1.000,389,438,71.8,0,5.50,0.46,75,2.23,2.14,0.72,3.27,201,0.0,17.00,713,0.00,5.46,0.000,-38.28,8.71,4.7,0,0.00,0
0.179,3.12,0.00,-0.50,13.72,0.00,-10.40,0.0,14.00,-9.80,14.64,14.73,0.0,0.18,798.1,15.95,190,0.875,0.00,0.00,0.0,1.0,0.00,0.00,1.000,377,438,71.8,0,5.50,0.46,75,2.23,2.21,0.72,3.28,201,0.0,17.00,713,0.00,5.45,0.000,-36.72,8.71,4.7,0,0.00,0
0.209,3.12,0.00,-0.50,13.73,0.00,-10.40,0.0,14.00,-9.79,14.66,14.73,0.0,0.18,798.1,15.95,190,0.875,0.00,0.00,0.0,1.0,0.00,0.00,1.000,380,438,71.8,0,5.50,0.46,75,2.24,2.21,0.72,3.28,201,0.0,17.00,712,0.00,5.46,0.000,-36.72,8.71,4.7,0,0.00,0
