Time (sec),AF Correction 1 (%),AF Correction 3 (%),AF Sens 1 Curr (mA),AF Sens 1 Ratio (AFR),AVCS Exh Table (°),AVCS In Table (°),Accel Position (%),Battery Volts (V),Boost Extended (psi),CL Fuel Target (AFR),CL Fuel Target Table (AFR),CPC Purge Valve Duty (%),Calculated Load (g/rev),Catalyst Temp (F),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv Base Table (°),Dynamic Adv Lrn (°),EGR Estimate (steps),Engine Start Mode (mode),Feedback Knock (°),Fine Knock Learn (°),Fuel Econ Corr (mult),Fuel Pressure (psi),Fuel Pressure Target (psi),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF Corr Final (g/s),MAF Table (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),Per Gear Boost (%),Primary Ign (°),RPM (RPM),Req Torque (Nm),TD Boost Error Ext (psi),TGV Map Ratio (mult),TPS Duty (%),Target Boost Final Abs Ext (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.4.0-17408][2016 USDM WRX MT COBB Custom Features Gen2][Reflash: Stage2+BigSF 91 v361 LWG.ptm - Realtime: Stage2+BigSF 91 v361 LWG.ptm]
0.000,-2.34,0.00,0.00,14.58,33.60,0.25,18.8,13.20,-0.56,14.75,14.65,24.3,0.76,845.9,14.76,192,0.750,2.46,1.50,23.0,0.0,0.00,0.00,1.000,1363,1447,71.8,5,11.00,2.93,75,25.28,26.50,1.92,12.68,207,0.0,9.00,1959,136.56,0.94,0.000,30.47,13.55,21.7,45,0.00,0
0.028,-2.34,0.00,0.00,14.60,32.70,0.30,18.8,13.20,-0.50,14.75,14.65,24.3,0.78,845.9,14.76,192,0.750,2.46,1.50,23.0,0.0,0.00,0.00,1.000,1418,1447,71.8,5,11.00,2.93,75,25.51,25.35,1.92,12.76,207,0.0,8.50,1960,136.56,0.87,0.000,30.47,13.57,21.7,45,0.00,0
0.067,-2.34,0.00,0.00,14.56,32.74,0.26,19.2,13.28,-0.36,14.75,14.65,27.5,0.78,845.9,14.76,192,0.750,2.46,1.50,23.0,0.0,0.00,0.00,1.000,1435,1447,71.8,5,10.00,2.52,75,25.62,25.85,1.94,12.87,207,0.0,8.50,1968,140.14,0.92,0.000,21.88,13.69,21.7,45,0.00,0
0.072,-2.34,0.00,0.00,14.58,32.73,0.27,19.6,13.20,-0.32,14.75,14.65,27.5,0.78,846.1,14.76,192,0.750,2.46,1.50,23.0,0.0,0.00,0.00,1.000,1401,1447,71.8,5,10.00,2.51,75,25.70,26.50,1.94,13.01,207,0.0,8.50,1962,142.05,1.00,0.000,42.97,13.87,22.0,45,0.00,0
0.101,-2.34,0.00,0.00,14.63,32.29,0.30,19.6,13.20,-0.27,14.75,14.65,27.5,0.79,846.1,14.76,192,0.750,2.46,1.50,23.0,0.0,0.00,0.00,1.000,1408,1447,71.8,5,10.00,2.51,75,25.80,27.81,1.94,12.98,207,0.0,8.50,1957,142.12,0.99,0.000,42.97,13.91,22.0,45,0.00,0
0.136,-0.78,0.00,0.00,14.60,32.32,0.27,20.0,13.28,-0.16,14.76,14.66,0.0,0.79,846.1,14.76,192,0.750,2.46,1.50,23.0,0.0,0.00,0.00,1.000,1391,1447,71.8,5,10.00,2.93,75,26.27,25.68,1.88,13.02,207,0.0,8.50,1966,143.90,1.05,0.000,42.19,14.04,22.0,45,0.00,0
0.140,-0.78,0.00,0.00,14.64,32.35,0.24,20.0,13.28,-0.15,14.76,14.66,0.0,0.79,846.1,14.76,192,0.750,2.46,1.50,23.0,0.0,0.00,0.00,1.000,1426,1447,71.8,5,10.00,2.93,75,26.24,24.53,1.88,13.04,207,0.0,8.50,1968,145.34,1.06,0.000,42.19,14.09,22.0,45,0.00,0
0.155,-0.78,0.00,0.00,14.68,32.35,0.24,20.0,13.28,-0.14,14.75,14.65,0.0,0.79,846.1,14.76,192,0.750,2.46,1.50,23.0,0.0,0.00,0.00,1.000,1408,1447,71.8,5,10.00,2.94,75,26.16,29.29,1.94,13.05,207,0.0,8.50,1967,145.81,1.12,0.000,42.97,14.17,22.4,45,0.00,0
0.162,-0.78,0.00,0.00,14.71,32.35,0.24,20.4,13.28,-0.12,14.76,14.66,0.0,0.79,846.1,14.76,192,0.750,2.46,1.50,23.0,0.0,0.00,0.00,1.000,1454,1447,71.8,5,10.00,2.94,75,26.31,26.50,1.94,13.07,207,0.0,8.50,1966,146.30,1.12,0.000,42.97,14.20,22.4,45,0.00,0
0.195,-0.78,0.00,0.00,14.71,31.90,0.28,20.4,13.28,-0.07,14.76,14.66,0.0,0.80,846.2,14.76,192,0.750,2.46,1.50,23.0,0.0,0.00,0.00,1.000,1373,1447,71.8,5,10.00,2.51,75,26.41,26.67,1.94,13.15,207,0.0,8.50,1958,146.90,1.12,0.000,28.91,14.24,22.4,45,0.00,0
