Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),AVCS Exh Left (°),AVCS Exh Right (°),AVCS In Left (°),AVCS In Right (°),Accel Position (%),Baro Pressure (psi),Boost Extended (psi),CL Fuel Target (AFR),Calculated Load Ext (g/rev),Closed Loop Sw (on/off),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Ethanol Final (%),Feedback Knock (°),Fine Knock Learn (°),Fuel Pressure (psi),Fuel Pressure Target (psi),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),KS Noise Cyl 1 (raw),KS Noise Cyl 2 (raw),KS Noise Cyl 3 (raw),KS Noise Cyl 4 (raw),Limits Boost Table Base Rel SL Ext (psi),MAF Corr Final (g/s),MAF Table (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),RPM (RPM),Req Torque (Nm),Roughness Cyl 1 (count),Roughness Cyl 2 (count),Roughness Cyl 3 (count),Roughness Cyl 4 (count),Sns Only TGV R (raw),TGV Map Ratio (mult),Target Boost Final Rel Ext (psi),Throttle Pos (%),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.4.2-17441][2016 USDM WRX MT COBB Custom Features Gen2][Reflash: 2016 WRX 91 - 03.ptm - Realtime: 2016 WRX 91 - 03.ptm]
0.000,-18.75,0.00,13.92,1,1,1,1,0.0,13.20,-4.88,14.70,0.56,on,14.70,172,1.000,0.0,0.00,0.00,425,491,71.8,0,6.00,0.63,102,102,0,0,0,0,22.0,5.58,13.68,1.50,9.18,145,600,0.00,0,0,0,0,12.54,1.000,-10.61,13.4,0.00,0
0.006,-18.75,0.00,13.95,1,1,1,1,0.0,13.20,-4.53,14.70,0.57,on,14.70,172,1.000,0.0,0.00,0.00,467,491,71.8,0,6.00,0.64,102,102,0,0,0,0,22.0,5.77,13.20,1.48,9.18,145,605,0.00,0,0,0,0,11.95,1.000,-10.61,12.2,0.00,0
0.012,-18.75,0.00,13.98,1,1,1,1,0.0,13.20,-4.28,14.70,0.56,on,14.70,172,1.000,0.0,0.00,0.00,421,491,71.8,0,4.50,0.93,102,102,0,0,0,0,22.0,6.04,11.88,1.38,9.56,145,623,0.00,0,0,0,0,11.45,1.000,-10.61,16.5,0.00,0
0.016,-18.75,0.00,14.08,1,1,1,1,0.0,13.20,-3.95,14.70,0.59,on,14.70,172,1.000,0.0,0.00,0.00,493,491,71.8,0,4.50,0.93,102,102,0,0,0,0,22.0,6.37,16.65,1.38,9.56,145,636,0.00,0,0,0,0,10.89,1.000,-10.61,16.5,0.00,0
0.043,-18.75,0.00,14.26,1,1,1,1,0.0,13.20,-3.39,14.70,0.62,on,14.70,172,1.000,0.0,0.00,0.00,452,491,71.8,0,2.50,1.00,102,102,0,0,0,0,22.0,7.20,13.80,1.58,10.34,145,688,0.00,0,0,0,0,10.38,1.000,-10.61,11.8,0.00,0
0.047,-17.97,0.00,14.29,1,0,1,1,0.0,13.20,-3.23,14.70,0.60,on,14.70,172,1.000,0.0,0.00,0.00,469,491,71.8,0,-1.00,1.03,102,102,0,0,0,0,22.0,7.48,7.40,1.32,10.49,145,728,0.00,0,0,0,0,10.14,1.000,-10.61,11.8,0.00,0
0.088,-17.97,0.00,14.52,1,0,1,1,0.0,13.20,-3.10,14.70,0.60,on,14.70,172,1.000,0.0,0.00,0.00,447,491,71.8,0,-1.00,1.03,102,102,0,0,0,0,22.0,7.46,9.55,1.32,10.48,145,746,0.00,0,0,0,0,9.86,1.000,-10.61,11.8,0.00,0
0.112,-17.19,0.00,14.66,1,0,1,1,0.0,13.20,-3.09,14.70,0.59,on,14.70,172,1.000,0.0,0.00,0.00,472,491,71.8,0,2.50,1.11,102,102,0,0,0,0,22.0,7.35,6.17,1.28,10.48,145,752,0.00,0,0,0,0,9.66,1.000,-10.61,9.1,0.00,0
0.117,-16.41,0.00,14.72,1,0,1,1,0.0,13.20,-3.19,14.70,0.57,on,14.70,172,1.000,0.0,0.00,0.00,432,491,71.8,0,5.00,1.15,102,102,0,0,0,0,22.0,7.26,6.17,1.10,10.25,145,770,0.00,0,0,0,0,9.45,1.000,-10.61,7.9,0.00,0
0.171,-16.41,0.00,14.99,1,0,1,1,0.0,13.20,-3.30,14.70,0.55,on,14.70,172,1.000,0.0,0.00,0.00,467,491,71.8,0,5.00,1.15,102,102,0,0,0,0,22.0,7.22,5.84,1.10,9.45,145,789,0.00,0,0,0,0,9.32,1.000,-10.61,7.9,0.00,0
0.185,-13.28,-0.78,16.35,1,0,1,1,8.2,13.20,-3.71,14.70,0.52,on,14.70,172,1.000,0.0,0.00,0.00,467,1048,71.8,0,6.50,1.26,102,102,0,0,0,0,22.0,7.38,4.63,1.02,9.03,145,847,25.34,0,0,0,0,9.02,1.000,-0.16,7.9,0.00,0
0.217,-10.94,-1.56,16.80,1,0,1,1,11.4,13.20,-4.19,14.70,0.51,on,14.70,172,1.000,0.0,0.00,0.00,837,942,71.8,0,7.00,1.31,102,102,0,0,0,0,22.0,7.47,6.42,1.02,8.46,145,879,35.46,0,0,0,0,8.86,1.000,7.47,12.2,0.00,0
0.245,-9.38,-1.56,17.10,1,0,0,1,12.2,13.20,-4.26,14.70,0.50,on,14.70,172,1.000,0.0,0.00,0.00,862,942,71.8,0,7.50,0.78,102,102,0,0,0,1,22.0,7.76,9.07,1.24,8.46,145,909,36.84,0,0,0,0,8.79,1.000,8.21,13.4,0.00,0
0.270,-9.38,-1.56,17.16,1,0,0,1,12.5,13.20,-4.35,14.70,0.50,on,14.70,172,1.000,0.0,0.00,0.00,846,942,71.8,0,7.50,0.78,102,102,0,0,0,1,22.0,8.07,10.65,1.24,8.60,145,932,38.58,0,0,0,0,8.75,1.000,8.91,13.4,0.00,0
0.274,-7.03,-1.56,18.04,0,0,0,0,16.1,13.20,-4.18,14.70,0.54,on,14.70,172,1.000,0.0,0.00,0.00,968,1048,71.8,0,9.50,0.86,102,102,0,0,2,1,22.0,9.49,15.89,1.54,8.89,145,1020,48.73,0,0,0,0,8.61,1.000,14.89,16.1,0.00,0
0.290,-7.03,-1.56,18.03,0,0,0,0,16.9,13.20,-4.05,14.70,0.55,on,14.70,172,1.000,0.0,0.00,0.00,911,1048,71.8,0,9.50,0.86,102,102,0,0,2,0,22.0,10.13,17.92,1.54,9.42,145,1055,51.83,0,0,0,0,8.58,1.000,16.48,16.1,0.00,0
0.296,-6.25,-1.56,18.34,0,0,0,0,18.0,13.20,-3.79,14.70,0.59,on,14.70,172,1.000,0.0,0.00,0.00,996,1141,71.8,0,10.50,1.14,102,102,0,0,2,0,22.0,11.11,19.22,1.62,9.78,145,1124,55.34,0,0,0,0,8.55,1.000,17.37,17.7,0.00,0
0.311,-4.69,-1.56,18.63,0,0,0,0,18.8,13.20,-3.61,14.70,0.61,on,14.70,172,1.000,0.0,0.00,0.00,1081,1234,71.8,0,11.00,1.24,102,102,2,0,2,0,22.0,12.34,20.94,1.70,9.85,145,1162,57.09,0,0,0,0,8.52,1.000,17.58,23.6,2.75,0
0.326,-4.69,-1.56,18.67,0,0,0,0,18.8,13.20,-3.37,14.70,0.63,on,14.70,172,1.000,0.0,0.00,0.00,1044,1234,71.8,0,11.00,1.24,102,102,2,0,3,0,22.0,13.37,23.51,1.70,10.11,145,1213,58.05,0,0,0,0,8.50,1.000,17.73,23.6,2.75,0
0.381,-3.91,-1.56,18.61,0,0,0,0,20.0,13.20,-2.48,14.65,0.74,on,14.70,172,1.000,0.0,0.00,0.00,1335,1447,71.8,0,11.00,1.73,102,102,22,14,3,25,22.0,17.67,24.19,1.80,11.28,145,1391,60.79,0,0,0,0,8.45,1.000,18.06,22.0,3.14,0
0.410,-3.91,-1.56,18.33,0,0,0,0,20.0,13.20,-2.32,14.65,0.74,on,14.70,172,1.000,0.0,0.00,0.00,1371,1447,71.8,0,11.00,1.73,102,102,22,14,28,25,22.0,18.44,25.26,1.80,11.27,145,1451,61.39,0,0,0,0,8.44,1.000,18.13,22.0,3.14,0
0.424,-4.69,-1.56,18.23,0,0,0,0,20.4,13.20,-2.14,14.65,0.76,on,14.70,172,1.000,0.0,0.00,0.00,1422,1447,71.8,0,11.50,1.88,102,102,22,89,28,106,22.0,19.82,24.73,1.82,11.33,145,1536,62.35,0,0,0,0,8.43,1.000,18.19,22.4,3.14,0
0.460,-4.69,-1.56,18.00,0,0,-1,0,20.4,13.20,-2.08,14.63,0.76,on,14.70,172,1.000,0.0,0.00,0.00,1422,1526,71.8,0,12.00,2.04,102,102,89,89,28,106,22.0,21.56,25.80,1.80,11.30,145,1638,62.74,0,0,0,0,8.42,1.000,18.23,22.4,3.14,0
