Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Curr (mA),AF Sens 1 Ratio (AFR),AVCS Exh Table (°),AVCS In Table (°),Accel Position (%),Battery Volts (V),Boost Extended (psi),CL Fuel Target (AFR),CL Fuel Target Table (AFR),CPC Purge Valve Duty (%),Calculated Load (g/rev),Catalyst Temp (F),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv (°),Dynamic Adv Base Table (°),Dynamic Adv Lrn (°),EGR Estimate (steps),Engine Start Mode (mode),Ethanol Final (%),Feedback Knock (°),Fine Knock Learn (°),Fuel Econ Corr (mult),Fuel Pressure (psi),Fuel Pressure Target (psi),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),Knock Sum (count),MAF Corr Final (g/s),MAF Table (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),Per Gear Boost (%),Primary Ign (°),RPM (RPM),Req Torque (Nm),TD Boost Error Ext (psi),TGV Map Ratio (mult),TPS Duty (%),TPS Volts Main (V),Target Boost Final Abs Ext (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.4.2-17439][2016 USDM WRX MT COBB Custom Features Gen2][Reflash: _Stage 1 19psi.ptm - Realtime: _Stage 1 19psi.ptm]
0.000,7.81,7.81,0.00,14.70,0.00,-10.30,0.0,13.52,-9.84,14.51,14.73,0.0,0.17,894.3,15.75,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,386,438,71.8,0,4.00,0.47,84,3,2.20,2.24,0.72,3.23,187,0.0,16.50,738,0.00,5.48,0.000,-33.59,0.66,8.71,4.7,0,0.00,0
0.086,7.81,7.81,0.00,14.69,0.00,-10.30,0.0,13.52,-9.83,14.51,14.73,0.0,0.17,894.3,15.75,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,382,438,71.8,0,4.00,0.47,84,3,2.20,2.28,0.72,3.23,187,0.0,16.50,738,0.00,5.48,0.000,-33.59,0.66,8.71,5.1,0,0.00,0
0.121,7.81,7.81,0.00,14.69,0.00,-10.30,0.0,13.52,-9.85,14.51,14.73,0.0,0.17,894.3,15.75,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,388,438,71.8,0,4.00,0.47,84,3,2.20,2.24,0.72,3.22,187,0.0,16.50,738,0.00,5.50,0.000,-33.59,0.66,8.71,5.1,0,0.00,0
0.134,7.81,7.81,0.00,14.66,0.00,-10.30,0.0,13.60,-9.85,14.51,14.73,0.0,0.17,893.9,15.75,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,373,438,71.8,0,4.00,0.47,84,3,2.20,2.17,0.74,3.22,187,0.0,16.50,738,0.00,5.50,0.000,-33.59,0.66,8.71,4.7,0,0.00,0
0.139,7.81,7.81,0.00,14.65,0.00,-10.30,0.0,13.60,-9.84,14.51,14.73,0.0,0.17,893.9,15.75,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,393,438,71.8,0,4.00,0.47,84,3,2.20,2.26,0.72,3.22,187,0.0,16.50,738,0.00,5.49,0.000,-34.38,0.66,8.71,4.7,0,0.00,0
0.166,7.81,7.81,0.00,14.62,0.00,-10.30,0.0,13.52,-9.86,14.51,14.73,0.0,0.17,893.9,15.75,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,382,438,71.8,0,4.50,0.47,84,3,2.21,2.28,0.74,3.22,187,0.0,16.50,738,0.00,5.51,0.000,-34.38,0.66,8.71,4.7,0,0.00,0
0.173,7.81,7.81,0.00,14.60,0.00,-10.30,0.0,13.68,-9.86,14.51,14.73,0.0,0.17,893.4,15.75,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,389,438,71.8,0,4.00,0.47,84,3,2.21,2.28,0.74,3.21,187,0.0,16.50,735,0.00,5.51,0.000,-34.38,0.66,8.71,5.1,0,0.00,0
0.178,7.81,7.81,0.00,14.57,0.00,-10.30,0.0,13.68,-9.86,14.51,14.73,0.0,0.17,893.4,15.75,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,377,438,71.8,0,4.00,0.47,84,3,2.21,2.24,0.72,3.21,187,0.0,16.50,733,0.00,5.52,0.000,-34.38,0.66,8.71,5.1,0,0.00,0
0.205,7.81,7.81,0.00,14.56,0.00,-10.30,0.0,13.52,-9.86,14.53,14.73,0.0,0.17,893.4,16.01,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,397,438,71.8,0,4.00,0.47,84,3,2.21,2.31,0.72,3.21,187,0.0,16.50,732,0.00,5.51,0.000,-35.94,0.66,8.71,5.1,0,0.00,0
0.213,7.81,7.81,0.00,14.55,0.00,-10.40,0.0,13.52,-9.86,14.57,14.73,0.0,0.18,893.4,16.01,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,383,438,71.8,0,4.00,0.47,84,3,2.21,2.33,0.74,3.20,187,0.0,17.00,730,0.00,5.51,0.000,-33.59,0.66,8.71,5.1,0,0.00,0
0.218,7.03,7.81,0.00,14.50,0.00,-10.40,0.0,13.68,-9.86,14.63,14.73,0.0,0.18,893.0,16.01,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,380,438,71.8,0,4.00,0.47,84,3,2.21,2.28,0.74,3.23,187,0.0,17.00,730,0.00,5.51,0.000,-31.25,0.66,8.71,5.1,0,0.00,0
0.250,7.03,7.81,-0.12,14.48,0.00,-10.30,0.0,13.44,-9.86,14.67,14.73,0.0,0.18,893.0,16.01,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,378,438,71.8,0,4.00,0.47,84,3,2.21,2.26,0.74,3.22,187,0.0,17.00,732,0.00,5.51,0.000,-31.25,0.66,8.71,5.1,0,0.00,0
0.266,7.03,7.81,-0.12,14.48,0.00,-10.40,0.0,13.44,-9.85,14.71,14.73,0.0,0.18,893.0,15.95,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,385,438,71.8,0,4.00,0.47,84,3,2.21,2.31,0.74,3.22,187,0.0,17.00,732,0.00,5.51,0.000,-31.25,0.66,8.71,5.1,0,0.00,0
0.294,6.25,7.81,-0.12,14.44,0.00,-10.40,0.0,13.68,-9.85,14.71,14.73,0.0,0.18,892.6,16.01,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,389,438,71.8,0,4.00,0.47,84,3,2.22,2.28,0.74,3.21,187,0.0,17.00,733,0.00,5.51,0.000,-30.47,0.66,8.71,5.1,0,0.00,0
0.299,6.25,7.81,-0.12,14.41,0.00,-10.40,0.0,13.60,-9.85,14.71,14.73,0.0,0.18,892.6,16.01,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,397,438,71.8,0,4.00,0.47,84,3,2.22,2.33,0.74,3.21,187,0.0,17.00,731,0.00,5.51,0.000,-32.81,0.66,8.71,4.7,0,0.00,0
0.325,6.25,7.81,-0.12,14.39,0.00,-10.40,0.0,13.52,-9.86,14.71,14.73,0.0,0.18,892.6,16.01,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,392,438,71.8,0,4.00,0.47,84,3,2.22,2.31,0.76,3.22,187,0.0,17.00,731,0.00,5.51,0.000,-32.81,0.66,8.71,5.1,0,0.00,0
0.351,6.25,7.81,-0.12,14.38,0.00,-10.40,0.0,13.52,-9.85,14.71,14.73,0.0,0.18,892.6,16.01,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,388,438,71.8,0,4.00,0.47,84,3,2.22,2.31,0.74,3.22,187,0.0,17.00,731,0.00,5.52,0.000,-34.38,0.66,8.71,5.1,0,0.00,0
0.396,6.25,7.81,-0.12,14.34,0.00,-10.40,0.0,13.68,-9.86,14.71,14.73,0.0,0.18,892.2,16.01,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,389,438,71.8,0,4.00,0.47,84,3,2.22,2.24,0.74,3.22,187,0.0,17.00,730,0.00,5.51,0.000,-35.16,0.66,8.71,4.7,0,0.00,0
0.433,5.47,7.81,-0.12,14.33,0.00,-10.40,0.0,13.52,-9.86,14.71,14.73,0.0,0.18,892.2,16.01,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,393,438,71.8,0,4.00,0.47,84,3,2.22,2.31,0.74,3.21,187,0.0,17.00,729,0.00,5.52,0.000,-35.94,0.66,8.71,5.1,0,0.00,0
0.472,5.47,7.81,-0.12,14.32,0.00,-10.40,0.0,13.52,-9.86,14.71,14.73,0.0,0.18,892.2,16.01,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,381,438,71.8,0,4.50,0.47,84,3,2.22,2.24,0.74,3.22,187,0.0,17.00,729,0.00,5.51,0.000,-34.38,0.66,8.71,5.1,0,0.00,0
0.498,5.47,7.81,-0.12,14.28,0.00,-10.40,0.0,13.68,-9.86,14.71,14.73,0.0,0.18,892.2,16.01,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,386,438,71.8,0,4.50,0.47,84,3,2.22,2.28,0.74,3.23,187,0.0,17.00,727,0.00,5.50,0.000,-34.38,0.66,8.71,5.1,0,0.00,0
0.545,5.47,7.81,-0.12,14.29,0.00,-10.40,0.0,13.68,-9.84,14.71,14.73,0.0,0.18,892.2,16.01,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,386,438,71.8,0,4.50,0.47,84,3,2.22,2.28,0.74,3.23,187,0.0,17.00,727,0.00,5.49,0.000,-34.38,0.66,8.71,5.1,0,0.00,0
0.624,5.47,7.81,-0.12,14.24,0.00,-10.40,0.0,13.52,-9.85,14.71,14.73,0.0,0.18,891.8,16.01,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,374,438,71.8,0,4.50,0.46,84,3,2.22,2.21,0.74,3.22,187,0.0,17.00,725,0.00,5.50,0.000,-31.25,0.66,8.71,5.1,0,0.00,0
0.629,4.69,7.81,-0.25,14.23,0.00,-10.40,0.0,13.52,-9.85,14.71,14.73,0.0,0.18,891.8,16.01,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,377,438,71.8,0,4.50,0.46,84,3,2.22,2.24,0.74,3.22,187,0.0,17.00,727,0.00,5.50,0.000,-30.47,0.66,8.71,5.1,0,0.00,0
0.655,4.69,7.81,-0.25,14.23,0.00,-10.40,0.0,13.68,-9.84,14.71,14.73,0.0,0.18,891.8,16.01,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,380,438,71.8,0,4.50,0.47,84,3,2.23,2.26,0.74,3.22,187,0.0,17.00,727,0.00,5.49,0.000,-32.03,0.66,8.71,5.1,0,0.00,0
0.691,4.69,7.81,-0.25,14.21,0.00,-10.40,0.0,13.68,-9.84,14.71,14.73,0.0,0.18,891.8,16.01,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,382,438,71.8,0,4.50,0.47,84,3,2.23,2.26,0.74,3.22,187,0.0,17.00,726,0.00,5.50,0.000,-32.03,0.66,8.71,5.1,0,0.00,0
0.715,4.69,7.81,-0.25,14.19,0.00,-10.40,0.0,13.60,-9.85,14.71,14.73,0.0,0.18,891.3,16.01,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,385,438,71.8,0,4.50,0.46,84,3,2.23,2.24,0.74,3.22,187,0.0,17.00,728,0.00,5.50,0.000,-41.41,0.66,8.71,5.1,0,0.00,0
0.742,4.69,7.81,-0.25,14.18,0.00,-10.40,0.0,13.52,-9.85,14.71,14.73,0.0,0.18,891.3,16.01,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,376,438,71.8,0,4.50,0.47,84,3,2.23,2.28,0.76,3.23,187,0.0,17.00,730,0.00,5.50,0.000,-32.81,0.66,8.71,4.7,0,0.00,0
0.781,4.69,7.81,-0.25,14.16,0.00,-10.40,0.0,13.60,-9.84,14.71,14.73,0.0,0.18,891.3,16.01,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,377,438,71.8,0,4.50,0.47,84,3,2.24,2.38,0.76,3.23,187,0.0,17.00,731,0.00,5.49,0.000,-17.19,0.68,8.71,5.5,0,0.00,0
0.804,4.69,7.81,-0.25,14.16,0.00,-10.40,0.0,13.60,-9.83,14.71,14.73,0.0,0.18,891.3,16.01,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,378,438,71.8,0,4.50,0.47,84,3,2.26,2.49,0.76,3.23,187,0.0,17.00,731,0.00,5.48,0.000,-17.19,0.68,8.71,5.5,0,0.00,0
0.830,3.91,7.81,-0.25,14.15,0.00,-10.40,0.0,13.60,-9.81,14.71,14.73,0.0,0.18,891.3,16.01,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,382,438,71.8,0,9.50,0.47,84,3,2.28,2.58,0.78,3.25,187,0.0,17.00,736,0.00,5.46,0.000,-21.88,0.68,8.71,5.5,0,0.00,0
0.867,3.91,7.81,-0.25,14.13,0.00,-10.40,0.0,13.60,-9.80,14.71,14.73,0.0,0.18,890.9,16.01,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,392,438,71.8,0,10.00,0.47,84,3,2.30,2.58,0.80,3.28,187,0.0,17.00,742,0.00,5.45,0.000,-27.34,0.68,8.71,5.5,0,0.00,0
0.904,3.91,7.81,-0.25,14.12,0.00,-10.40,0.0,13.60,-9.77,14.71,14.73,0.0,0.18,890.9,16.01,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,377,438,71.8,0,10.00,0.48,84,3,2.32,2.58,0.82,3.30,187,0.0,17.00,746,0.00,5.42,0.000,-23.44,0.68,8.71,5.5,0,0.00,0
0.941,3.91,7.81,-0.25,14.14,0.00,-10.40,0.0,13.60,-9.75,14.71,14.73,0.0,0.18,890.9,16.01,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,380,438,71.8,0,10.50,0.48,84,3,2.34,2.55,0.80,3.32,187,0.0,17.00,755,0.00,5.41,0.000,-32.81,0.68,8.71,5.5,0,0.00,0
1.024,3.91,7.81,-0.25,14.12,0.00,-10.40,0.0,13.60,-9.74,14.71,14.73,0.0,0.18,890.9,15.81,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,378,438,71.8,0,10.50,0.48,84,3,2.35,2.58,0.80,3.32,187,0.0,17.00,757,0.00,5.40,0.000,-32.81,0.68,8.71,5.5,0,0.00,0
1.029,3.91,7.81,-0.25,14.10,0.00,-10.40,0.0,13.68,-9.74,14.71,14.73,0.0,0.18,890.9,15.81,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,386,438,71.8,0,10.00,0.48,84,3,2.36,2.52,0.80,3.34,187,0.0,17.00,761,0.00,5.39,0.000,-32.03,0.68,8.71,5.1,0,0.00,0
1.056,3.91,7.81,-0.25,14.10,0.00,-10.40,0.0,13.44,-9.74,14.71,14.73,0.0,0.18,890.5,15.81,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,375,438,71.8,0,10.00,0.49,84,3,2.37,2.58,0.80,3.35,187,0.0,17.00,770,0.00,5.39,0.000,-40.62,0.68,8.71,5.1,0,0.00,0
1.099,3.12,7.81,-0.25,14.10,0.00,-10.40,0.0,13.44,-9.73,14.71,14.73,0.0,0.18,890.5,15.81,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,375,438,71.8,0,9.50,0.49,84,3,2.38,2.61,0.80,3.34,187,0.0,17.00,773,0.00,5.38,0.000,-31.25,0.68,8.71,5.1,0,0.00,0
1.123,3.12,7.81,-0.25,14.09,0.00,-10.40,0.0,13.44,-9.73,14.71,14.73,0.0,0.18,890.5,15.81,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,393,438,71.8,0,9.50,0.49,84,3,2.38,2.55,0.80,3.34,187,0.0,17.00,778,0.00,5.39,0.000,-31.25,0.68,8.71,5.1,0,0.00,0
1.128,3.12,7.81,-0.25,14.09,0.00,-10.40,0.0,13.52,-9.75,14.71,14.73,0.0,0.18,890.5,15.81,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,390,438,71.8,0,8.50,0.50,84,3,2.39,2.40,0.80,3.32,187,0.0,17.00,784,0.00,5.39,0.000,-44.53,0.68,8.71,5.1,0,0.00,0
1.169,3.12,7.81,-0.25,14.07,0.00,-10.40,0.0,13.68,-9.76,14.71,14.73,0.0,0.18,890.5,15.81,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,388,438,71.8,0,8.00,0.50,84,3,2.39,2.21,0.76,3.32,187,0.0,17.00,788,0.00,5.41,0.000,-43.75,0.68,8.71,5.1,0,0.00,0
1.194,3.12,7.81,-0.25,14.07,0.00,-10.30,0.0,13.68,-9.77,14.71,14.73,0.0,0.17,890.1,15.88,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,389,438,71.8,0,8.50,0.50,84,3,2.38,2.21,0.74,3.29,187,0.0,16.50,793,0.00,5.43,0.000,-36.72,0.66,8.71,5.1,0,0.00,0
1.233,3.12,7.81,-0.25,14.06,0.00,-10.30,0.0,13.52,-9.80,14.71,14.73,0.0,0.17,890.1,15.88,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,380,438,71.8,0,8.00,0.51,84,3,2.38,2.14,0.72,3.27,187,0.0,16.50,796,0.00,5.45,0.000,-35.16,0.66,8.71,4.7,0,0.00,0
1.270,2.34,7.81,-0.25,14.05,0.00,-10.31,0.0,13.60,-9.82,14.71,14.73,0.0,0.17,890.1,15.68,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,385,438,71.8,0,7.50,0.51,84,3,2.38,2.12,0.72,3.25,187,0.0,16.50,802,0.00,5.46,0.000,-36.72,0.66,8.69,4.7,0,0.00,0
1.287,2.34,7.81,-0.25,14.04,0.00,-10.32,0.0,13.60,-9.84,14.71,14.73,0.0,0.17,890.1,15.68,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,388,438,71.8,0,7.50,0.51,84,3,2.37,2.14,0.72,3.24,187,0.0,16.50,804,0.00,5.47,0.000,-37.50,0.66,8.69,4.7,0,0.00,0
1.316,2.34,7.81,-0.25,14.05,0.00,-10.35,0.0,13.60,-9.86,14.71,14.73,0.0,0.17,890.1,15.68,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,391,438,71.8,0,7.50,0.51,84,3,2.36,2.19,0.72,3.20,187,0.0,16.50,804,0.00,5.50,0.000,-37.50,0.66,8.69,4.7,0,0.00,0
1.347,2.34,7.81,-0.25,14.04,0.00,-10.35,0.0,13.60,-9.88,14.71,14.73,0.0,0.17,889.6,15.68,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,393,438,71.8,0,7.00,0.52,84,3,2.36,2.19,0.72,3.16,187,0.0,16.50,808,0.00,5.48,0.000,-36.72,0.66,8.66,4.7,0,0.00,0
1.379,2.34,7.81,-0.25,14.03,0.00,-10.34,0.0,13.60,-9.89,14.71,14.73,0.0,0.17,889.6,15.68,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,397,438,71.8,0,7.00,0.52,84,3,2.36,2.14,0.72,3.16,187,0.0,16.50,807,0.00,5.50,0.000,-36.72,0.66,8.67,4.7,0,0.00,0
1.400,2.34,7.81,-0.25,14.02,0.00,-10.37,0.0,13.60,-9.91,14.71,14.73,0.0,0.17,889.6,15.68,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,385,438,71.8,0,7.00,0.52,84,3,2.36,2.05,0.72,3.15,187,0.0,16.50,811,0.00,5.51,0.000,-36.72,0.66,8.65,4.7,0,0.00,0
1.424,2.34,7.81,-0.25,14.03,0.00,-10.37,0.0,13.52,-9.93,14.71,14.73,0.0,0.17,889.6,15.68,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,392,438,71.8,0,6.50,0.52,84,3,2.35,2.02,0.68,3.13,187,0.0,16.50,812,0.00,5.50,0.000,-39.84,0.66,8.64,4.7,0,0.00,0
1.453,2.34,7.81,-0.25,14.03,0.00,-10.39,0.0,13.52,-9.93,14.71,14.73,0.0,0.17,889.6,15.68,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,383,438,71.8,0,6.50,0.52,84,3,2.35,1.95,0.66,3.13,187,0.0,16.50,814,0.00,5.52,0.000,-33.59,0.66,8.63,4.7,0,0.00,0
1.481,2.34,7.81,-0.25,14.01,0.00,-10.39,0.0,13.52,-9.96,14.71,14.73,0.0,0.17,889.6,15.68,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,396,438,71.8,0,6.50,0.52,84,3,2.34,1.98,0.66,3.10,187,0.0,16.50,814,0.00,5.52,0.000,-33.59,0.66,8.63,4.7,0,0.00,0
1.504,1.56,7.81,-0.25,14.02,0.00,-10.39,0.0,13.52,-9.96,14.71,14.73,0.0,0.17,889.2,15.68,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,382,438,71.8,0,6.50,0.52,84,3,2.34,2.02,0.68,3.09,187,0.0,16.50,814,0.00,5.54,0.000,-33.59,0.66,8.63,4.7,0,0.00,0
1.536,1.56,7.81,-0.25,14.04,0.00,-10.41,0.0,13.68,-9.98,14.71,14.73,0.0,0.17,889.2,15.68,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,382,438,71.8,0,6.50,0.52,84,3,2.33,2.12,0.70,3.08,187,0.0,16.50,814,0.00,5.56,0.000,-30.47,0.66,8.63,4.7,0,0.00,0
1.563,1.56,7.81,-0.25,14.03,0.00,-10.41,0.0,13.68,-9.98,14.71,14.73,0.0,0.17,889.2,15.68,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,385,438,71.8,0,6.50,0.52,84,3,2.33,2.17,0.70,3.08,187,0.0,16.50,817,0.00,5.54,0.000,-30.47,0.66,8.61,4.7,0,0.00,0
1.593,1.56,7.81,-0.25,14.01,0.00,-10.41,0.0,13.68,-10.00,14.71,14.73,0.0,0.17,889.2,15.68,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,383,438,71.8,0,6.50,0.52,84,3,2.32,2.26,0.72,3.06,187,0.0,16.50,816,0.00,5.56,0.000,-31.25,0.66,8.62,5.1,0,0.00,0
1.623,1.56,7.81,-0.25,14.03,0.00,-10.41,0.0,13.52,-10.02,14.71,14.73,0.0,0.17,889.2,15.68,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,386,438,71.8,0,6.00,0.52,84,3,2.32,2.33,0.76,3.05,187,0.0,16.50,817,0.00,5.58,0.000,-33.59,0.66,8.61,5.1,0,0.00,0
1.638,1.56,7.81,-0.25,14.05,0.00,-10.41,0.0,13.52,-10.02,14.71,14.73,0.0,0.17,889.2,15.68,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,388,438,71.8,0,6.00,0.52,84,3,2.32,2.40,0.76,3.05,187,0.0,16.50,817,0.00,5.58,0.000,-33.59,0.66,8.62,5.1,0,0.00,0
1.667,1.56,7.81,-0.25,14.03,0.00,-10.40,0.0,13.52,-10.02,14.71,14.73,0.0,0.17,888.8,15.68,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,394,438,71.8,0,6.00,0.52,84,3,2.30,2.33,0.76,3.05,187,0.0,16.50,813,0.00,5.60,0.000,-31.25,0.66,8.63,5.1,0,0.00,0
1.698,1.56,7.81,-0.25,14.03,0.00,-10.39,0.0,13.52,-10.03,14.71,14.73,0.0,0.17,888.8,15.68,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,382,438,71.8,0,6.50,0.52,84,3,2.30,2.24,0.74,3.03,187,0.0,16.50,813,0.00,5.61,0.000,-32.03,0.66,8.63,5.1,0,0.00,0
1.729,1.56,7.81,-0.25,14.03,0.00,-10.39,0.0,13.60,-10.04,14.71,14.73,0.0,0.17,888.8,15.68,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,386,438,71.8,0,6.50,0.52,84,3,2.30,2.26,0.74,3.03,187,0.0,16.50,814,0.00,5.61,0.000,-30.47,0.66,8.63,5.1,0,0.00,0
1.760,1.56,7.81,-0.25,14.05,0.00,-10.37,0.0,13.60,-10.05,14.71,14.73,0.0,0.17,888.8,15.68,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,371,438,71.8,0,6.50,0.52,84,3,2.30,2.28,0.74,3.02,187,0.0,16.50,814,0.00,5.63,0.000,-30.47,0.66,8.63,5.1,0,0.00,0
1.794,0.78,7.81,-0.25,14.04,0.00,-10.37,0.0,13.68,-10.05,14.71,14.73,0.0,0.17,888.8,15.68,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,397,438,71.8,0,6.50,0.52,84,3,2.28,2.28,0.74,3.02,187,0.0,16.50,809,0.00,5.66,0.000,-29.69,0.66,8.66,5.1,0,0.00,0
1.810,0.78,7.81,-0.25,14.05,0.00,-10.33,0.0,13.60,-10.05,14.71,14.73,0.0,0.17,888.4,15.68,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,394,438,71.8,0,6.50,0.51,84,3,2.27,2.38,0.76,3.01,187,0.0,16.50,803,0.00,5.69,0.000,-28.12,0.66,8.69,5.1,0,0.00,0
1.837,0.78,7.81,-0.25,14.05,0.00,-10.31,0.0,13.60,-10.06,14.71,14.73,0.0,0.17,888.4,15.68,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,382,438,71.8,0,6.50,0.51,84,3,2.27,2.38,0.76,3.00,187,0.0,16.50,802,0.00,5.71,0.000,-28.12,0.66,8.70,5.1,0,0.00,0
1.873,0.78,7.81,-0.25,14.06,0.00,-10.31,0.0,13.52,-10.06,14.71,14.73,0.0,0.17,888.4,15.68,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,386,438,71.8,0,6.50,0.51,84,3,2.26,2.42,0.76,3.00,187,0.0,16.50,800,0.00,5.71,0.000,-34.38,0.66,8.71,5.1,0,0.00,0
1.900,0.78,7.81,-0.25,14.05,0.00,-10.30,0.0,13.52,-10.06,14.71,14.73,0.0,0.17,888.4,15.88,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,389,438,71.8,0,7.00,0.51,84,3,2.26,2.40,0.76,3.00,187,0.0,16.50,795,0.00,5.72,0.000,-26.56,0.68,8.71,5.1,0,0.00,0
