Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Curr (mA),AF Sens 1 Ratio (AFR),AVCS Exh Table (°),AVCS In Table (°),Accel Position (%),Battery Volts (V),Boost Extended (psi),CL Fuel Target (AFR),CL Fuel Target Table (AFR),CPC Purge Valve Duty (%),Calculated Load (g/rev),Catalyst Temp (F),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv (°),Dynamic Adv Base Table (°),Dynamic Adv Lrn (°),EGR Estimate (steps),Engine Start Mode (mode),Ethanol Final (%),Feedback Knock (°),Fine Knock Learn (°),Fuel Econ Corr (mult),Fuel Pressure (psi),Fuel Pressure Target (psi),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),Knock Sum (count),MAF Corr Final (g/s),MAF Table (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),Per Gear Boost (%),Primary Ign (°),RPM (RPM),Req Torque (Nm),TD Boost Error Ext (psi),TGV Map Ratio (mult),TPS Duty (%),TPS Volts Main (V),Target Boost Final Abs Ext (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.4.2-17439][2016 USDM WRX MT COBB Custom Features Gen2][Reflash: Stage1+BigSF 91 v400.ptm - Realtime: Stage1+BigSF 91 v400.ptm]
0.000,4.69,7.81,-0.25,14.20,0.00,-10.30,0.0,13.84,-9.92,14.36,14.73,0.0,0.17,670.5,15.55,189,0.562,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,388,438,71.8,6,6.00,0.46,99,0,2.06,2.14,0.74,3.16,173,0.0,16.50,722,0.00,5.57,0.000,-32.03,0.66,8.71,4.7,21,0.00,0
0.028,4.69,7.81,-0.25,14.19,0.00,-10.30,0.0,13.84,-9.92,14.36,14.73,0.0,0.17,670.2,15.55,189,0.562,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,393,438,71.8,6,6.00,0.46,99,0,2.07,2.10,0.70,3.17,173,0.0,16.50,723,0.00,5.57,0.000,-32.03,0.66,8.71,4.7,21,0.00,0
0.043,4.69,7.81,-0.25,14.17,0.00,-10.30,0.0,13.76,-9.91,14.36,14.73,0.0,0.17,670.2,15.55,189,0.562,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,394,438,71.8,6,6.00,0.46,99,0,2.07,2.17,0.70,3.16,173,0.0,16.50,724,0.00,5.56,0.000,-40.62,0.66,8.71,4.7,21,0.00,0
0.048,4.69,7.81,-0.25,14.18,0.00,-10.30,0.0,14.00,-9.90,14.36,14.73,0.0,0.17,670.2,15.55,189,0.562,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,402,438,71.8,6,6.00,0.46,99,0,2.07,2.31,0.74,3.16,173,0.0,16.50,724,0.00,5.56,0.000,-35.94,0.66,8.71,4.7,21,0.00,0
0.076,4.69,7.81,-0.25,14.15,0.00,-10.30,0.0,13.92,-9.91,14.36,14.73,0.0,0.17,670.0,15.55,189,0.562,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,385,438,71.8,6,6.00,0.46,99,0,2.08,2.33,0.74,3.17,173,0.0,16.50,725,0.00,5.56,0.000,-37.50,0.66,8.71,4.7,21,0.00,0
0.116,4.69,7.81,-0.25,14.14,0.00,-10.30,0.0,13.76,-9.90,14.36,14.73,0.0,0.17,670.0,15.55,189,0.562,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,393,438,71.8,6,6.00,0.46,99,0,2.08,2.28,0.74,3.16,173,0.0,16.50,725,0.00,5.56,0.000,-39.06,0.66,8.71,4.7,21,0.00,0
0.152,4.69,7.81,-0.25,14.14,0.00,-10.30,0.0,13.92,-9.90,14.36,14.73,0.0,0.17,670.0,15.55,189,0.562,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,387,438,71.8,6,6.00,0.46,99,0,2.09,2.21,0.72,3.17,173,0.0,16.50,726,0.00,5.56,0.000,-39.84,0.66,8.71,4.7,20,0.00,0
0.211,4.69,7.81,-0.25,14.11,0.00,-10.30,0.0,13.76,-9.91,14.36,14.73,0.0,0.17,669.8,15.55,189,0.562,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,391,438,71.8,6,6.00,0.46,99,0,2.09,2.19,0.72,3.16,173,0.0,16.50,727,0.00,5.56,0.000,-39.84,0.66,8.71,4.7,20,0.00,0
0.244,3.91,7.81,-0.25,14.12,0.00,-10.30,0.0,13.84,-9.90,14.36,14.73,0.0,0.17,669.8,15.55,189,0.562,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,399,438,71.8,6,6.00,0.46,99,0,2.09,2.21,0.72,3.16,173,0.0,16.50,726,0.00,5.56,0.000,-41.41,0.66,8.71,4.7,20,0.00,0
0.270,3.91,7.81,-0.25,14.12,0.00,-10.30,0.0,13.84,-9.91,14.36,14.73,0.0,0.17,669.8,15.55,189,0.562,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,389,438,71.8,6,6.00,0.46,99,0,2.09,2.17,0.72,3.16,173,0.0,16.50,726,0.00,5.56,0.000,-40.62,0.66,8.71,4.7,20,0.00,0
0.316,3.91,7.81,-0.25,14.10,0.00,-10.30,0.0,13.92,-9.91,14.36,14.73,0.0,0.17,669.8,15.55,189,0.562,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,385,438,71.8,6,6.00,0.46,99,0,2.10,2.28,0.72,3.15,173,0.0,16.50,725,0.00,5.56,0.000,-39.84,0.66,8.71,4.7,20,0.00,0
0.345,3.91,7.81,-0.25,14.10,0.00,-10.30,0.0,13.76,-9.92,14.36,14.73,0.0,0.17,669.6,15.55,189,0.562,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,402,438,71.8,6,6.00,0.46,99,0,2.10,2.19,0.74,3.15,173,0.0,16.50,724,0.00,5.57,0.000,-39.84,0.66,8.71,4.7,19,0.00,0
0.364,3.91,7.81,-0.25,14.11,0.00,-10.30,0.0,13.76,-9.92,14.36,14.73,0.0,0.17,669.6,15.55,189,0.562,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,391,438,71.8,6,6.00,0.46,99,0,2.10,2.10,0.74,3.16,173,0.0,16.50,725,0.00,5.56,0.000,-39.84,0.66,8.71,4.7,19,0.00,0
0.391,3.91,7.81,-0.25,14.10,0.00,-10.30,0.0,13.92,-9.91,14.36,14.73,0.0,0.17,669.6,15.55,189,0.562,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,389,438,71.8,6,6.00,0.46,99,0,2.10,2.02,0.70,3.16,173,0.0,16.50,724,0.00,5.57,0.000,-38.28,0.66,8.71,4.7,19,0.00,0
0.417,3.91,7.81,-0.25,14.08,0.00,-10.30,0.0,13.92,-9.92,14.36,14.73,0.0,0.17,669.6,15.55,189,0.562,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,397,438,71.8,6,6.00,0.46,99,0,2.10,1.93,0.68,3.16,173,0.0,16.50,723,0.00,5.57,0.000,-39.06,0.66,8.71,4.7,19,0.00,0
0.453,3.91,7.81,-0.25,14.09,0.00,-10.30,0.0,13.92,-9.91,14.36,14.73,0.0,0.17,669.6,15.55,189,0.562,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,381,438,71.8,6,6.00,0.46,99,0,2.10,2.02,0.68,3.16,173,0.0,16.50,723,0.00,5.56,0.000,-39.06,0.66,8.71,4.7,19,0.00,0
0.510,3.91,7.81,-0.25,14.05,0.00,-10.30,0.0,13.76,-9.92,14.36,14.73,0.0,0.17,669.3,15.55,189,0.562,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,384,438,71.8,6,6.00,0.46,99,0,2.10,2.19,0.72,3.15,173,0.0,16.50,720,0.00,5.57,0.000,-38.28,0.66,8.71,4.7,19,0.00,0
0.571,3.91,7.81,-0.25,14.06,0.00,-10.30,0.0,13.84,-9.91,14.36,14.73,0.0,0.17,669.3,15.55,189,0.562,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,387,438,71.8,6,6.00,0.46,99,0,2.10,2.24,0.74,3.15,173,0.0,16.50,721,0.00,5.55,0.000,-36.72,0.66,8.71,4.7,19,0.00,0
0.592,3.91,7.81,-0.25,14.06,0.00,-10.30,0.0,14.00,-9.91,14.36,14.73,0.0,0.17,669.3,15.55,189,0.562,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,392,438,71.8,6,6.00,0.46,99,0,2.10,2.17,0.72,3.15,173,0.0,16.50,717,0.00,5.56,0.000,-38.28,0.66,8.71,4.7,19,0.00,0
0.669,3.91,7.81,-0.25,14.04,0.00,-10.30,0.0,13.68,-9.92,14.36,14.73,0.0,0.17,669.3,15.55,189,0.562,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,394,438,71.8,6,6.00,0.46,99,0,2.10,2.21,0.74,3.15,173,0.0,16.50,717,0.00,5.56,0.000,-39.06,0.66,8.71,4.7,19,0.00,0
0.685,3.12,7.81,-0.25,14.05,0.00,-10.30,0.0,13.84,-9.92,14.36,14.73,0.0,0.17,669.1,15.55,189,0.562,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,383,438,71.8,6,6.00,0.46,99,0,2.10,2.14,0.74,3.15,173,0.0,16.50,717,0.00,5.57,0.000,-34.38,0.66,8.71,4.7,19,0.00,0
0.723,3.12,7.81,-0.25,14.04,0.00,-10.30,0.0,14.00,-9.91,14.36,14.73,0.0,0.17,669.1,15.55,189,0.562,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,388,438,71.8,6,6.00,0.46,99,0,2.10,2.10,0.72,3.16,173,0.0,16.50,717,0.00,5.56,0.000,-34.38,0.66,8.71,4.7,19,0.00,0
0.743,3.12,7.81,-0.25,14.05,0.00,-10.30,0.0,13.92,-9.90,14.36,14.73,0.0,0.17,669.1,15.55,189,0.562,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,392,438,71.8,6,6.00,0.46,99,0,2.11,2.10,0.70,3.16,173,0.0,16.50,717,0.00,5.56,0.000,-33.59,0.66,8.71,4.7,19,0.00,0
0.799,3.12,7.81,-0.25,14.04,0.00,-10.30,0.0,13.92,-9.91,14.36,14.73,0.0,0.17,669.1,15.55,189,0.562,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,393,438,71.8,6,6.00,0.46,99,0,2.11,2.05,0.70,3.16,173,0.0,16.50,717,0.00,5.56,0.000,-33.59,0.66,8.71,4.7,19,0.00,0
0.805,3.12,7.81,-0.25,14.02,0.00,-10.30,0.0,13.84,-9.91,14.36,14.73,0.0,0.17,669.1,15.55,189,0.562,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,398,438,71.8,6,6.00,0.46,99,0,2.11,2.07,0.70,3.16,173,0.0,16.50,715,0.00,5.56,0.000,-34.38,0.66,8.71,4.7,19,0.00,0
0.833,3.12,7.81,-0.25,14.03,0.00,-10.30,0.0,13.84,-9.90,14.36,14.73,0.0,0.17,668.9,15.55,189,0.562,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,387,438,71.8,6,6.00,0.46,99,0,2.11,2.17,0.70,3.17,173,0.0,16.50,715,0.00,5.55,0.000,-33.59,0.66,8.71,4.7,18,0.00,0
0.861,3.12,7.81,-0.25,14.02,0.00,-10.30,0.0,14.00,-9.90,14.36,14.73,0.0,0.17,668.9,15.55,189,0.562,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,397,438,71.8,6,6.00,0.46,99,0,2.11,2.19,0.72,3.17,173,0.0,16.50,716,0.00,5.55,0.000,-34.38,0.66,8.71,4.7,18,0.00,0
0.892,3.12,7.81,-0.25,14.02,0.00,-10.30,0.0,13.84,-9.89,14.36,14.73,0.0,0.17,668.9,15.55,189,0.562,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,409,438,71.8,6,6.00,0.46,99,0,2.11,2.31,0.72,3.17,173,0.0,16.50,717,0.00,5.54,0.000,-35.94,0.66,8.71,4.7,18,0.00,0
0.940,3.12,7.81,-0.25,14.01,0.00,-10.30,0.0,13.84,-9.90,14.36,14.73,0.0,0.17,668.9,15.55,189,0.562,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,397,438,71.8,6,6.00,0.46,99,0,2.11,2.24,0.72,3.18,173,0.0,16.50,715,0.00,5.55,0.000,-35.94,0.66,8.71,4.7,18,0.00,0
0.974,3.12,7.81,-0.25,14.00,0.00,-10.30,0.0,13.84,-9.90,14.36,14.73,0.0,0.17,668.9,15.55,189,0.562,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,396,438,71.8,6,6.00,0.46,99,0,2.11,2.10,0.74,3.18,173,0.0,16.50,715,0.00,5.55,0.000,-36.72,0.66,8.71,4.7,18,0.00,0
1.011,3.12,7.81,-0.25,14.01,0.00,-10.30,0.0,13.92,-9.89,14.36,14.73,0.0,0.17,668.7,15.55,189,0.562,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,392,438,71.8,6,6.00,0.46,99,0,2.11,2.05,0.70,3.17,173,0.0,16.50,715,0.00,5.54,0.000,-38.28,0.66,8.71,4.7,18,0.00,0
1.016,2.34,7.81,-0.38,14.00,0.00,-10.30,0.0,14.00,-9.89,14.36,14.73,0.0,0.17,668.7,15.55,189,0.562,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,403,438,71.8,6,6.00,0.46,99,0,2.11,2.02,0.68,3.17,173,0.0,16.50,714,0.00,5.55,0.000,-39.06,0.66,8.71,4.7,18,0.00,0
1.059,2.34,7.81,-0.25,14.01,0.00,-10.30,0.0,13.84,-9.89,14.36,14.73,0.0,0.17,668.7,15.55,189,0.562,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,389,438,71.8,6,6.00,0.46,99,0,2.12,2.03,0.68,3.17,173,0.0,16.50,716,0.00,5.55,0.000,-39.06,0.66,8.71,4.7,18,0.00,0
1.082,2.34,7.81,-0.25,13.98,0.00,-10.30,0.0,13.84,-9.90,14.36,14.73,0.0,0.17,668.7,15.55,189,0.562,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,394,438,71.8,6,6.00,0.46,99,0,2.12,2.03,0.68,3.17,173,0.0,16.50,716,0.00,5.55,0.000,-39.06,0.66,8.71,4.7,18,0.00,0
