Time (sec),AF Correction 1 (%),AF Correction 3 (%),AF Sens 1 Curr (mA),AF Sens 1 Ratio (AFR),AVCS Exh Table (°),AVCS In Table (°),Accel Position (%),Battery Volts (V),Boost Extended (psi),CL Fuel Target (AFR),CL Fuel Target Table (AFR),CPC Purge Valve Duty (%),Calculated Load (g/rev),Catalyst Temp (F),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv Base Table (°),Dynamic Adv Lrn (°),EGR Estimate (steps),Engine Start Mode (mode),Feedback Knock (°),Fine Knock Learn (°),Fuel Econ Corr (mult),Fuel Pressure (psi),Fuel Pressure Target (psi),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF Corr Final (g/s),MAF Table (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),Per Gear Boost (%),Primary Ign (°),RPM (RPM),Req Torque (Nm),TD Boost Error Ext (psi),TGV Map Ratio (mult),TPS Duty (%),Target Boost Final Abs Ext (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.4.0-17408][2016 USDM WRX MT COBB Custom Features Gen2][Reflash: Stage2+BigSF 91 v361 LWG.ptm - Realtime: Stage2+BigSF 91 v361 LWG.ptm]
0.000,0.00,0.00,-0.75,13.04,0.00,-15.00,0.0,14.16,-10.96,14.70,14.70,0.0,0.13,674.7,15.17,201,0.812,0.00,0.00,0.0,0.0,0.00,0.00,1.000,488,438,71.8,2,15.00,0.80,73,4.09,3.02,0.88,2.22,206,0.0,27.50,1869,5.88,2.70,0.000,-33.59,4.94,5.9,17,0.00,0
0.024,0.00,0.00,-0.75,13.08,0.00,-15.00,0.0,14.16,-10.96,14.70,14.70,0.0,0.13,674.7,15.17,201,0.812,0.00,0.00,0.0,0.0,0.00,0.00,1.000,475,438,71.8,2,15.00,0.80,73,4.06,3.05,0.88,2.22,206,0.0,27.50,1864,5.59,2.69,0.000,-33.59,4.93,5.9,17,0.00,0
0.034,0.00,0.00,-0.88,13.11,0.00,-15.00,0.0,14.16,-10.97,14.70,14.70,0.0,0.13,675.2,15.17,201,0.812,0.00,0.00,0.0,0.0,0.00,0.00,1.000,467,438,71.8,2,15.00,0.79,73,4.02,3.19,0.86,2.25,206,0.0,27.50,1853,5.31,2.70,0.000,-25.78,4.93,5.9,17,0.00,0
0.070,0.00,0.00,-0.75,13.14,0.00,-15.00,0.0,14.08,-10.95,14.70,14.70,0.0,0.13,675.2,15.24,201,0.812,0.00,0.00,0.0,0.0,0.00,0.00,1.000,458,438,71.8,2,15.00,0.78,73,3.95,3.29,0.90,2.25,206,0.0,28.00,1837,4.49,2.64,0.000,-36.72,4.89,5.9,17,0.00,0
0.074,0.00,0.00,-0.75,13.12,0.00,-15.00,0.0,14.00,-10.95,14.70,14.70,0.0,0.12,675.2,15.24,201,0.812,0.00,0.00,0.0,0.0,0.00,0.00,1.000,452,438,71.8,2,14.50,0.78,73,3.94,3.29,0.90,2.24,206,0.0,28.00,1838,4.21,2.62,0.000,-28.12,4.87,5.9,17,0.00,0
0.110,0.00,0.00,-0.75,13.08,0.00,-15.00,0.0,14.00,-10.96,14.70,14.70,0.0,0.12,675.2,15.24,201,0.812,0.00,0.00,0.0,0.0,0.00,0.00,1.000,447,438,71.8,2,14.50,0.78,73,3.95,3.29,0.90,2.25,206,0.0,28.00,1846,3.94,2.60,0.000,-28.12,4.84,5.9,17,0.00,0
0.115,0.00,0.00,-0.75,13.16,0.00,-15.00,0.0,14.00,-10.96,14.70,14.70,0.0,0.12,675.2,15.24,201,0.812,0.00,0.00,0.0,0.0,0.00,0.00,1.000,451,438,71.8,2,15.00,0.79,73,3.96,3.29,0.90,2.24,206,0.0,28.00,1863,3.66,2.56,0.000,-28.12,4.80,5.5,17,0.00,0
0.169,0.00,0.00,-0.75,13.17,0.00,-15.00,0.0,14.00,-10.98,14.70,14.70,0.0,0.12,675.6,15.17,201,0.812,0.00,0.00,0.0,0.0,0.00,0.00,1.000,432,438,71.8,2,15.00,0.80,73,3.93,3.16,0.88,2.19,206,0.0,28.00,1877,3.16,2.52,0.000,-22.66,4.74,5.5,17,0.00,0
0.175,0.00,0.00,-0.75,13.16,0.00,-15.00,0.0,14.00,-11.00,14.70,14.70,0.0,0.12,675.6,15.17,201,0.812,0.00,0.00,0.0,0.0,0.00,0.00,1.000,435,438,71.8,2,15.00,0.80,73,3.91,3.09,0.88,2.19,206,0.0,28.00,1881,3.16,2.53,0.000,-22.66,4.74,5.5,17,0.00,0
0.204,0.00,0.00,-0.75,13.16,0.00,-15.00,0.0,13.92,-11.01,14.70,14.70,0.0,0.12,675.6,15.17,201,0.812,0.00,0.00,0.0,0.0,0.00,0.00,1.000,426,438,71.8,2,15.00,0.80,73,3.87,3.02,0.88,2.19,206,0.0,28.00,1876,3.16,2.55,0.000,-28.91,4.74,5.5,17,0.00,0
