Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),AVCS Exh Left (°),AVCS Exh Right (°),AVCS In Left (°),AVCS In Right (°),Accel Position (%),Baro Pressure (psi),Boost Extended (psi),CL Fuel Target (AFR),Calculated Load Ext (g/rev),Closed Loop Sw (on/off),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Ethanol Final (%),Feedback Knock (°),Fine Knock Learn (°),Fuel Pressure (psi),Fuel Pressure Target (psi),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),KS Noise Cyl 1 (raw),KS Noise Cyl 2 (raw),KS Noise Cyl 3 (raw),KS Noise Cyl 4 (raw),Limits Boost Table Base Rel SL Ext (psi),MAF Corr Final (g/s),MAF Table (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),RPM (RPM),Req Torque (Nm),Roughness Cyl 1 (count),Roughness Cyl 2 (count),Roughness Cyl 3 (count),Roughness Cyl 4 (count),Sns Only TGV R (raw),TGV Map Ratio (mult),Target Boost Final Rel Ext (psi),Throttle Pos (%),Wastegate Duty (%),"AP Info:[AP3-SUB-004 v1.7.4.2-18474][2016 USDM WRX MT COBB Custom Features Gen2][Reflash: 2016 WRX 91 - 05.ptm - Realtime: 2016 WRX 91 - 05.ptm]"
0.000,-13.28,-0.78,14.09,15,14,-8,-8,38.8,13.05,-0.11,14.17,1.06,on,14.42,196,1.000,0.0,0.00,0.00,1749,1871,71.8,3,1.50,2.59,133,118,487,518,405,318,22.0,37.37,49.49,2.32,13.98,214,2029,118.39,0,0,0,0,7.43,1.000,20.97,35.4,8.24,0
0.005,-10.94,-0.78,14.20,15,14,-9,-8,50.6,13.05,0.84,13.78,1.17,on,13.94,196,1.000,0.0,0.00,0.00,1776,1924,71.8,3,0.00,3.03,133,118,534,511,405,394,22.0,39.78,47.45,2.34,14.85,214,2039,144.69,0,0,0,0,7.43,1.000,20.97,46.5,11.37,0
0.009,-10.94,-0.78,14.26,15,14,-9,-8,58.4,13.05,1.37,13.78,1.20,on,13.78,196,1.000,0.0,0.00,0.00,1791,1977,71.8,3,0.00,3.03,133,118,534,514,436,394,22.0,41.13,46.21,2.34,15.12,214,2047,189.11,0,0,0,0,7.43,1.000,20.97,46.5,11.37,0
0.014,1.56,-0.78,14.26,15,14,-8,-8,69.8,13.05,1.75,13.77,1.21,on,13.78,196,1.000,0.0,0.00,0.00,1844,1977,71.8,3,-1.00,4.37,133,118,487,514,436,446,22.0,41.56,45.96,2.28,15.18,214,2056,248.84,0,0,0,0,7.43,1.000,20.97,60.2,16.08,0
0.038,2.34,-0.78,14.17,16,14,-6,-8,81.6,13.05,1.95,13.65,1.22,on,13.68,196,1.000,0.0,0.00,0.00,1897,1977,71.8,3,-1.00,4.39,133,118,487,503,679,446,22.0,41.83,47.45,2.34,15.61,214,2056,289.11,0,0,0,0,7.42,1.000,20.97,100.0,25.49,0
0.041,1.56,-0.78,13.75,16,14,-5,-7,100.0,13.05,2.29,13.66,1.25,on,13.68,196,1.000,0.0,0.00,0.00,1922,1977,71.8,3,-1.50,4.37,133,118,510,752,563,580,22.0,41.84,41.58,2.24,15.59,214,2039,350.00,0,0,0,0,7.43,1.000,20.97,100.0,38.04,0
0.075,0.78,-0.78,13.49,17,15,-3,-6,100.0,13.05,2.34,13.66,1.22,on,13.54,196,1.000,0.0,0.00,0.00,1890,1977,71.8,3,-1.50,3.92,133,118,510,752,563,404,22.0,41.68,37.00,2.10,15.65,214,2057,350.00,0,0,0,0,7.43,1.000,20.97,100.0,47.06,0
0.079,-1.56,-0.78,13.16,17,16,1,-5,100.0,13.05,2.44,13.65,1.25,on,13.68,196,1.000,0.0,0.00,0.00,1878,1977,71.8,3,-1.50,3.97,133,118,563,752,660,404,22.0,42.58,37.93,2.24,15.69,214,2068,350.00,0,0,0,0,7.43,1.000,20.97,100.0,47.06,0
0.082,-1.56,-0.78,12.97,17,16,1,-5,100.0,13.05,2.50,13.65,1.23,on,13.68,196,1.000,0.0,0.00,0.00,1868,1977,71.8,3,-1.50,3.97,133,118,648,858,660,533,22.0,42.86,43.42,2.24,15.51,214,2092,350.00,0,0,0,0,7.43,1.000,20.97,100.0,47.06,0
0.105,-3.12,-0.78,12.79,18,16,5,-3,100.0,13.05,2.57,13.52,1.26,on,13.54,196,1.000,0.0,0.00,0.00,1848,1977,71.8,3,-1.50,4.02,133,118,648,858,349,533,22.0,43.89,47.45,2.36,15.86,214,2083,350.00,0,0,0,0,7.43,1.000,20.97,100.0,47.06,0
