Time (sec),AF Correction 1 (%),AF Correction 3 (%),AF Sens 1 Curr (mA),AF Sens 1 Ratio (AFR),AVCS Exh Table (°),AVCS In Table (°),Accel Position (%),Battery Volts (V),Boost Extended (psi),CL Fuel Target (AFR),CL Fuel Target Table (AFR),CPC Purge Valve Duty (%),Calculated Load (g/rev),Catalyst Temp (F),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv Base Table (°),Dynamic Adv Lrn (°),EGR Estimate (steps),Engine Start Mode (mode),Feedback Knock (°),Fine Knock Learn (°),Fuel Econ Corr (mult),Fuel Pressure (psi),Fuel Pressure Target (psi),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF Corr Final (g/s),MAF Table (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),Per Gear Boost (%),Primary Ign (°),RPM (RPM),Req Torque (Nm),TD Boost Error Ext (psi),TGV Map Ratio (mult),TPS Duty (%),Target Boost Final Abs Ext (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.4.0-17408][2016 USDM WRX MT COBB Custom Features Gen2][Reflash: Stage2+BigSF 91 v361 LWG.ptm - Realtime: Stage2+BigSF 91 v361 LWG.ptm]
0.000,3.91,0.00,-1.50,11.86,15.00,26.30,100.0,14.08,10.30,11.79,11.83,0.0,2.04,888.5,11.80,194,0.750,3.87,2.50,0.0,0.0,0.00,0.00,1.000,1939,1964,78.8,4,0.50,13.14,75,105.38,108.97,3.18,23.79,207,0.0,-0.50,3080,350.00,10.25,1.000,35.16,33.75,100.0,56,26.27,0
0.035,3.91,0.00,-1.62,11.65,15.00,26.30,100.0,14.08,10.19,11.79,11.83,0.0,2.04,889.5,11.80,194,0.750,3.87,2.50,0.0,0.0,0.00,0.00,1.000,2012,1964,78.8,4,0.50,13.80,75,105.64,109.40,3.16,23.92,207,0.0,0.00,3086,350.00,10.40,1.000,37.50,33.79,100.0,56,26.27,0
0.040,2.34,0.00,-1.75,11.64,15.00,26.23,100.0,13.84,10.05,11.80,11.84,0.0,2.03,889.5,11.83,194,0.750,3.87,2.50,0.0,0.0,0.00,0.00,1.000,1981,1964,78.8,4,1.00,12.51,75,105.37,102.90,3.14,23.38,207,0.0,0.00,3106,350.00,10.65,1.000,21.88,33.93,100.0,56,26.27,0
0.065,1.56,0.00,-1.75,11.70,15.00,26.30,100.0,13.84,9.98,11.79,11.82,0.0,2.04,889.5,11.80,194,0.750,3.87,2.50,0.0,0.0,0.00,0.00,1.000,2037,1964,78.8,4,1.00,12.59,75,106.28,108.97,3.16,23.14,207,0.0,0.00,3110,350.00,10.76,1.000,36.72,33.97,100.0,57,26.27,0
0.072,2.34,0.00,-1.62,11.76,15.00,26.30,100.0,14.08,10.00,11.78,11.82,0.0,2.03,889.5,11.80,194,0.750,3.87,2.50,0.0,0.0,0.00,0.00,1.000,1917,1964,78.8,4,1.00,13.29,75,106.09,109.40,3.18,23.04,207,0.0,0.00,3114,350.00,10.85,1.000,32.81,34.00,100.0,57,26.27,0
0.077,2.34,0.00,-1.62,11.68,15.00,26.23,100.0,14.16,10.08,11.81,11.84,0.0,2.03,890.4,11.83,194,0.750,3.87,2.50,0.0,0.0,0.00,0.00,1.000,1977,1964,78.8,4,1.00,12.63,75,106.14,103.78,3.24,22.96,207,0.0,0.00,3121,350.00,10.82,1.000,36.72,34.07,100.0,57,26.27,0
0.082,2.34,0.00,-1.62,11.71,15.00,26.23,100.0,14.00,10.22,11.81,11.84,0.0,2.02,890.4,11.83,194,0.750,3.87,2.50,0.0,0.0,0.00,0.00,1.000,1946,1964,78.8,4,1.00,12.69,75,105.62,99.38,3.28,23.49,207,0.0,0.00,3142,350.00,10.77,1.000,33.59,34.18,100.0,57,26.27,0
0.114,1.56,0.00,-1.62,11.67,15.00,26.08,100.0,14.00,10.05,11.81,11.84,0.0,2.00,890.4,11.83,194,0.750,3.87,2.50,0.0,0.0,0.00,0.00,1.000,2027,1964,78.8,4,1.00,12.76,75,105.43,104.22,3.16,23.66,207,0.0,0.00,3149,350.00,11.02,1.000,35.16,34.27,100.0,57,26.27,0
0.147,1.56,0.00,-1.62,11.86,15.00,26.08,100.0,13.84,9.97,11.80,11.83,0.0,2.00,891.4,11.83,194,0.750,3.87,2.50,0.0,0.0,0.00,0.00,1.000,2026,1964,78.8,4,1.00,12.79,75,106.08,107.69,3.14,22.99,207,0.0,0.00,3164,350.00,11.19,1.000,37.50,34.33,100.0,57,26.27,0
0.195,2.34,0.00,-1.62,11.90,15.00,26.01,100.0,14.00,10.03,11.82,11.85,0.0,2.00,891.4,11.83,194,0.750,3.87,2.50,0.0,0.0,0.00,0.00,1.000,1955,1964,78.8,4,1.00,12.85,75,106.56,107.69,3.22,22.87,207,0.0,0.00,3169,350.00,11.29,1.000,33.59,34.42,100.0,57,26.27,0
0.261,2.34,0.00,-1.50,11.93,15.00,26.09,100.0,13.92,10.17,11.80,11.83,0.0,2.00,891.4,11.83,194,0.750,3.87,2.50,0.0,0.0,0.00,0.00,1.000,2075,1964,78.8,4,1.00,12.19,75,106.77,109.83,3.28,23.41,207,0.0,0.00,3176,350.00,11.12,1.000,32.81,34.46,100.0,58,26.27,0
0.266,2.34,0.00,-1.62,11.79,15.00,26.09,100.0,14.00,10.19,11.80,11.83,0.0,2.02,891.4,11.83,194,0.750,3.87,2.50,0.0,0.0,0.00,0.00,1.000,2054,1964,78.8,4,1.00,12.91,75,107.45,105.99,3.24,23.64,207,0.0,0.00,3183,350.00,11.15,1.000,35.94,34.50,100.0,58,26.27,0
0.271,2.34,0.00,-1.62,11.74,15.00,26.16,100.0,14.00,10.07,11.80,11.83,0.0,2.02,891.4,11.83,194,0.750,3.87,2.50,0.0,0.0,0.00,0.00,1.000,2017,1964,78.8,4,1.00,12.91,75,107.19,101.58,3.24,23.62,207,0.0,0.00,3191,350.00,11.31,1.000,35.94,34.58,100.0,58,26.27,0
0.299,1.56,0.00,-1.62,11.83,15.00,26.16,100.0,13.92,9.97,11.80,11.83,0.0,2.02,892.4,11.83,194,0.750,3.87,2.50,0.0,0.0,0.00,0.00,1.000,2088,1964,78.8,4,1.00,12.95,75,107.23,108.97,3.16,23.20,207,0.0,0.00,3192,350.00,11.41,1.000,34.38,34.58,100.0,58,26.27,0
0.319,1.56,0.00,-1.62,11.76,14.99,26.08,100.0,13.92,9.92,11.79,11.82,0.0,2.00,892.4,11.80,194,0.750,3.87,2.50,0.0,0.0,0.00,0.00,1.000,2043,2030,78.8,4,1.00,12.95,75,107.91,111.96,3.16,22.90,207,0.0,0.00,3201,350.00,11.52,1.000,34.38,34.64,100.0,58,26.27,0
0.363,2.34,0.00,-1.50,11.86,14.89,26.03,100.0,13.92,10.09,11.79,11.82,0.0,2.00,892.4,11.80,194,0.750,3.87,2.50,0.0,0.0,0.00,0.00,1.000,2055,2030,78.8,4,1.00,12.99,75,107.67,108.55,3.22,23.10,207,0.0,0.00,3206,350.00,11.40,1.000,31.25,34.65,100.0,58,26.27,0
0.367,2.34,0.00,-1.62,11.74,14.80,25.85,100.0,14.00,10.16,11.79,11.82,0.0,2.00,892.4,11.80,194,0.750,3.87,2.50,0.0,0.0,0.00,0.00,1.000,2143,2030,78.8,4,1.00,13.04,75,108.06,110.68,3.16,23.73,207,0.0,0.00,3215,350.00,11.29,1.000,39.84,34.65,100.0,58,26.27,0
0.385,2.34,0.00,-1.62,11.65,14.74,25.84,100.0,14.00,10.07,11.79,11.82,0.0,2.02,892.4,11.80,194,0.750,3.87,2.50,0.0,0.0,0.00,0.00,1.000,2108,2030,78.8,4,1.00,13.04,75,108.91,112.39,3.16,23.49,207,0.0,0.50,3219,350.00,11.39,1.000,39.84,34.66,100.0,58,26.27,0
0.429,0.78,0.00,-1.75,11.74,14.54,25.59,100.0,14.00,10.05,11.79,11.82,0.0,2.02,893.5,11.80,194,0.750,3.87,2.50,0.0,0.0,0.00,0.00,1.000,2112,2030,78.8,4,1.50,12.37,75,109.55,115.18,3.20,22.90,207,0.0,0.50,3237,350.00,11.46,1.000,39.84,34.67,100.0,58,26.27,0
0.468,1.56,0.00,-1.62,11.85,14.33,25.46,100.0,14.00,10.31,11.77,11.80,0.0,2.06,893.5,11.80,194,0.750,3.87,2.50,0.0,0.0,0.00,0.00,1.000,2031,2030,78.8,4,1.50,13.19,75,111.85,109.83,3.24,23.79,208,0.0,0.50,3254,350.00,11.23,1.000,34.38,34.68,100.0,59,26.27,0
0.515,1.56,0.00,-1.62,11.76,14.33,25.46,100.0,13.76,10.21,11.76,11.79,0.0,2.04,893.5,11.76,194,0.750,3.87,2.50,0.0,0.0,0.00,0.00,1.000,1906,2030,78.8,4,1.50,13.87,75,111.25,117.54,3.22,23.22,208,0.0,0.50,3252,350.00,11.24,1.000,33.59,34.68,100.0,59,26.27,0
0.540,1.56,0.00,-1.62,11.62,14.35,25.43,100.0,13.76,10.20,11.78,11.81,0.0,2.03,893.5,11.80,194,0.750,3.87,2.50,0.0,0.0,0.00,0.00,1.000,1959,2030,78.8,4,1.50,13.87,75,110.39,115.77,3.22,22.96,208,0.0,0.50,3248,350.00,11.36,1.000,33.59,34.68,100.0,59,26.27,0
0.627,0.00,0.00,-1.75,11.61,14.01,24.89,100.0,14.00,10.29,11.78,11.81,0.0,2.00,894.5,11.80,194,0.750,3.87,2.50,0.0,0.0,0.00,0.00,1.000,2056,2030,78.8,4,1.50,13.24,75,110.21,115.18,3.24,23.83,208,0.0,0.50,3281,350.00,11.19,1.000,34.38,34.70,100.0,60,26.27,0
0.664,0.78,0.00,-1.62,11.83,13.93,24.90,100.0,14.16,10.33,11.78,11.81,0.0,2.03,894.5,11.80,194,0.750,3.87,2.50,0.0,0.0,0.00,0.00,1.000,2005,2030,78.8,4,1.50,12.63,75,111.27,107.69,3.26,23.43,208,0.0,0.50,3286,350.00,11.17,1.000,33.59,34.71,100.0,60,26.27,0
0.717,0.78,0.00,-1.62,11.78,13.81,24.64,100.0,14.00,10.22,11.78,11.81,0.0,2.00,895.6,11.80,194,0.750,3.87,2.50,0.0,0.0,0.00,0.00,1.000,2106,2030,78.8,4,1.50,13.33,75,110.37,116.36,3.18,23.70,208,0.0,0.50,3302,350.00,11.24,1.000,21.09,34.71,100.0,60,26.27,0
0.756,0.00,0.00,-1.62,11.73,13.68,24.48,100.0,14.08,10.23,11.77,11.80,0.0,2.00,895.6,11.80,194,0.750,3.87,2.50,0.0,0.0,0.00,0.00,1.000,2035,2030,78.8,4,1.50,12.67,75,111.14,117.54,3.24,23.01,208,0.0,0.50,3306,350.00,11.29,1.000,34.38,34.72,100.0,60,26.27,0
0.786,0.00,0.00,-1.62,11.72,13.39,24.12,100.0,13.92,10.39,11.77,11.80,0.0,2.02,895.6,11.80,194,0.750,3.87,2.50,0.0,0.0,0.00,0.00,1.000,1940,2030,78.8,4,1.50,13.50,75,112.22,115.18,3.30,23.73,208,0.0,0.50,3330,350.00,11.20,1.000,46.09,34.74,100.0,60,26.27,0
0.821,0.78,0.00,-1.62,11.82,13.42,24.16,100.0,14.16,10.23,11.77,11.80,0.0,2.02,895.6,11.80,194,0.750,3.87,2.50,0.0,0.0,0.00,0.00,1.000,2014,2030,78.8,4,1.50,13.47,75,111.71,116.36,3.20,23.45,208,0.0,0.50,3321,350.00,11.29,1.000,18.75,34.74,100.0,60,26.27,0
0.858,0.78,0.00,-1.62,11.74,13.55,24.38,100.0,14.08,10.36,11.77,11.80,0.0,2.03,896.7,11.80,194,0.750,3.87,2.50,0.0,0.0,0.00,0.00,1.000,1983,2030,78.8,4,1.50,12.74,73,112.67,107.27,3.32,23.54,208,0.0,0.50,3319,350.00,11.21,1.000,33.59,34.73,100.0,60,26.27,0
0.915,0.00,0.00,-1.62,11.62,13.14,23.82,100.0,13.76,10.19,11.77,11.80,0.0,2.00,896.7,11.80,194,0.750,3.87,2.50,0.0,0.0,0.00,0.00,1.000,2076,2030,78.8,4,1.50,14.24,73,112.08,108.97,3.20,23.43,208,0.0,0.50,3349,350.00,11.32,1.000,34.38,34.75,100.0,61,26.27,0
0.946,-0.78,0.00,-1.75,11.67,13.10,23.78,100.0,14.00,10.29,11.76,11.79,0.0,2.00,896.7,11.80,194,0.750,3.87,2.50,0.0,0.0,0.00,0.00,1.000,2105,2084,78.8,4,1.50,12.87,73,113.09,115.18,3.30,23.40,208,0.0,0.50,3353,350.00,11.26,1.000,32.03,34.76,100.0,61,26.27,0
0.971,-0.78,0.00,-1.75,11.67,13.06,23.77,100.0,14.00,10.26,11.76,11.79,0.0,2.03,896.7,11.80,194,0.750,3.87,2.50,0.0,0.0,0.00,0.00,1.000,2180,2084,78.8,4,1.50,12.87,73,113.57,110.68,3.30,23.74,208,0.0,0.50,3358,350.00,11.27,1.000,32.03,34.76,100.0,61,26.27,0
1.011,0.00,0.00,-1.75,11.68,13.05,23.76,100.0,13.84,10.13,11.76,11.79,0.0,2.02,896.7,11.80,194,0.750,3.87,2.50,0.0,0.0,0.00,0.00,1.000,2100,2084,78.8,4,1.50,13.61,73,113.12,111.11,3.24,22.86,208,0.0,0.50,3361,350.00,11.46,1.000,37.50,34.76,100.0,61,26.27,0
1.083,-0.78,0.00,-1.62,11.71,12.96,23.60,100.0,13.84,10.25,11.76,11.79,0.0,2.00,897.8,11.80,194,0.750,3.87,2.50,0.0,0.0,0.00,0.00,1.000,2187,2084,78.8,4,1.50,13.62,73,112.63,113.41,3.28,23.69,208,0.0,0.50,3362,350.00,11.37,1.000,31.25,34.76,100.0,61,26.27,0
1.100,-0.78,0.00,-1.62,11.65,12.83,23.41,100.0,13.84,10.23,11.78,11.81,0.0,1.99,897.8,11.80,194,0.750,3.87,2.50,0.0,0.0,0.00,0.00,1.000,2024,2084,78.8,4,1.50,13.62,73,112.33,111.96,3.28,23.68,208,0.0,0.50,3375,350.00,11.31,1.000,31.25,34.77,100.0,61,26.27,0
