Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),AVCS Exh Left (°),AVCS Exh Right (°),AVCS In Left (°),AVCS In Right (°),Accel Position (%),Baro Pressure (psi),Boost Extended (psi),CL Fuel Target (AFR),Calculated Load Ext (g/rev),Closed Loop Sw (on/off),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Ethanol Final (%),Feedback Knock (°),Fine Knock Learn (°),Fuel Pressure (psi),Fuel Pressure Target (psi),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),KS Noise Cyl 1 (raw),KS Noise Cyl 2 (raw),KS Noise Cyl 3 (raw),KS Noise Cyl 4 (raw),Limits Boost Table Base Rel SL Ext (psi),MAF Corr Final (g/s),MAF Table (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),RPM (RPM),Req Torque (Nm),Roughness Cyl 1 (count),Roughness Cyl 2 (count),Roughness Cyl 3 (count),Roughness Cyl 4 (count),Sns Only TGV R (raw),TGV Map Ratio (mult),Target Boost Final Rel Ext (psi),Throttle Pos (%),Wastegate Duty (%),"AP Info:[AP3-SUB-004 v1.7.4.2-18474][2016 USDM WRX MT COBB Custom Features Gen2][Reflash: 2016 WRX 91 - 09.ptm - Realtime: 2016 WRX 91 - 09.ptm]"
0.000,2.34,0.78,15.43,0,0,-22,-26,100.0,12.91,-0.81,14.44,0.80,on,14.47,194,1.000,0.0,0.00,0.00,1459,1566,71.8,3,15.00,2.94,111,115,103,367,164,219,22.0,26.22,28.07,2.04,12.60,207,1962,272.35,0,0,0,0,54.57,0.530,21.11,80.7,23.14,0
0.004,2.34,0.78,15.10,2,1,-20,-26,100.0,12.91,-0.63,14.37,0.80,on,14.47,194,1.000,0.0,0.00,0.00,1538,1566,71.8,3,15.00,2.94,111,115,245,367,164,181,22.0,26.36,26.66,1.82,12.62,207,1980,298.45,0,0,0,0,45.22,0.772,21.11,100.0,27.06,0
0.008,-1.56,0.78,13.97,4,2,-14,-23,100.0,12.91,-0.39,14.37,0.84,on,14.42,194,1.000,0.0,0.00,0.00,1465,1566,71.8,3,14.00,3.00,111,115,308,549,439,240,22.0,27.89,27.90,2.04,12.72,207,2003,350.00,0,0,0,0,31.83,0.842,21.11,100.0,43.92,0
0.033,-3.12,0.78,13.66,5,4,-11,-21,100.0,12.91,-0.32,14.37,0.83,on,14.42,194,1.000,0.0,0.00,0.00,1573,1593,71.8,3,13.50,2.98,111,115,267,442,439,197,22.0,28.14,28.07,1.86,12.75,207,1996,350.00,0,0,0,0,26.19,0.882,21.11,100.0,43.92,0
0.042,-3.12,0.78,13.77,6,5,-7,-18,100.0,12.91,-0.24,14.31,0.86,on,14.36,194,1.000,0.0,0.00,0.00,1554,1646,71.8,3,12.00,2.96,111,115,405,394,342,330,22.0,28.59,35.13,1.94,12.79,207,2000,350.00,0,0,0,0,21.25,0.942,21.11,100.0,43.92,0
0.045,-3.12,0.78,13.88,7,6,-4,-16,100.0,12.91,-0.18,14.31,0.87,on,14.36,194,1.000,0.0,0.00,0.00,1536,1646,71.8,3,12.50,3.00,111,115,405,394,336,330,22.0,29.19,28.94,2.10,12.90,207,2008,350.00,0,0,0,0,19.47,0.962,21.11,100.0,43.92,0
0.109,-2.34,0.78,14.03,7,7,-2,-13,100.0,12.91,-0.10,14.31,0.88,on,14.31,194,1.000,0.0,0.00,0.00,1635,1646,71.8,3,12.50,3.02,111,113,295,261,626,324,22.0,29.91,37.18,1.94,12.82,207,2027,350.00,0,0,0,0,16.42,1.000,21.11,100.0,43.92,0
0.114,-1.56,0.78,14.17,8,8,0,-10,100.0,12.91,-0.06,14.24,0.88,on,14.31,194,1.000,0.0,0.00,0.00,1668,1699,71.8,3,10.50,3.02,111,113,295,452,626,378,22.0,30.04,36.49,2.02,13.01,207,2022,350.00,0,0,0,0,15.14,1.000,21.11,100.0,44.31,0
0.127,-1.56,0.78,14.27,8,8,0,-10,100.0,12.91,-0.02,14.24,0.89,on,14.25,194,1.000,0.0,0.00,0.00,1725,1699,71.8,3,10.50,3.02,111,113,309,452,626,378,22.0,30.33,29.28,2.02,13.07,207,2021,350.00,0,0,0,0,14.22,1.000,21.11,100.0,44.31,0
0.168,-1.56,0.78,14.30,9,9,0,-7,100.0,12.91,0.07,14.24,0.92,on,14.25,194,1.000,0.0,0.00,0.00,1745,1699,71.8,3,11.00,3.02,111,113,309,496,273,351,22.0,31.03,31.89,2.12,13.14,207,2031,350.00,0,0,0,0,12.73,1.000,21.11,100.0,44.31,0
