Time (sec),AF Correction 1 (%),AF Correction 3 (%),AF Sens 1 Curr (mA),AF Sens 1 Ratio (AFR),AVCS Exh Table (°),AVCS In Table (°),Accel Position (%),Battery Volts (V),Boost Extended (psi),CL Fuel Target (AFR),CL Fuel Target Table (AFR),CPC Purge Valve Duty (%),Calculated Load (g/rev),Catalyst Temp (F),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv Base Table (°),Dynamic Adv Lrn (°),EGR Estimate (steps),Engine Start Mode (mode),Feedback Knock (°),Fine Knock Learn (°),Fuel Econ Corr (mult),Fuel Pressure (psi),Fuel Pressure Target (psi),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF Corr Final (g/s),MAF Table (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),Per Gear Boost (%),Primary Ign (°),RPM (RPM),Req Torque (Nm),TD Boost Error Ext (psi),TGV Map Ratio (mult),TPS Duty (%),Target Boost Final Abs Ext (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.4.0-17408][2016 USDM WRX MT COBB Custom Features Gen2][Reflash: Stage2+BigSF 91 v361 LWG.ptm - Realtime: Stage2+BigSF 91 v361 LWG.ptm]
0.000,0.00,0.00,3.38,22.20,0.00,-6.39,0.0,14.08,-11.13,14.60,14.60,0.0,0.06,1062.4,12.46,189,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,759,438,71.8,6,11.50,1.44,59,2.45,3.09,0.88,1.93,210,0.0,28.50,2241,0.00,1.59,1.000,-31.25,3.52,5.9,60,0.00,0
0.025,0.00,0.00,3.50,22.20,0.00,-6.40,0.0,14.00,-11.13,14.60,14.60,0.0,0.06,1062.4,12.46,189,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,759,438,71.8,6,11.50,1.43,59,2.46,2.86,0.84,1.93,210,0.0,28.50,2241,0.00,1.60,1.000,-31.25,3.53,6.3,60,0.00,0
0.030,0.00,0.00,3.50,22.20,0.00,-6.41,0.0,14.00,-11.13,14.60,14.60,0.0,0.06,1062.4,12.46,189,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,764,438,71.8,6,11.50,1.43,59,2.47,2.67,0.84,1.93,210,0.0,28.50,2237,0.00,1.61,1.000,-31.25,3.54,6.3,60,0.00,0
0.065,0.00,0.00,3.50,22.20,0.00,-6.42,0.0,13.92,-11.12,14.60,14.60,0.0,0.06,1062.4,12.46,189,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,764,438,71.8,6,11.50,1.43,59,2.48,2.80,0.82,1.93,210,0.0,28.50,2231,0.00,1.63,1.000,-32.81,3.56,5.9,60,0.00,0
0.069,0.00,0.00,3.38,22.20,0.00,-6.43,0.0,13.92,-11.13,14.60,14.60,0.0,0.06,1062.1,12.46,189,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,764,438,71.8,6,11.50,1.43,59,2.49,3.02,0.84,1.93,210,0.0,28.50,2231,0.00,1.63,1.000,-31.25,3.56,6.3,60,0.00,0
0.100,0.00,0.00,3.38,22.20,0.00,-6.43,0.0,13.92,-11.12,14.60,14.60,0.0,0.06,1062.1,12.46,189,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,764,438,71.8,6,11.50,1.43,59,2.49,3.05,0.84,1.93,210,0.0,28.50,2228,0.00,1.64,1.000,-31.25,3.57,6.3,60,0.00,0
0.131,0.00,0.00,3.50,22.20,0.00,-6.45,0.0,13.76,-11.13,14.60,14.60,0.0,0.06,1062.1,12.46,189,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,764,438,71.8,6,11.50,1.42,59,2.52,2.86,0.86,1.93,210,0.0,28.50,2221,0.00,1.66,1.000,-31.25,3.58,6.3,60,0.00,0
0.157,0.00,0.00,3.50,22.20,0.00,-6.47,0.0,13.76,-11.13,14.60,14.60,0.0,0.06,1062.1,12.46,189,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,764,438,71.8,6,11.50,1.42,59,2.53,2.76,0.82,1.94,210,0.0,28.50,2215,0.00,1.68,1.000,-31.25,3.61,5.9,60,0.00,0
0.185,0.00,0.00,3.50,22.20,0.00,-6.47,0.0,13.76,-11.13,14.60,14.60,0.0,0.06,1061.9,12.46,189,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,768,438,71.8,6,11.50,1.42,59,2.53,2.80,0.84,1.94,210,0.0,28.50,2212,0.00,1.68,1.000,-30.47,3.61,6.3,60,0.00,0
0.205,0.00,0.00,3.50,22.20,0.00,-6.48,0.0,13.76,-11.13,14.60,14.60,0.0,0.06,1061.9,12.46,189,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,770,438,71.8,6,11.50,1.42,59,2.54,2.83,0.84,1.93,210,0.0,28.50,2208,0.00,1.70,1.000,-30.47,3.63,6.3,60,0.00,0
