Time (sec),AF Correction 1 (%),AF Correction 3 (%),AF Sens 1 Curr (mA),AF Sens 1 Ratio (AFR),AVCS Exh Table (°),AVCS In Table (°),Accel Position (%),Battery Volts (V),Boost Extended (psi),CL Fuel Target (AFR),CL Fuel Target Table (AFR),CPC Purge Valve Duty (%),Calculated Load (g/rev),Catalyst Temp (F),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv Base Table (°),Dynamic Adv Lrn (°),EGR Estimate (steps),Engine Start Mode (mode),Feedback Knock (°),Fine Knock Learn (°),Fuel Econ Corr (mult),Fuel Pressure (psi),Fuel Pressure Target (psi),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF Corr Final (g/s),MAF Table (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),Per Gear Boost (%),Primary Ign (°),RPM (RPM),Req Torque (Nm),TD Boost Error Ext (psi),TGV Map Ratio (mult),TPS Duty (%),Target Boost Final Abs Ext (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.4.0-17408][2016 USDM WRX MT COBB Custom Features Gen2][Reflash: Stage2+BigSF 91 v361 LWG.ptm - Realtime: Stage2+BigSF 91 v361 LWG.ptm]
0.000,-0.78,1.56,0.12,15.12,12.00,-16.69,0.0,13.68,-6.49,14.34,14.64,82.8,0.39,1061.5,14.15,190,1.000,0.00,0.00,10.0,0.0,0.00,0.00,1.000,887,756,71.8,6,19.50,2.84,59,21.71,23.89,1.78,6.47,212,0.0,19.50,3327,68.46,1.33,0.000,32.03,7.89,16.5,89,0.00,0
0.008,-0.78,1.56,0.00,15.02,12.00,-16.69,0.0,13.44,-6.45,14.34,14.64,82.8,0.39,1061.5,14.15,190,1.000,0.00,0.00,10.0,0.0,0.00,0.00,1.000,793,756,71.8,6,19.50,2.84,59,21.83,22.11,1.84,6.67,212,0.0,19.50,3324,68.60,1.31,0.000,31.25,7.90,16.5,89,0.00,0
0.022,-0.78,1.56,0.00,15.00,12.00,-16.69,0.0,13.60,-6.44,14.34,14.64,82.8,0.39,1061.5,14.15,190,1.000,0.00,0.00,10.0,0.0,0.00,0.00,1.000,735,756,71.8,6,19.50,2.84,59,21.89,22.92,1.82,6.67,212,0.0,19.50,3323,68.68,1.28,0.000,30.47,7.90,16.5,89,0.00,0
0.026,-0.78,1.56,0.00,14.83,12.00,-16.69,0.0,13.68,-6.44,14.34,14.64,82.8,0.39,1061.5,14.15,190,1.000,0.00,0.00,10.0,0.0,0.00,0.00,1.000,813,756,71.8,6,19.50,2.84,59,21.94,21.63,1.80,6.49,212,0.0,19.50,3326,68.80,1.30,0.000,25.78,7.91,16.5,89,0.00,0
0.055,-0.78,1.56,0.00,14.90,12.00,-16.69,0.0,13.68,-6.42,14.34,14.64,82.8,0.39,1061.5,14.15,190,1.000,0.00,0.00,10.0,0.0,0.00,0.00,1.000,731,756,71.8,6,19.50,2.84,59,21.98,22.11,1.80,6.68,212,0.0,19.50,3323,68.88,1.29,0.000,25.78,7.93,16.5,89,0.00,0
0.109,-0.78,1.56,0.00,14.84,12.00,-16.70,0.0,13.44,-6.41,14.34,14.64,82.8,0.39,1061.5,14.15,190,1.000,0.00,0.00,10.0,0.0,0.00,0.00,1.000,743,756,71.8,6,19.50,3.54,59,22.06,24.05,1.84,6.57,212,0.0,19.50,3320,69.08,1.30,0.000,31.25,7.94,16.5,89,0.00,0
0.158,-0.78,1.56,0.00,14.81,12.00,-16.70,0.0,13.52,-6.39,14.34,14.64,82.8,0.40,1061.5,14.15,190,1.000,0.00,0.00,12.0,0.0,0.00,0.00,1.000,699,756,71.8,6,20.00,2.83,59,22.21,23.40,1.84,6.66,212,0.0,19.50,3323,70.35,1.35,0.000,29.69,8.00,16.9,89,0.00,0
0.181,-0.78,1.56,0.00,14.73,12.51,-16.81,0.0,13.60,-6.31,14.34,14.64,82.8,0.40,1061.5,14.20,190,1.000,0.00,0.00,12.0,0.0,0.00,0.00,1.000,912,876,71.8,6,20.00,2.83,59,22.63,24.05,1.84,6.73,212,0.0,19.00,3320,71.40,1.35,0.000,30.47,8.06,16.9,89,0.00,0
0.186,-7.81,1.56,0.00,14.69,13.01,-16.89,0.0,13.68,-6.17,14.34,14.64,82.4,0.41,1061.4,14.20,190,1.000,0.00,0.00,12.0,0.0,0.00,0.00,1.000,898,876,71.8,6,19.50,2.83,59,23.09,25.03,1.86,6.95,212,0.0,19.00,3324,71.83,1.23,0.000,27.34,8.08,17.3,89,0.00,0
0.203,-7.81,1.56,0.00,14.69,13.02,-16.89,0.0,13.68,-6.14,14.34,14.64,82.4,0.41,1061.4,14.20,190,1.000,0.00,0.00,12.0,0.0,0.00,0.00,1.000,891,876,71.8,6,19.50,2.83,59,23.19,24.37,1.86,6.86,212,0.0,19.00,3322,71.53,1.21,0.000,27.34,8.12,17.3,89,0.00,0
