Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),AVCS Exh Left (°),AVCS Exh Right (°),AVCS In Left (°),AVCS In Right (°),Accel Position (%),Baro Pressure (psi),Boost Extended (psi),CL Fuel Target (AFR),Calculated Load Ext (g/rev),Closed Loop Sw (on/off),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Ethanol Final (%),Feedback Knock (°),Fine Knock Learn (°),Fuel Pressure (psi),Fuel Pressure Target (psi),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),KS Noise Cyl 1 (raw),KS Noise Cyl 2 (raw),KS Noise Cyl 3 (raw),KS Noise Cyl 4 (raw),Limits Boost Table Base Rel SL Ext (psi),MAF Corr Final (g/s),MAF Table (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),RPM (RPM),Req Torque (Nm),Roughness Cyl 1 (count),Roughness Cyl 2 (count),Roughness Cyl 3 (count),Roughness Cyl 4 (count),Sns Only TGV R (raw),TGV Map Ratio (mult),Target Boost Final Abs Ext (psi),Throttle Pos (%),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.4.2-17441][2016 USDM WRX MT COBB Custom Features Gen2][Reflash: 2016 WRX 91 - 01.ptm - Realtime: 2016 WRX 91 - 01.ptm]
0.000,-0.78,-10.16,14.66,0,0,-1,-1,0.0,13.05,-9.84,14.70,0.18,on,14.70,196,1.000,0.0,0.00,0.00,418,438,71.8,0,7.50,0.39,115,118,0,0,0,0,22.0,2.78,2.67,0.82,3.23,209,905,0.00,0,0,0,0,66.49,0.000,2.84,5.5,0.00,0
0.004,-0.78,-10.16,14.66,0,0,-1,-1,0.0,13.05,-9.84,14.70,0.18,on,14.70,196,1.000,0.0,0.00,0.00,419,438,71.8,0,8.00,0.38,115,118,0,0,0,0,22.0,2.77,2.76,0.82,3.23,209,902,0.00,0,0,0,0,66.49,0.000,2.83,5.5,0.00,0
0.047,-0.78,-10.16,14.67,0,0,-1,-1,0.0,13.05,-9.84,14.70,0.18,on,14.70,196,1.000,0.0,0.00,0.00,399,438,71.8,0,8.00,0.39,115,118,0,0,0,0,22.0,2.76,2.45,0.78,3.23,209,904,0.00,0,0,0,0,66.50,0.000,2.84,5.5,0.00,0
0.065,-0.78,-10.16,14.67,0,0,-1,-1,0.0,13.05,-9.84,14.70,0.18,on,14.70,196,1.000,0.0,0.00,0.00,401,438,71.8,0,8.00,0.39,115,118,0,0,0,0,22.0,2.76,2.61,0.80,3.24,209,904,0.00,0,0,0,0,66.49,0.000,2.84,5.5,0.00,0
0.072,-0.78,-10.16,14.68,0,0,-1,-1,0.0,13.05,-9.84,14.70,0.18,on,14.70,196,1.000,0.0,0.00,0.00,415,438,71.8,0,8.00,0.39,115,118,0,0,0,0,22.0,2.76,2.70,0.80,3.22,209,906,0.00,0,0,0,0,66.50,0.000,2.84,5.5,0.00,0
0.103,-0.78,-10.16,14.68,0,0,-1,-1,0.0,13.05,-9.85,14.70,0.18,on,14.70,196,1.000,0.0,0.00,0.00,415,438,71.8,0,8.00,0.39,115,118,0,0,0,0,22.0,2.77,2.73,0.82,3.21,209,909,0.00,0,0,0,0,66.49,0.000,2.85,5.5,0.00,0
0.121,-0.78,-10.16,14.68,0,0,-1,-1,0.0,13.05,-9.85,14.70,0.18,on,14.70,196,1.000,0.0,0.00,0.00,402,438,71.8,0,7.50,0.39,115,118,0,0,0,0,22.0,2.77,2.76,0.82,3.22,209,910,0.00,0,0,0,0,66.50,0.000,2.85,5.5,0.00,0
0.137,-0.78,-10.16,14.70,0,0,-1,-1,1.6,13.05,-9.86,14.70,0.18,on,14.70,196,1.000,0.0,0.00,0.00,407,438,71.8,0,7.50,0.39,115,118,0,0,0,0,22.0,2.77,2.76,0.84,3.20,209,911,0.00,0,0,0,0,66.49,0.000,2.85,5.5,0.00,0
0.162,-0.78,-7.81,14.69,0,0,-1,-1,10.6,13.05,-9.85,14.70,0.18,on,14.70,196,1.000,0.0,0.00,0.00,414,531,71.8,0,8.00,0.39,115,118,0,0,0,0,22.0,2.82,3.09,0.82,3.19,209,911,32.74,0,0,0,0,66.50,0.000,17.98,9.8,0.00,0
0.181,-0.78,-3.91,14.71,0,0,-1,-1,12.9,13.05,-9.46,14.70,0.22,on,14.70,196,1.000,0.0,0.00,0.00,445,478,71.8,0,8.50,0.39,115,118,0,0,1,0,22.0,3.45,10.22,1.02,3.97,209,912,39.55,0,0,0,0,66.49,0.000,22.62,13.0,0.00,0
0.185,-0.78,-0.78,14.71,0,0,-1,-1,14.5,13.05,-9.01,14.70,0.25,on,14.70,196,1.000,0.0,0.00,0.00,450,478,71.8,0,9.00,0.39,115,118,0,0,1,0,22.0,3.97,13.39,1.36,4.77,209,916,44.83,0,0,0,0,66.50,0.000,24.13,13.8,0.00,0
0.203,-0.78,2.34,14.71,0,0,-1,-1,15.7,13.05,-8.58,14.70,0.28,on,14.70,196,1.000,0.0,0.00,0.00,455,478,71.8,0,9.50,0.98,115,118,0,0,1,0,22.0,4.51,15.53,1.54,5.66,209,919,48.71,0,0,0,0,66.50,0.000,28.06,16.5,0.00,0
0.251,-0.78,4.69,14.73,0,0,-1,-2,19.2,13.05,-7.69,14.70,0.37,on,14.70,196,1.000,0.0,0.00,0.00,464,597,71.8,0,11.00,1.00,115,118,0,0,0,0,22.0,5.99,21.01,1.74,6.71,209,968,59.23,0,0,0,0,66.50,0.000,30.88,18.5,0.00,0
0.266,0.00,6.25,14.72,0,0,-2,-2,21.6,13.05,-5.95,14.70,0.46,on,14.70,196,1.000,0.0,0.00,0.00,539,849,71.8,0,11.50,1.06,115,118,0,0,0,0,22.0,7.90,30.41,1.90,9.41,209,1004,66.05,0,0,0,0,66.50,0.000,31.68,22.0,0.00,0
0.301,0.00,7.81,14.75,0,0,-2,-3,22.7,13.05,-4.80,14.70,0.52,on,14.70,196,1.000,0.0,0.00,0.00,688,1048,71.8,0,11.00,1.57,115,118,0,0,0,0,22.0,10.12,30.20,2.06,10.62,209,1079,69.16,0,0,0,0,66.50,0.000,32.17,25.6,0.00,0
0.316,0.00,7.81,14.76,0,0,-2,-3,23.1,13.05,-3.96,14.70,0.59,on,14.70,196,1.000,0.0,0.00,0.00,852,1141,71.8,0,11.00,1.57,115,118,1,0,0,0,22.0,10.92,28.63,2.06,11.41,209,1095,71.11,0,0,0,0,66.50,0.000,32.38,25.6,0.00,0
0.362,0.00,8.59,14.84,0,0,-4,-5,24.3,13.05,-3.02,14.70,0.63,on,14.70,196,1.000,0.0,0.00,0.00,946,1234,71.8,0,11.00,1.69,115,118,1,0,0,0,22.0,12.11,26.34,1.96,11.92,209,1147,74.61,0,0,0,0,66.50,0.000,32.63,26.4,0.39,0
0.407,0.00,9.38,15.30,0,0,-6,-6,25.9,13.05,-2.04,14.70,0.65,on,14.70,196,1.000,0.0,0.00,0.00,1229,1340,71.8,0,12.00,1.82,115,118,1,10,0,10,22.0,15.27,21.63,1.88,12.10,209,1352,79.49,0,0,0,0,66.50,0.000,33.12,28.3,5.10,0
0.432,2.34,10.16,15.87,1,0,-8,-8,26.3,13.05,-1.56,14.70,0.68,on,14.70,196,1.000,0.0,0.00,0.00,1307,1340,71.8,0,12.50,2.06,115,120,20,10,22,10,22.0,16.48,20.86,1.80,12.15,209,1456,80.66,0,0,0,0,66.50,0.000,33.35,28.0,5.49,0
0.459,4.69,10.94,16.25,2,0,-11,-11,26.7,13.05,-1.38,14.70,0.69,on,14.70,196,1.000,0.0,0.00,0.00,1356,1407,71.8,0,13.00,2.29,115,120,20,100,22,10,22.0,17.82,20.23,1.74,12.17,209,1531,81.44,0,0,0,0,66.51,0.000,33.38,28.0,5.49,0
0.511,4.69,10.94,16.74,2,0,-11,-11,27.1,13.05,-1.23,14.70,0.68,on,14.70,196,1.000,0.0,0.00,0.00,1349,1420,71.8,0,13.00,2.29,115,120,20,100,22,90,22.0,19.46,20.39,1.74,12.15,209,1654,82.21,0,0,0,0,66.51,0.000,33.40,28.0,5.49,0
0.517,6.25,10.94,16.88,3,1,-14,-15,27.1,13.05,-1.16,14.70,0.68,on,14.70,196,1.000,0.0,0.00,0.00,1414,1420,71.8,0,13.50,2.51,115,120,162,100,220,90,22.0,20.85,21.17,1.76,11.98,209,1749,82.21,0,0,0,0,66.51,0.000,33.42,28.0,5.49,0
0.569,7.03,10.94,16.88,5,1,-16,-16,27.1,13.05,-1.13,14.70,0.70,on,14.70,196,1.000,0.0,0.00,0.00,1419,1420,71.8,0,13.50,2.78,115,120,607,412,220,510,22.0,22.63,21.48,1.72,11.96,209,1943,82.81,0,0,0,0,66.52,0.000,33.44,28.0,5.88,0
0.575,7.03,10.94,16.63,6,1,-17,-17,27.5,13.05,-1.15,14.70,0.72,on,14.70,196,1.000,0.0,0.00,0.00,1371,1420,71.8,0,13.50,2.99,115,120,607,412,368,510,22.0,24.32,23.72,1.88,11.90,209,2003,83.19,0,0,0,0,66.53,0.000,33.45,28.3,5.88,0
0.607,7.03,10.94,16.31,6,1,-17,-17,27.1,13.05,-1.14,14.70,0.72,on,14.70,196,1.000,0.0,0.00,0.00,1471,1420,71.8,0,13.50,2.99,115,120,607,742,368,498,22.0,26.09,25.68,1.88,11.92,209,2133,83.00,0,0,0,0,66.53,0.000,33.45,28.3,5.88,0
0.641,6.25,10.94,15.72,7,2,-18,-18,27.1,13.05,-1.20,14.70,0.72,on,14.70,196,1.000,0.0,0.00,0.00,1475,1500,71.8,0,13.50,3.21,115,120,410,412,636,498,22.0,26.97,25.68,1.88,11.78,209,2210,83.00,0,0,0,0,66.54,0.000,33.45,28.7,5.88,0
0.673,4.69,10.94,15.44,8,3,-17,-17,27.1,13.05,-1.23,14.70,0.72,on,14.70,196,1.000,0.0,0.00,0.00,1476,1500,71.8,0,13.50,3.37,115,118,546,412,636,313,22.0,27.87,25.35,1.90,11.72,209,2282,83.00,0,0,0,0,66.54,0.000,33.45,28.7,5.88,0
0.710,4.69,10.94,14.99,8,3,-17,-17,27.1,13.05,-1.32,14.70,0.73,on,14.70,196,1.000,0.0,0.00,0.00,1505,1500,71.8,0,13.50,3.37,115,118,546,510,790,313,22.0,28.24,26.67,1.90,11.62,209,2331,83.00,0,0,0,0,66.55,0.000,33.45,28.7,5.88,0
0.740,1.56,10.94,14.57,9,5,-13,-17,27.1,13.05,-1.38,14.70,0.73,on,14.70,196,1.000,0.0,0.00,0.00,1414,1500,71.8,0,13.50,3.56,115,118,665,510,551,564,22.0,28.96,28.31,1.98,11.49,209,2381,82.61,0,0,0,0,66.56,0.000,33.43,28.0,5.88,0
0.755,1.56,10.94,14.44,9,5,-13,-17,27.1,13.05,-1.39,14.70,0.73,on,14.70,196,1.000,0.0,0.00,0.00,1433,1500,71.8,0,13.50,3.56,115,118,333,620,551,490,22.0,29.17,29.13,1.98,11.51,209,2402,82.61,0,0,0,0,66.57,0.000,33.43,28.0,5.88,0
0.788,0.78,10.94,14.35,9,5,-10,-16,27.1,13.05,-1.46,14.70,0.73,on,14.70,196,1.000,0.0,0.00,0.00,1485,1500,71.8,0,13.50,3.59,115,118,333,357,648,490,22.0,29.22,31.24,1.98,11.54,209,2409,82.41,0,0,0,0,66.57,0.000,33.42,28.0,5.88,0
0.816,0.78,10.94,14.32,9,6,-7,-15,27.1,13.05,-1.43,14.70,0.73,on,14.70,196,1.000,0.0,0.00,0.00,1435,1500,71.8,0,13.50,3.60,115,118,291,357,648,458,22.0,29.50,31.86,2.04,11.50,209,2409,82.41,0,0,0,0,66.58,0.000,33.42,28.0,5.88,0
0.847,0.78,10.94,14.27,9,6,-7,-15,27.1,13.05,-1.46,14.70,0.74,on,14.70,196,1.000,0.0,0.00,0.00,1465,1500,71.8,0,13.50,3.60,115,118,291,811,816,458,22.0,29.58,31.86,2.04,11.54,209,2404,82.61,0,0,0,0,66.58,0.000,33.42,28.0,5.88,0
0.870,0.00,10.94,14.30,10,7,-4,-14,27.1,13.05,-1.42,14.70,0.74,on,14.70,196,1.000,0.0,0.00,0.00,1519,1500,71.8,0,13.50,3.59,115,118,677,811,902,383,22.0,29.71,29.45,2.04,11.58,209,2401,82.81,0,0,0,0,66.59,0.000,33.44,28.0,5.88,0
0.931,0.00,10.94,14.35,11,7,-3,-13,27.1,13.05,-1.39,14.70,0.74,on,14.70,196,1.000,0.0,0.00,0.00,1498,1500,71.8,0,13.00,3.57,115,118,677,496,902,346,22.0,29.72,31.24,2.08,11.62,209,2391,83.00,0,0,0,0,66.60,0.000,33.45,28.3,6.27,0
1.000,0.00,10.94,14.45,12,9,-3,-11,27.5,13.05,-1.22,14.70,0.77,on,14.70,196,1.000,0.0,0.00,0.00,1636,1579,71.8,0,12.50,3.55,115,118,564,467,604,320,22.0,30.39,31.66,2.12,11.96,209,2370,83.58,0,0,0,0,66.61,0.000,33.47,28.3,6.27,0
1.024,0.00,10.94,14.51,12,9,-4,-10,27.5,13.05,-1.18,14.70,0.78,on,14.70,196,1.000,0.0,0.00,0.00,1647,1579,71.8,0,12.50,3.53,115,118,728,467,938,336,22.0,30.56,33.54,2.10,11.83,209,2364,83.78,0,0,0,0,66.62,0.000,33.47,28.3,6.27,0
1.060,0.00,10.94,14.55,12,10,-6,-9,27.5,13.05,-1.09,14.70,0.79,on,14.70,196,1.000,0.0,0.00,0.00,1624,1579,71.8,0,11.50,3.51,115,117,492,577,938,362,22.0,30.84,31.03,2.08,12.06,209,2347,83.97,0,0,0,0,66.62,0.000,33.48,28.3,6.27,0
1.105,0.00,10.94,14.57,13,11,-7,-8,27.5,13.05,-0.96,14.70,0.80,on,14.70,196,1.000,0.0,0.00,0.00,1630,1579,71.8,0,16.00,3.49,115,117,492,497,735,506,22.0,30.82,32.90,2.10,12.12,209,2323,84.16,0,0,0,0,66.62,0.000,33.49,28.7,6.27,0
1.138,0.00,10.94,14.63,13,11,-8,-7,27.5,13.05,-0.89,14.70,0.80,on,14.70,196,1.000,0.0,0.00,0.00,1637,1579,71.8,0,16.00,3.46,115,117,416,497,959,506,22.0,30.63,35.23,2.14,12.32,209,2315,84.16,0,0,0,0,66.62,0.000,33.49,28.7,6.27,0
1.160,0.00,10.94,14.70,13,11,-8,-7,27.5,13.05,-0.81,14.50,0.80,on,14.70,196,1.000,0.0,0.00,0.00,1630,1579,71.8,0,16.00,3.46,115,117,612,649,959,511,22.0,30.71,33.75,2.14,12.26,209,2296,84.16,0,0,0,0,66.62,0.000,33.49,28.7,6.27,0
1.192,0.78,10.94,14.66,14,12,-9,-6,27.5,13.05,-0.69,14.50,0.81,on,14.53,196,1.000,0.0,0.00,0.00,1571,1579,71.8,0,15.50,3.41,115,117,612,649,667,511,22.0,30.67,34.60,2.14,12.53,209,2270,84.16,0,0,0,0,66.62,0.000,33.49,28.7,6.27,0
1.217,0.78,10.94,14.74,14,12,-9,-5,27.5,13.05,-0.57,14.50,0.81,on,14.53,196,1.000,0.0,0.00,0.00,1616,1579,71.8,0,15.00,3.37,115,117,522,474,667,682,22.0,30.16,32.70,2.10,12.54,209,2244,84.16,0,0,0,0,66.63,0.000,33.48,28.3,6.27,0
1.240,0.78,10.94,14.64,14,12,-9,-5,27.5,13.05,-0.51,14.50,0.81,on,14.53,196,1.000,0.0,0.00,0.00,1573,1579,71.8,0,15.00,3.37,115,117,522,474,806,682,22.0,30.02,32.49,2.10,12.60,209,2238,84.16,0,0,0,0,66.63,0.000,33.49,28.3,6.27,0
1.269,0.78,10.94,14.62,14,13,-9,-5,27.8,13.05,-0.39,14.50,0.81,on,14.53,196,1.000,0.0,0.00,0.00,1639,1579,71.8,0,15.00,3.33,115,117,522,1103,806,446,22.0,29.88,32.07,2.08,12.84,209,2217,84.36,0,0,0,0,66.63,0.000,33.50,28.7,6.27,0
1.301,0.78,10.94,14.65,15,14,-9,-4,27.8,13.05,-0.31,14.50,0.81,on,14.53,196,1.000,0.0,0.00,0.00,1544,1579,71.8,0,15.00,3.28,115,117,511,1103,675,446,22.0,29.46,29.99,2.04,12.90,209,2186,84.36,0,0,0,0,66.63,0.000,33.50,28.7,6.27,0
1.326,0.78,10.94,14.69,15,14,-9,-4,27.8,13.05,-0.21,14.50,0.81,on,14.53,196,1.000,0.0,0.00,0.00,1579,1579,71.8,0,15.00,3.28,115,117,617,696,675,478,22.0,29.17,29.45,2.04,12.86,209,2158,84.36,0,0,0,0,66.63,0.000,33.50,28.7,6.27,0
1.348,1.56,10.94,14.65,15,14,-9,-4,27.5,13.05,-0.17,14.50,0.81,on,14.53,196,1.000,0.0,0.00,0.00,1584,1579,71.8,0,15.00,3.22,115,117,617,696,605,478,22.0,28.76,32.07,2.04,12.95,209,2147,84.16,0,0,0,0,66.63,0.000,33.50,28.7,5.88,0
1.381,1.56,10.94,14.62,15,15,-9,-4,27.8,13.05,-0.09,14.50,0.81,on,14.53,196,1.000,0.0,0.00,0.00,1668,1579,71.8,0,15.00,3.17,115,117,617,491,605,441,22.0,28.57,31.86,2.06,13.09,209,2122,84.56,0,0,0,0,66.63,0.000,33.49,28.7,5.88,0
1.390,1.56,10.94,14.63,15,15,-9,-4,27.8,13.05,-0.06,14.50,0.82,on,14.53,196,1.000,0.0,0.00,0.00,1605,1579,71.8,0,15.00,3.17,115,117,593,491,605,441,22.0,28.23,30.82,2.06,13.05,209,2087,84.36,0,0,0,0,66.63,0.000,33.50,28.7,5.88,0
1.414,1.56,10.94,14.62,15,15,-8,-3,27.8,13.05,0.00,14.50,0.81,on,14.53,196,1.000,0.0,0.00,0.00,1587,1579,71.8,0,13.50,3.10,115,117,593,678,547,441,22.0,28.02,29.78,2.00,13.13,209,2071,84.36,0,0,0,0,66.63,0.000,33.50,28.7,5.88,0
1.443,1.56,10.94,14.61,15,15,-8,-3,27.8,13.05,0.07,14.50,0.81,on,14.53,196,1.000,0.0,0.00,0.00,1589,1579,71.8,0,13.50,3.10,115,117,665,678,547,463,22.0,27.49,31.86,2.00,13.19,209,2036,84.56,0,0,0,0,66.63,0.000,33.50,28.7,5.88,0
1.474,1.56,10.94,14.59,15,15,-8,-4,27.8,13.05,0.11,14.50,0.82,on,14.53,196,1.000,0.0,0.00,0.00,1620,1579,71.8,0,14.50,3.04,115,117,665,724,379,463,22.0,27.32,29.62,2.08,13.26,209,2008,84.75,0,0,0,0,66.64,0.000,33.50,28.7,5.88,0
1.500,1.56,10.94,14.59,16,16,-8,-4,27.8,13.05,0.17,14.50,0.83,on,14.53,196,1.000,0.0,0.00,0.00,1605,1579,71.8,0,13.50,2.97,115,117,665,724,379,576,22.0,26.88,30.20,2.00,13.32,209,1970,84.75,0,0,0,0,66.63,0.000,33.51,28.7,5.88,0
1.537,1.56,10.94,14.46,16,16,-7,-4,27.8,13.05,0.23,14.51,0.83,on,14.53,196,1.000,0.0,0.00,0.00,1629,1579,71.8,0,13.50,2.89,115,117,532,744,421,576,22.0,26.39,28.80,2.00,13.35,209,1934,84.56,0,0,0,0,66.64,0.000,33.51,28.7,5.88,0
1.553,1.56,10.94,14.43,16,16,-7,-4,27.8,13.05,0.29,14.51,0.83,on,14.53,196,1.000,0.0,0.00,0.00,1578,1579,71.8,1,13.50,2.89,115,117,532,744,421,459,22.0,25.85,28.14,2.00,13.42,209,1893,84.75,0,0,0,0,66.64,0.000,33.51,28.7,5.88,0
1.583,0.78,10.94,14.36,16,16,-7,-3,27.8,13.05,0.35,14.51,0.82,on,14.53,196,1.000,0.0,0.00,0.00,1580,1579,71.8,1,13.50,2.82,115,117,586,744,961,459,22.0,25.65,28.14,2.00,13.47,209,1867,84.95,0,0,0,0,66.63,0.000,33.52,28.7,5.88,0
1.609,0.78,10.94,14.31,16,17,-6,-3,27.8,13.05,0.39,14.51,0.83,on,14.53,196,1.000,0.0,0.00,0.00,1528,1579,71.8,1,12.50,2.73,115,117,586,1030,961,459,22.0,25.00,26.83,1.94,13.50,209,1831,84.95,0,0,0,0,66.63,0.000,33.52,28.7,5.88,0
1.640,0.78,10.94,14.29,16,17,-6,-3,27.8,13.05,0.42,14.51,0.83,on,14.53,196,1.000,0.0,0.00,0.00,1566,1579,71.8,1,12.50,2.73,115,117,868,1030,961,689,22.0,24.52,27.16,1.94,13.59,209,1797,84.95,0,0,0,0,66.63,0.000,33.52,28.7,5.88,0
1.656,0.00,10.94,14.26,16,17,-6,-3,27.8,13.05,0.46,14.51,0.83,on,14.53,196,1.000,0.0,0.00,0.00,1622,1579,71.8,1,12.50,2.65,115,117,868,860,626,689,22.0,23.93,26.01,1.94,13.59,209,1754,85.14,0,0,0,0,66.64,0.000,33.52,28.7,5.88,0
1.683,0.00,10.94,14.27,17,18,-6,-3,27.8,13.05,0.53,14.51,0.83,on,14.53,196,1.000,0.0,0.00,0.00,1633,1579,71.8,1,12.50,2.56,115,117,868,860,626,428,22.0,23.39,25.52,1.90,13.66,209,1714,85.34,0,0,0,0,66.64,0.000,33.52,29.1,5.88,0
1.714,0.00,10.94,14.31,17,18,-6,-3,27.8,13.05,0.56,14.51,0.83,on,14.53,196,1.000,0.0,0.00,0.00,1609,1579,71.8,1,12.50,2.56,115,117,639,860,626,428,22.0,22.44,26.99,1.90,13.64,209,1651,84.95,0,0,0,0,66.64,0.000,33.52,29.1,5.88,0
1.744,0.00,10.94,14.30,17,18,-6,-3,27.8,13.05,0.62,14.51,0.82,on,14.53,196,1.000,0.0,0.00,0.00,1600,1579,71.8,1,11.50,2.44,115,117,639,724,616,428,22.0,22.27,25.85,1.94,13.68,209,1628,84.95,0,0,0,0,66.64,0.000,33.52,28.7,5.88,0
1.770,0.00,10.94,14.32,17,18,-6,-3,27.8,13.05,0.65,14.51,0.83,on,14.53,196,1.000,0.0,0.00,0.00,1564,1579,71.8,1,11.50,2.44,115,117,639,724,616,552,22.0,22.05,23.40,1.94,13.80,209,1596,85.53,0,0,0,0,66.64,0.000,33.54,28.7,5.88,0
1.795,0.00,10.94,14.38,17,18,-5,-3,28.6,13.05,0.69,14.51,0.82,on,14.53,196,1.000,0.0,0.00,0.00,1539,1579,71.8,1,12.00,2.38,115,117,542,724,837,552,22.0,21.69,23.89,1.84,13.82,209,1582,87.09,0,0,0,0,66.64,0.000,33.59,29.1,5.88,0
1.824,0.00,10.94,14.45,17,18,-5,-3,28.6,13.05,0.73,14.51,0.83,on,14.53,196,1.000,0.0,0.00,0.00,1542,1579,71.8,1,11.50,2.35,115,117,542,797,837,552,22.0,21.75,24.53,1.86,13.84,209,1571,87.88,0,0,0,0,66.64,0.000,33.62,30.7,6.27,0
1.855,0.00,10.94,14.46,17,18,-5,-3,29.0,13.05,0.75,14.51,0.83,on,14.53,196,1.000,0.0,0.00,0.00,1568,1579,71.8,1,11.50,2.35,115,117,542,797,837,585,22.0,21.84,23.56,1.86,13.85,209,1569,88.25,0,0,0,0,66.64,0.000,33.64,30.7,6.27,0
1.869,0.00,10.94,14.47,17,18,-5,-3,29.0,13.05,0.78,14.51,0.84,on,14.53,196,1.000,0.0,0.00,0.00,1600,1579,71.8,1,11.00,2.34,115,115,559,797,741,585,22.0,22.01,23.40,1.84,13.85,209,1577,89.04,0,0,0,0,66.64,0.000,33.64,31.1,6.27,0
1.896,0.00,10.94,14.51,16,18,-5,-3,29.4,13.05,0.79,14.51,0.84,on,14.53,196,1.000,0.0,0.00,0.00,1573,1579,71.8,1,11.00,2.37,113,115,559,826,741,585,22.0,22.19,22.75,1.80,13.87,209,1589,90.20,0,0,0,0,66.64,0.000,33.71,30.7,6.27,0
1.930,0.00,10.94,14.55,16,19,-5,-3,30.2,13.05,0.82,14.51,0.84,on,14.53,196,1.000,0.0,0.00,0.00,1578,1579,71.8,1,12.00,2.80,115,115,682,826,741,780,22.0,23.19,23.72,1.84,13.94,209,1644,91.56,0,0,0,0,66.64,0.000,33.73,31.1,6.67,0
1.946,0.00,10.94,14.55,16,19,-5,-3,30.6,13.05,0.79,14.51,0.84,on,14.53,196,1.000,0.0,0.00,0.00,1534,1579,71.8,1,12.00,2.80,115,115,682,826,559,780,22.0,23.91,24.37,1.84,13.88,209,1682,92.94,0,0,0,0,66.64,0.000,33.78,31.1,6.67,0
1.975,0.78,10.94,14.60,16,19,-6,-4,31.4,13.05,0.80,14.51,0.84,on,14.53,196,1.000,0.0,0.00,0.00,1605,1579,71.8,1,12.00,2.94,115,115,682,892,559,757,22.0,25.38,25.35,1.86,13.81,209,1765,95.85,0,0,0,0,66.64,0.000,33.91,32.3,7.06,0
2.005,0.78,10.94,14.62,16,19,-6,-4,32.5,13.05,0.77,14.46,0.85,on,14.47,196,1.000,0.0,0.00,0.00,1603,1632,71.8,1,12.00,2.94,113,115,936,892,559,757,22.0,26.16,26.34,1.86,13.91,209,1848,98.78,0,0,0,0,66.64,0.000,33.99,32.3,7.06,0
2.025,0.78,10.94,14.64,16,19,-6,-4,32.9,13.05,0.77,14.46,0.86,on,14.47,196,1.000,0.0,0.00,0.00,1607,1632,71.8,1,11.50,3.15,115,115,936,959,619,757,22.0,27.63,27.81,1.90,13.78,209,1886,100.54,0,0,0,0,66.64,0.000,34.06,32.7,7.45,0
2.053,1.56,10.94,14.66,16,18,-6,-5,33.3,13.05,0.74,14.46,0.88,on,14.47,196,1.000,0.0,0.00,0.00,1606,1632,71.8,1,11.50,3.27,113,115,936,959,619,861,22.0,28.31,27.65,1.94,13.87,209,1918,101.90,0,0,0,0,66.64,0.000,34.11,33.5,7.84,0
2.084,1.56,10.94,14.60,16,18,-6,-5,33.3,13.05,0.75,14.46,0.89,on,14.47,196,1.000,0.0,0.00,0.00,1603,1685,71.8,1,11.50,3.27,113,115,555,959,1656,861,22.0,29.17,27.98,1.94,13.81,209,1967,102.09,0,0,0,0,66.64,0.000,34.14,33.5,7.84,0
2.112,1.56,10.94,14.60,16,18,-6,-5,33.3,13.05,0.74,14.41,0.89,on,14.42,196,1.000,0.0,0.00,0.00,1689,1685,71.8,1,11.00,3.39,113,115,555,977,1656,677,22.0,29.68,29.29,1.96,13.84,209,1996,101.90,0,0,0,0,66.64,0.000,34.13,33.5,7.84,0
2.126,1.56,10.94,14.63,16,18,-6,-5,33.3,13.05,0.76,14.40,0.89,on,14.42,196,1.000,0.0,0.00,0.00,1654,1685,71.8,1,11.00,3.42,113,115,662,977,1656,677,22.0,29.90,29.99,2.02,13.84,209,2004,101.90,0,0,0,0,66.64,0.000,34.13,33.5,7.84,0
2.146,1.56,10.94,14.58,16,18,-6,-5,33.3,13.05,0.78,14.40,0.90,on,14.42,196,1.000,0.0,0.00,0.00,1698,1685,71.8,1,11.00,3.42,113,115,662,917,612,677,22.0,30.09,31.24,2.02,13.85,209,2007,101.90,0,0,0,0,66.64,0.000,34.13,33.5,7.84,0
2.170,1.56,10.94,14.55,16,18,-6,-5,33.7,13.05,0.76,14.40,0.90,on,14.42,196,1.000,0.0,0.00,0.00,1644,1685,71.8,1,11.00,3.43,113,115,662,917,612,720,22.0,30.21,29.78,2.04,13.88,209,2007,102.28,0,0,0,0,66.64,0.000,34.13,33.5,7.84,0
2.200,1.56,10.94,14.44,16,18,-6,-5,34.1,13.05,0.79,14.40,0.90,on,14.42,196,1.000,0.0,0.00,0.00,1674,1685,71.8,1,11.00,3.43,113,115,701,917,466,720,22.0,30.20,30.82,2.04,13.90,209,2008,103.45,0,0,0,0,66.65,0.000,34.15,33.5,7.84,0
2.230,1.56,11.72,14.35,16,18,-6,-5,34.5,13.05,0.83,14.40,0.90,on,14.42,196,1.000,0.0,0.00,0.00,1652,1685,71.8,1,11.00,3.43,113,115,701,681,466,915,22.0,30.54,31.45,2.08,13.92,209,2015,105.40,0,0,0,0,66.64,0.000,34.25,33.9,8.24,0
