Time (sec),AF Correction 1 (%),AF Correction 3 (%),AF Sens 1 Curr (mA),AF Sens 1 Ratio (AFR),AVCS Exh Table (°),AVCS In Table (°),Accel Position (%),Battery Volt (V),Boost Extended (psi),CL Fuel Target (AFR),CL Fuel Target Table (AFR),CPC Purge Valve Duty (%),Calculated Load (g/rev),Catalyst Temp (F),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv Base Table (°),Dynamic Adv Lrn (°),EGR Actual (steps),Engine Start Mode (mode),Feedback Knock (°),Fine Knock Learn (°),Fuel Econ Corr (mult),Fuel Pressure (psi),Fuel Pressure Target (psi),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF Corr Final (g/s),MAF Table (g/s),MAF Volt (V),Man Abs Press (psi),Oil Temp (F),Per Gear Boost (%),Primary Ign (°),RPM (RPM),Req Torque (Nm),TD Boost Error Ext (psi),TGV Map Ratio (mult),TPS Duty (%),Target Boost Final Abs Ext (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.3.1-17032][2016 USDM WRX MT COBB Custom Features Gen2][Reflash: Stage1 91 v361.ptm - Realtime: Stage1 91 v361.ptm]
0.000,-10.16,6.25,-1.12,12.61,0.00,-10.31,0.0,13.36,-10.34,13.74,14.73,0.0,0.16,1053.1,14.64,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,388,438,71.8,6,7.00,0.35,79,2.26,2.18,0.76,2.88,207,0.0,16.00,816,0.00,5.77,0.000,-36.72,8.62,4.3,40,0.00,0
0.004,-10.16,6.25,-1.12,12.61,0.00,-10.31,0.0,13.36,-10.35,13.74,14.73,0.0,0.16,1053.1,14.64,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,389,438,71.8,6,7.00,0.35,79,2.25,2.20,0.76,2.87,207,0.0,16.00,814,0.00,5.76,0.000,-36.72,8.62,4.3,40,0.00,0
0.012,-10.16,6.25,-1.12,12.65,0.00,-10.29,0.0,13.36,-10.34,13.74,14.73,0.0,0.16,1053.1,14.64,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,397,438,71.8,6,7.00,0.35,79,2.24,2.18,0.76,2.87,207,0.0,16.00,812,0.00,5.78,0.000,-34.38,8.63,4.3,40,0.00,0
0.016,-10.16,6.25,-1.12,12.63,0.00,-10.29,0.0,13.36,-10.35,13.74,14.73,0.0,0.16,1053.1,14.64,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,385,438,71.8,6,7.00,0.35,79,2.23,2.18,0.76,2.87,207,0.0,16.00,810,0.00,5.78,0.000,-34.38,8.64,4.3,40,0.00,0
0.044,-10.16,6.25,-1.00,12.71,0.00,-10.25,0.0,13.52,-10.33,13.74,14.73,0.0,0.16,1053.0,14.64,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,390,438,71.8,6,7.00,0.34,79,2.22,2.18,0.76,2.89,207,0.0,16.00,806,0.00,5.81,0.000,-41.41,8.67,4.3,40,0.00,0
0.063,-10.16,6.25,-1.00,12.69,0.00,-10.21,0.0,13.52,-10.34,13.74,14.73,0.0,0.16,1053.0,14.64,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,388,438,71.8,6,7.00,0.34,79,2.21,2.18,0.76,2.88,207,0.0,16.00,803,0.00,5.82,0.000,-41.41,8.67,4.3,40,0.00,0
0.096,-10.16,6.25,-1.00,12.71,0.00,-10.21,0.0,13.44,-10.34,13.74,14.73,0.0,0.16,1053.0,14.64,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,381,438,71.8,6,7.00,0.34,79,2.20,2.20,0.76,2.88,207,0.0,16.00,801,0.00,5.84,0.000,-35.16,8.70,4.3,40,0.00,0
0.114,-10.16,6.25,-1.00,12.71,0.00,-10.20,0.0,13.44,-10.34,13.74,14.73,0.0,0.16,1053.0,14.76,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,396,438,71.8,6,7.00,0.34,79,2.20,2.18,0.76,2.88,207,0.0,16.00,798,0.00,5.85,0.000,-35.16,8.71,4.3,40,0.00,0
0.161,-10.16,6.25,-1.00,12.73,0.00,-10.20,0.0,13.28,-10.34,13.74,14.73,0.0,0.16,1053.0,14.76,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,382,438,71.8,6,7.00,0.34,79,2.20,2.20,0.76,2.88,207,0.0,16.00,793,0.00,5.84,0.000,-36.72,8.71,4.7,40,0.00,0
0.170,-10.16,6.25,-1.00,12.74,0.00,-10.20,0.0,13.28,-10.34,13.74,14.73,0.0,0.16,1052.9,14.76,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,382,438,71.8,6,7.00,0.34,79,2.20,2.20,0.76,2.89,207,0.0,16.00,790,0.00,5.85,0.000,-31.25,8.71,4.7,40,0.00,0
0.176,-10.16,6.25,-1.00,12.75,0.00,-10.20,0.0,13.52,-10.33,13.74,14.73,0.0,0.17,1052.9,14.76,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,386,438,71.8,6,7.00,0.34,79,2.20,2.20,0.76,2.89,207,0.0,16.50,783,0.00,5.83,0.000,-31.25,8.71,4.7,40,0.00,0
0.203,-10.16,6.25,-1.00,12.81,0.00,-10.30,0.0,13.52,-10.31,13.74,14.73,0.0,0.17,1052.9,14.76,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,386,438,71.8,6,7.00,0.34,79,2.21,2.20,0.76,2.89,207,0.0,16.50,782,0.00,5.84,0.000,-31.25,8.71,4.7,40,0.00,0
0.207,-10.16,6.25,-1.00,12.77,0.00,-10.30,0.0,13.44,-10.32,13.74,14.73,0.0,0.17,1052.9,14.76,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,388,438,71.8,6,6.50,0.33,79,2.21,2.20,0.78,2.90,207,0.0,16.50,780,0.00,5.82,0.000,-30.47,8.71,4.7,40,0.00,0
0.237,-10.16,6.25,-1.00,12.80,0.00,-10.30,0.0,13.44,-10.30,13.74,14.73,0.0,0.17,1052.9,14.76,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,375,438,71.8,6,6.50,0.33,79,2.21,2.25,0.78,2.91,207,0.0,16.50,774,0.00,5.81,0.000,-30.47,8.71,4.7,40,0.00,0
0.252,-10.16,6.25,-1.00,12.84,0.00,-10.30,0.0,13.44,-10.29,13.74,14.73,0.0,0.17,1052.9,14.76,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,390,438,71.8,6,6.50,0.33,79,2.22,2.25,0.78,2.91,207,0.0,16.50,773,0.00,5.81,0.000,-30.47,8.71,4.7,40,0.00,0
0.263,-10.16,6.25,-1.00,12.82,0.00,-10.30,0.0,13.36,-10.28,13.74,14.73,0.0,0.17,1052.8,14.76,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,381,438,71.8,6,6.50,0.33,79,2.22,2.28,0.78,2.94,207,0.0,16.50,770,0.00,5.79,0.000,-29.69,8.71,4.7,40,0.00,0
0.268,-10.16,6.25,-1.00,12.88,0.00,-10.30,0.0,13.44,-10.25,13.74,14.73,0.0,0.17,1052.8,14.76,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,391,438,71.8,6,6.50,0.33,79,2.23,2.30,0.80,2.97,207,0.0,16.50,764,0.00,5.77,0.000,-28.12,8.71,4.7,40,0.00,0
0.303,-10.94,6.25,-1.00,12.88,0.00,-10.30,0.0,13.52,-10.24,13.74,14.73,0.0,0.17,1052.8,14.76,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,392,438,71.8,6,6.50,0.32,79,2.23,2.28,0.80,2.99,206,0.0,16.50,762,0.00,5.75,0.000,-27.34,8.71,4.7,40,0.00,0
0.312,-10.94,6.25,-0.88,12.92,0.00,-10.30,0.0,13.36,-10.21,13.74,14.73,0.0,0.17,1052.8,14.76,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,397,438,71.8,6,6.50,0.32,79,2.25,2.39,0.80,3.01,206,0.0,16.50,758,0.00,5.74,0.000,-35.94,8.71,4.7,40,0.00,0
0.354,-10.94,6.25,-0.88,12.92,0.00,-10.30,0.0,13.36,-10.18,13.74,14.73,0.0,0.17,1052.7,14.76,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,395,438,71.8,6,6.50,0.48,79,2.26,2.45,0.82,3.04,206,0.0,16.50,755,0.00,5.69,0.000,-27.34,8.71,4.7,40,0.00,0
0.387,-10.94,6.25,-0.88,12.96,0.00,-10.30,0.0,13.44,-10.17,13.74,14.73,0.0,0.17,1052.7,14.76,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,389,438,71.8,6,6.50,0.48,79,2.26,2.33,0.80,3.04,206,0.0,16.50,751,0.00,5.69,0.000,-33.59,8.71,4.7,40,0.00,0
0.413,-10.94,6.25,-0.88,12.93,0.00,-10.30,0.0,13.44,-10.16,13.74,14.73,0.0,0.18,1052.7,14.76,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,390,438,71.8,6,6.50,0.48,79,2.26,2.39,0.80,3.07,206,0.0,17.00,748,0.00,5.67,0.000,-32.81,8.71,4.7,39,0.00,0
0.430,-10.94,6.25,-0.88,12.96,0.00,-10.40,0.0,13.44,-10.14,13.74,14.73,0.0,0.18,1052.7,14.87,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,398,438,71.8,6,6.50,0.48,79,2.27,2.39,0.80,3.07,206,0.0,17.00,746,0.00,5.67,0.000,-32.81,8.71,4.7,39,0.00,0
0.482,-10.94,6.25,-0.88,12.98,0.00,-10.40,0.0,13.36,-10.11,13.74,14.73,0.0,0.18,1052.7,14.87,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,399,438,71.8,6,6.50,0.48,79,2.28,2.42,0.80,3.09,206,0.0,17.00,743,0.00,5.64,0.000,-31.25,8.71,4.7,39,0.00,0
0.498,-10.94,6.25,-0.88,13.00,0.00,-10.40,0.0,13.36,-10.11,13.74,14.73,0.0,0.18,1052.6,14.87,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,388,438,71.8,6,6.50,0.48,79,2.28,2.36,0.80,3.12,206,0.0,17.00,742,0.00,5.62,0.000,-30.47,8.71,5.1,39,0.00,0
0.543,-10.94,6.25,-0.88,12.96,0.00,-10.40,0.0,13.52,-10.09,13.74,14.73,0.0,0.18,1052.6,14.87,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,393,438,71.8,6,6.50,0.47,79,2.28,2.42,0.82,3.14,206,0.0,17.00,740,0.00,5.60,0.000,-38.28,8.71,4.7,39,0.00,0
0.573,-10.94,6.25,-0.88,12.99,0.00,-10.40,0.0,14.08,-10.06,13.74,14.73,0.0,0.18,1052.6,14.87,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,382,438,71.8,6,6.50,0.47,79,2.29,2.42,0.80,3.17,206,0.0,17.00,739,0.00,5.57,0.000,-34.38,8.71,4.7,39,0.00,0
0.587,-10.94,6.25,-0.88,13.03,0.00,-10.40,0.0,14.08,-10.04,13.74,14.73,0.0,0.18,1052.6,14.87,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,397,438,71.8,6,6.50,0.47,79,2.29,2.36,0.80,3.17,206,0.0,17.00,738,0.00,5.57,0.000,-34.38,8.71,4.7,39,0.00,0
0.615,-10.94,6.25,-0.88,13.00,0.00,-10.40,0.0,13.92,-10.03,13.74,14.73,0.0,0.18,1052.6,14.87,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,383,438,71.8,6,6.50,0.47,79,2.29,2.36,0.80,3.20,206,0.0,17.00,739,0.00,5.54,0.000,-33.59,8.71,4.7,39,0.00,0
0.646,-10.94,6.25,-0.88,13.04,0.00,-10.40,0.0,13.92,-10.01,13.74,14.73,0.0,0.18,1052.6,14.87,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,398,438,71.8,6,6.50,0.47,79,2.30,2.39,0.80,3.20,206,0.0,17.00,739,0.00,5.52,0.000,-33.59,8.71,4.7,39,0.00,0
0.671,-10.94,6.25,-0.88,13.04,0.00,-10.40,0.0,14.00,-10.00,13.74,14.73,0.0,0.18,1052.5,14.87,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,386,438,71.8,6,6.50,0.47,79,2.30,2.30,0.80,3.23,206,0.0,17.00,740,0.00,5.52,0.000,-33.59,8.71,4.7,39,0.00,0
0.685,-10.94,6.25,-0.88,13.02,0.00,-10.40,0.0,14.08,-9.99,13.74,14.73,0.0,0.18,1052.5,14.87,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,388,438,71.8,6,11.00,0.47,79,2.31,2.36,0.80,3.24,206,0.0,17.00,740,0.00,5.50,0.000,-18.75,8.71,5.5,39,0.00,0
0.721,-10.94,6.25,-0.88,13.07,0.00,-10.40,0.0,14.08,-9.97,13.74,14.73,0.0,0.18,1052.5,14.87,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,389,438,71.8,6,11.00,0.47,79,2.32,2.47,0.80,3.24,206,0.0,17.00,741,0.00,5.50,0.000,-18.75,8.71,5.5,39,0.00,0
0.736,-10.94,6.25,-0.88,13.06,0.00,-10.40,0.0,14.08,-9.96,13.74,14.73,0.0,0.18,1052.5,14.87,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,396,438,71.8,6,11.00,0.48,79,2.35,2.56,0.84,3.26,206,0.0,17.00,744,0.00,5.47,0.000,-27.34,8.71,5.5,39,0.00,0
0.794,-11.72,6.25,-0.88,13.09,0.00,-10.40,0.0,13.84,-9.91,13.74,14.73,0.0,0.18,1052.5,14.87,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,393,438,71.8,6,10.50,0.48,79,2.38,2.67,0.84,3.30,206,0.0,17.00,749,0.00,5.43,0.000,-25.00,8.71,5.1,39,0.00,0
0.824,-11.72,6.25,-0.75,13.10,0.00,-10.40,0.0,13.92,-9.87,13.74,14.73,0.0,0.18,1052.3,14.70,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,385,438,71.8,6,10.00,0.48,79,2.41,2.64,0.86,3.33,206,0.0,17.00,754,0.00,5.40,0.000,-26.56,8.71,5.1,39,0.00,0
0.871,-11.72,6.25,-0.75,13.10,0.00,-10.40,0.0,14.08,-9.84,13.74,14.73,0.0,0.18,1052.3,14.70,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,389,438,71.8,6,10.00,0.48,79,2.43,2.64,0.86,3.37,206,0.0,17.00,759,0.00,5.36,0.000,-42.19,8.71,5.1,39,0.00,0
0.929,-11.72,6.25,-0.75,13.10,0.00,-10.40,0.0,14.00,-9.84,13.74,14.73,0.0,0.18,1052.3,14.70,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,388,438,71.8,6,9.50,0.49,79,2.44,2.67,0.84,3.39,206,0.0,17.00,763,0.00,5.34,0.000,-30.47,8.71,5.1,39,0.00,0
0.979,-11.72,6.25,-0.75,13.13,0.00,-10.40,0.0,14.00,-9.81,13.74,14.73,0.0,0.18,1052.3,14.70,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,397,438,71.8,6,9.50,0.49,79,2.45,2.59,0.84,3.39,206,0.0,17.00,764,0.00,5.34,0.000,-30.47,8.71,5.1,39,0.00,0
1.004,-11.72,6.25,-0.75,13.12,0.00,-10.40,0.0,13.92,-9.82,13.74,14.73,0.0,0.18,1052.3,14.70,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,397,438,71.8,6,9.50,0.49,79,2.46,2.56,0.84,3.41,206,0.0,17.00,771,0.00,5.33,0.000,-44.53,8.71,5.1,39,0.00,0
1.008,-11.72,6.25,-0.75,13.10,0.00,-10.40,0.0,13.84,-9.81,13.74,14.73,0.0,0.18,1052.2,14.70,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,386,438,71.8,6,8.50,0.50,79,2.47,2.56,0.82,3.43,206,0.0,17.00,778,0.00,5.31,0.000,-38.28,8.71,5.1,39,0.00,0
1.032,-11.72,6.25,-0.75,13.15,0.00,-10.40,0.0,13.84,-9.80,13.74,14.73,0.0,0.18,1052.2,14.70,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,400,438,71.8,6,8.50,0.50,79,2.47,2.50,0.82,3.43,206,0.0,17.00,778,0.00,5.32,0.000,-38.28,8.71,5.1,39,0.00,0
1.063,-11.72,6.25,-0.75,13.16,0.00,-10.40,0.0,14.00,-9.81,13.74,14.73,0.0,0.18,1052.2,14.70,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,394,438,71.8,6,8.00,0.50,79,2.49,2.42,0.82,3.42,206,0.0,17.00,788,0.00,5.32,0.000,-43.75,8.71,4.7,39,0.00,0
1.088,-11.72,6.25,-0.75,13.14,0.00,-10.40,0.0,13.68,-9.82,13.74,14.73,0.0,0.18,1052.2,14.70,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,382,438,71.8,6,8.00,0.51,79,2.49,2.42,0.80,3.41,206,0.0,17.00,790,0.00,5.32,0.000,-35.16,8.71,4.7,39,0.00,0
1.112,-11.72,6.25,-0.75,13.17,0.00,-10.40,0.0,13.68,-9.81,13.74,14.73,0.0,0.18,1052.2,14.70,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,391,438,71.8,6,8.00,0.51,79,2.49,2.42,0.80,3.41,206,0.0,17.00,791,0.00,5.32,0.000,-35.16,8.71,4.7,39,0.00,0
1.131,-12.50,6.25,-0.75,13.17,0.00,-10.40,0.0,13.84,-9.83,13.74,14.73,0.0,0.18,1052.1,14.70,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,383,438,71.8,6,8.00,0.51,79,2.49,2.36,0.80,3.38,206,0.0,17.00,795,0.00,5.33,0.000,-34.38,8.71,4.7,39,0.00,0
1.166,-12.50,6.25,-0.75,13.16,0.00,-10.40,0.0,13.84,-9.84,13.74,14.73,0.0,0.18,1052.1,14.70,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,396,438,71.8,6,8.00,0.51,79,2.49,2.36,0.80,3.37,206,0.0,17.00,803,0.00,5.35,0.000,-34.38,8.71,4.7,39,0.00,0
1.193,-12.50,6.25,-0.75,13.21,0.00,-10.40,0.0,13.84,-9.86,13.74,14.73,0.0,0.18,1052.1,14.53,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,381,438,71.8,6,7.50,0.51,79,2.49,2.39,0.80,3.37,206,0.0,17.00,803,0.00,5.33,0.000,-34.38,8.69,4.7,39,0.00,0
1.208,-12.50,6.25,-0.75,13.22,0.00,-10.43,0.0,13.92,-9.86,13.74,14.73,0.0,0.18,1052.1,14.53,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,397,438,71.8,6,7.50,0.52,79,2.50,2.33,0.80,3.37,206,0.0,17.00,806,0.00,5.34,0.000,-36.72,8.68,4.7,39,0.00,0
1.254,-12.50,6.25,-0.75,13.23,0.00,-10.44,0.0,13.92,-9.87,13.74,14.73,0.0,0.18,1052.1,14.53,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,395,438,71.8,6,7.00,0.52,79,2.50,2.30,0.78,3.34,206,0.0,17.00,807,0.00,5.35,0.000,-37.50,8.67,4.7,39,0.00,0
1.268,-12.50,6.25,-0.75,13.22,0.00,-10.44,0.0,13.92,-9.90,13.74,14.73,0.0,0.18,1052.1,14.53,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,386,438,71.8,6,7.00,0.52,79,2.50,2.33,0.78,3.32,206,0.0,17.00,811,0.00,5.34,0.000,-37.50,8.67,4.7,39,0.00,0
1.296,-12.50,6.25,-0.75,13.26,0.00,-10.47,0.0,14.00,-9.90,13.74,14.73,0.0,0.18,1052.0,14.53,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,395,438,71.8,6,7.00,0.52,79,2.50,2.33,0.78,3.31,206,0.0,17.00,812,0.00,5.35,0.000,-36.72,8.65,4.7,39,0.00,0
1.326,-12.50,6.25,-0.75,13.24,0.00,-10.49,0.0,14.00,-9.91,13.74,14.73,0.0,0.18,1052.0,14.53,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,392,438,71.8,6,7.00,0.52,79,2.51,2.30,0.78,3.31,206,0.0,17.00,816,0.00,5.34,0.000,-36.72,8.64,4.7,39,0.00,0
1.355,-12.50,6.25,-0.75,13.24,0.00,-10.52,0.0,13.76,-9.93,13.74,14.73,0.0,0.18,1052.0,14.53,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,395,438,71.8,6,7.00,0.52,79,2.51,2.30,0.78,3.29,206,0.0,17.00,819,0.00,5.34,0.000,-37.50,8.62,4.7,39,0.00,0
1.369,-12.50,6.25,-0.75,13.28,0.00,-10.52,0.0,13.76,-9.93,13.74,14.73,0.0,0.18,1052.0,14.53,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,379,438,71.8,6,7.00,0.52,79,2.51,2.33,0.78,3.27,206,0.0,17.00,821,0.00,5.32,0.000,-36.72,8.60,4.7,39,0.00,0
1.403,-12.50,6.25,-0.75,13.29,0.00,-10.53,0.0,13.76,-9.95,13.74,14.73,0.0,0.18,1052.0,14.53,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,393,438,71.8,6,7.00,0.52,79,2.51,2.30,0.78,3.27,206,0.0,17.00,822,0.00,5.33,0.000,-36.72,8.59,4.7,39,0.00,0
1.436,-12.50,6.25,-0.62,13.31,0.00,-10.56,0.0,13.84,-9.96,13.74,14.73,0.0,0.18,1052.0,14.53,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,385,438,71.8,6,7.00,0.53,79,2.51,2.30,0.80,3.26,206,0.0,17.00,825,0.00,5.33,0.000,-34.38,8.57,4.7,39,0.00,0
1.451,-12.50,6.25,-0.62,13.31,0.00,-10.56,0.0,14.00,-9.97,13.74,14.73,0.0,0.18,1051.8,14.53,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,379,438,71.8,6,7.00,0.53,79,2.51,2.33,0.80,3.25,206,0.0,17.00,826,0.00,5.32,0.000,-31.25,8.57,4.7,39,0.00,0
1.477,-12.50,6.25,-0.62,13.35,0.00,-10.57,0.0,14.00,-9.97,13.74,14.73,0.0,0.18,1051.8,14.53,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,367,438,71.8,6,7.00,0.53,79,2.51,2.33,0.80,3.23,206,0.0,17.00,828,0.00,5.32,0.000,-31.25,8.55,4.7,39,0.00,0
1.504,-12.50,6.25,-0.62,13.38,0.00,-10.60,0.0,13.92,-9.98,13.74,14.73,0.0,0.18,1051.8,14.53,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,392,438,71.8,6,7.00,0.53,79,2.51,2.33,0.80,3.23,206,0.0,17.00,831,0.00,5.32,0.000,-31.25,8.54,4.7,39,0.00,0
1.529,-12.50,6.25,-0.62,13.38,0.00,-10.61,0.0,13.68,-10.00,13.74,14.73,0.0,0.17,1051.8,14.53,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,385,438,71.8,6,7.00,0.53,79,2.52,2.33,0.80,3.22,206,0.0,16.50,836,0.00,5.33,0.000,-32.03,8.54,4.7,39,0.00,0
1.558,-12.50,6.25,-0.62,13.40,0.00,-10.62,0.0,13.68,-10.01,13.74,14.73,0.0,0.17,1051.8,14.59,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,384,438,71.8,6,7.00,0.53,79,2.54,2.36,0.80,3.20,206,0.0,17.00,847,0.00,5.26,0.000,-32.03,8.45,4.7,39,0.00,0
1.577,-12.50,6.25,-0.62,13.44,0.00,-10.62,0.0,13.76,-10.01,13.74,14.73,0.0,0.17,1051.8,14.59,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,381,438,71.8,6,7.00,0.55,79,2.56,2.33,0.80,3.20,206,0.0,17.00,854,0.00,5.23,0.000,-30.47,8.41,4.7,39,0.00,0
1.601,-12.50,6.25,-0.62,13.44,0.00,-10.77,0.0,13.76,-10.03,13.74,14.73,0.0,0.17,1051.8,14.36,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,385,438,71.8,6,7.00,0.55,79,2.59,2.33,0.80,3.18,206,0.0,17.00,880,0.00,5.16,0.000,-30.47,8.33,4.7,39,0.00,0
1.631,-12.50,6.25,-0.62,13.45,0.00,-10.77,0.0,13.76,-10.05,13.74,14.73,0.0,0.17,1051.7,14.36,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,384,438,71.8,6,7.50,0.56,79,2.67,2.39,0.80,3.16,206,0.0,17.50,904,0.00,5.10,0.000,-31.25,8.27,4.7,39,0.00,0
1.645,-11.72,6.25,-0.62,13.48,0.00,-11.00,0.0,13.76,-10.06,13.74,14.73,0.0,0.17,1051.7,14.09,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,383,438,71.8,6,6.00,0.59,79,2.70,2.36,0.80,3.13,206,0.0,17.50,918,0.00,4.91,0.000,-28.91,8.06,4.7,39,0.00,0
1.674,-11.72,6.25,-0.62,13.48,0.00,-11.30,0.0,13.76,-10.08,13.74,14.73,0.0,0.17,1051.7,14.09,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,382,438,71.8,6,6.00,0.59,79,2.81,2.36,0.80,3.13,206,0.0,18.50,965,0.00,4.77,0.000,-28.91,7.90,4.7,39,0.00,0
1.688,-11.72,6.25,-0.62,13.49,0.00,-11.30,0.0,13.76,-10.10,13.74,14.73,0.0,0.16,1051.7,13.89,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,371,438,71.8,6,5.00,0.43,79,2.88,2.36,0.80,3.10,206,0.0,18.50,1002,0.00,4.69,0.000,-36.72,7.80,4.7,39,0.00,0
1.723,-11.72,6.25,-0.62,13.53,0.00,-11.66,0.0,13.76,-10.13,13.74,14.72,0.0,0.16,1051.7,13.63,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,375,438,71.8,6,5.00,0.43,79,2.91,2.36,0.80,3.05,206,0.0,19.00,1059,0.00,4.41,0.000,-36.72,7.50,4.7,39,0.00,0
1.737,-11.72,6.25,-0.62,13.55,0.00,-12.46,0.0,13.76,-10.18,13.74,14.72,0.0,0.16,1051.7,13.84,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,382,438,71.8,6,5.00,0.46,79,3.11,2.33,0.80,3.00,206,0.0,20.00,1121,0.00,4.16,0.000,-32.81,7.19,4.7,39,0.00,0
1.767,-11.72,6.25,-0.50,13.56,0.00,-12.44,0.0,13.68,-10.22,13.74,14.72,0.0,0.16,1051.6,13.99,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,367,438,71.8,6,-4.50,0.50,79,3.21,2.36,0.80,2.96,206,0.0,20.50,1182,0.00,3.84,0.000,-38.28,6.84,4.7,39,0.00,0
1.798,-11.72,6.25,-0.50,13.61,0.00,-12.87,0.0,13.68,-10.26,13.74,14.72,0.0,0.14,1051.6,14.31,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,372,438,71.8,6,-4.50,0.50,79,3.21,2.36,0.80,2.89,206,0.0,21.00,1256,0.00,3.54,0.000,-38.28,6.52,4.7,39,0.00,0
