Time (sec),AF Correction 1 (%),AF Correction 3 (%),AF Sens 1 Curr (mA),AF Sens 1 Ratio (AFR),AVCS Exh Table (°),AVCS In Table (°),Accel Position (%),Battery Volts (V),Boost Extended (psi),CL Fuel Target (AFR),CL Fuel Target Table (AFR),CPC Purge Valve Duty (%),Calculated Load (g/rev),Catalyst Temp (F),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv Base Table (°),Dynamic Adv Lrn (°),EGR Estimate (steps),Engine Start Mode (mode),Feedback Knock (°),Fine Knock Learn (°),Fuel Econ Corr (mult),Fuel Pressure (psi),Fuel Pressure Target (psi),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF Corr Final (g/s),MAF Table (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),Per Gear Boost (%),Primary Ign (°),RPM (RPM),Req Torque (Nm),TD Boost Error Ext (psi),TGV Map Ratio (mult),TPS Duty (%),Target Boost Final Abs Ext (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.4.0-17408][2016 USDM WRX MT COBB Custom Features Gen2][Reflash: Stage2+BigSF 91 v361 LWG.ptm - Realtime: Stage2+BigSF 91 v361 LWG.ptm]
0.000,-10.94,1.56,-0.25,14.19,0.00,-10.40,0.0,13.68,-10.10,14.37,14.73,0.0,0.18,734.0,15.42,196,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,398,438,71.8,1,6.50,0.34,75,2.52,2.80,0.84,3.12,202,0.0,17.00,794,0.00,5.62,0.000,-22.66,8.71,5.5,4,0.00,0
0.005,-10.94,1.56,-0.25,14.20,0.00,-10.40,0.0,13.68,-10.07,14.37,14.73,0.0,0.18,734.0,15.42,196,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,401,438,71.8,1,7.00,0.34,75,2.53,2.73,0.82,3.12,202,0.0,17.00,794,0.00,5.61,0.000,-28.91,8.71,5.5,4,0.00,0
0.031,-10.94,1.56,-0.25,14.22,0.00,-10.40,0.0,13.68,-10.05,14.37,14.73,0.0,0.18,734.0,15.42,196,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,399,438,71.8,1,7.00,0.34,75,2.55,2.86,0.82,3.14,202,0.0,17.00,793,0.00,5.56,0.000,-28.12,8.71,5.5,4,0.00,0
0.040,-10.94,1.56,-0.25,14.24,0.00,-10.40,0.0,13.68,-10.04,14.37,14.73,0.0,0.18,734.0,15.42,196,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,393,438,71.8,1,7.00,0.34,75,2.56,2.86,0.82,3.17,202,0.0,17.00,792,0.00,5.55,0.000,-28.12,8.71,5.5,4,0.00,0
0.045,-10.94,1.56,-0.25,14.24,0.00,-10.50,0.0,13.76,-10.02,14.37,14.73,0.0,0.19,733.8,15.42,196,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,393,438,71.8,1,7.50,0.34,75,2.57,2.92,0.84,3.21,202,0.0,17.50,792,0.00,5.53,0.000,-26.56,8.71,5.5,4,0.00,0
0.051,-10.94,1.56,-0.25,14.25,0.00,-10.50,0.0,13.76,-10.01,14.37,14.73,0.0,0.19,733.8,15.42,196,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,392,438,71.8,1,7.50,0.34,75,2.58,2.83,0.84,3.21,202,0.0,17.50,790,0.00,5.52,0.000,-26.56,8.71,5.5,4,0.00,0
0.055,-10.94,1.56,-0.12,14.28,0.00,-10.50,0.0,13.68,-9.97,14.37,14.73,0.0,0.19,733.8,15.42,196,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,394,438,71.8,1,7.50,0.34,75,2.61,2.86,0.84,3.23,202,0.0,17.50,790,0.00,5.49,0.000,-25.78,8.71,5.5,4,0.00,0
0.086,-10.94,1.56,-0.12,14.28,0.00,-10.50,0.0,13.68,-9.97,14.37,14.73,0.0,0.19,733.8,15.42,196,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,402,438,71.8,1,7.50,0.34,75,2.61,2.80,0.84,3.25,202,0.0,17.50,789,0.00,5.48,0.000,-25.78,8.71,5.5,4,0.00,0
0.116,-10.94,1.56,-0.12,14.30,0.00,-10.50,0.0,13.68,-9.92,14.37,14.73,0.0,0.19,733.8,15.42,196,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,406,438,71.8,1,8.00,0.34,75,2.63,2.80,0.84,3.28,202,0.0,17.50,786,0.00,5.45,0.000,-20.31,8.71,5.5,3,0.00,0
0.160,-10.16,1.56,-0.12,14.31,0.00,-10.50,0.0,13.68,-9.91,14.37,14.73,0.0,0.19,733.6,15.42,196,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,389,438,71.8,1,8.00,0.34,75,2.64,2.86,0.84,3.32,202,0.0,17.50,789,0.00,5.43,0.000,-28.12,8.71,5.5,3,0.00,0
0.217,-10.16,1.56,-0.12,14.32,0.00,-10.50,0.0,13.76,-9.89,14.37,14.73,0.0,0.19,733.6,15.42,196,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,393,438,71.8,1,7.50,0.34,75,2.66,2.89,0.86,3.34,202,0.0,17.50,789,0.00,5.40,0.000,-38.28,8.71,5.5,3,0.00,0
0.239,-10.16,1.56,-0.12,14.33,0.00,-10.50,0.0,13.76,-9.88,14.37,14.73,0.0,0.19,733.6,15.42,196,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,378,438,71.8,1,8.00,0.34,75,2.67,2.83,0.84,3.35,202,0.0,17.50,789,0.00,5.39,0.000,-24.22,8.71,5.1,3,0.00,0
0.245,-10.16,1.56,-0.12,14.35,0.00,-10.50,0.0,13.76,-9.87,14.37,14.73,0.0,0.19,733.6,15.42,196,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,399,438,71.8,1,8.00,0.34,75,2.68,2.76,0.84,3.35,202,0.0,17.50,789,0.00,5.39,0.000,-24.22,8.71,5.1,3,0.00,0
0.277,-10.16,1.56,-0.12,14.35,0.00,-10.50,0.0,13.68,-9.85,14.37,14.73,0.0,0.19,733.4,15.42,196,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,392,438,71.8,1,8.00,0.34,75,2.69,2.80,0.82,3.37,202,0.0,17.50,793,0.00,5.35,0.000,-32.81,8.71,5.1,3,0.00,0
0.312,-10.16,1.56,-0.12,14.38,0.00,-10.50,0.0,13.68,-9.84,14.37,14.73,0.0,0.19,733.4,15.42,196,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,396,438,71.8,1,7.50,0.34,75,2.70,2.76,0.82,3.39,202,0.0,17.50,797,0.00,5.34,0.000,-32.81,8.71,5.1,2,0.00,0
0.357,-10.16,1.56,-0.12,14.39,0.00,-10.50,0.0,13.68,-9.83,14.37,14.73,0.0,0.19,733.4,15.42,196,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,382,438,71.8,1,7.50,0.34,75,2.70,2.89,0.82,3.40,202,0.0,17.50,798,0.00,5.34,0.000,-32.81,8.71,5.1,2,0.00,0
0.384,-10.16,1.56,-0.12,14.40,0.00,-10.50,0.0,13.76,-9.82,14.37,14.73,0.0,0.19,733.4,15.42,196,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,402,438,71.8,1,7.50,0.34,75,2.70,2.86,0.84,3.40,202,0.0,17.50,797,0.00,5.34,0.000,-35.94,8.71,5.1,2,0.00,0
0.394,-10.16,1.56,-0.12,14.42,0.00,-10.50,0.0,13.60,-9.82,14.37,14.73,0.0,0.19,733.4,15.42,196,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,396,438,71.8,1,7.50,0.34,75,2.70,2.92,0.84,3.39,202,0.0,17.50,795,0.00,5.34,0.000,-36.72,8.71,5.1,2,0.00,0
