Time (sec),AF Correction 1 (%),AF Correction 3 (%),AF Sens 1 Curr (mA),AF Sens 1 Ratio (AFR),AVCS Exh Table (°),AVCS In Table (°),Accel Position (%),Battery Volts (V),Boost Extended (psi),CL Fuel Target (AFR),CL Fuel Target Table (AFR),CPC Purge Valve Duty (%),Calculated Load (g/rev),Catalyst Temp (F),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv Base Table (°),Dynamic Adv Lrn (°),EGR Estimate (steps),Engine Start Mode (mode),Feedback Knock (°),Fine Knock Learn (°),Fuel Econ Corr (mult),Fuel Pressure (psi),Fuel Pressure Target (psi),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF Corr Final (g/s),MAF Table (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),Per Gear Boost (%),Primary Ign (°),RPM (RPM),Req Torque (Nm),TD Boost Error Ext (psi),TGV Map Ratio (mult),TPS Duty (%),Target Boost Final Abs Ext (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.4.0-17408][2016 USDM WRX MT COBB Custom Features Gen2][Reflash: Stage2+BigSF 91 v361 LWG.ptm - Realtime: Stage2+BigSF 91 v361 LWG.ptm]
0.000,10.16,2.34,0.00,15.03,0.00,-10.79,0.0,14.00,-9.95,14.32,14.73,0.0,0.17,751.9,14.99,190,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,422,438,71.8,2,7.50,0.56,66,2.61,2.52,0.80,3.15,204,0.0,17.50,874,0.00,5.19,0.000,-27.34,8.31,5.1,9,0.00,0
0.026,10.16,2.34,0.00,15.00,0.00,-10.79,0.0,14.00,-9.94,14.32,14.73,0.0,0.17,751.9,14.99,190,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,400,438,71.8,2,7.50,0.56,66,2.60,2.49,0.78,3.13,204,0.0,17.50,873,0.00,5.20,0.000,-28.12,8.31,5.1,9,0.00,0
0.031,10.16,2.34,0.00,14.98,0.00,-10.79,0.0,14.00,-9.94,14.32,14.73,0.0,0.17,751.9,14.99,190,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,413,438,71.8,2,7.50,0.56,66,2.60,2.52,0.78,3.13,204,0.0,17.50,875,0.00,5.18,0.000,-28.12,8.30,5.1,9,0.00,0
0.063,10.16,2.34,0.00,14.96,0.00,-10.81,0.0,14.08,-9.94,14.32,14.73,0.0,0.17,751.9,14.99,190,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,408,438,71.8,2,7.50,0.56,66,2.61,2.49,0.78,3.13,204,0.0,17.50,876,0.00,5.19,0.000,-28.12,8.29,5.1,9,0.00,0
0.099,10.16,2.34,0.00,14.94,0.00,-10.82,0.0,13.84,-9.96,14.32,14.73,0.0,0.17,751.7,14.99,190,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,417,438,71.8,2,7.50,0.56,66,2.61,2.52,0.78,3.12,204,0.0,17.50,877,0.00,5.19,0.000,-28.91,8.29,5.1,9,0.00,0
0.128,10.16,2.34,0.00,14.93,0.00,-10.82,0.0,13.84,-9.95,14.32,14.73,0.0,0.17,751.7,14.99,190,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,403,438,71.8,2,7.50,0.56,66,2.61,2.64,0.78,3.11,204,0.0,17.50,878,0.00,5.17,0.000,-28.91,8.28,5.1,9,0.00,0
0.150,10.16,2.34,0.00,14.90,0.00,-10.83,0.0,14.08,-9.96,14.32,14.73,0.0,0.17,751.7,14.99,190,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,419,438,71.8,2,7.50,0.56,66,2.61,2.70,0.82,3.11,204,0.0,17.50,878,0.00,5.19,0.000,-28.12,8.28,5.1,9,0.00,0
0.159,10.16,2.34,0.00,14.88,0.00,-10.83,0.0,14.08,-9.96,14.32,14.73,0.0,0.17,751.7,14.99,190,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,420,438,71.8,2,7.50,0.56,66,2.61,2.80,0.82,3.10,204,0.0,17.50,880,0.00,5.19,0.000,-28.12,8.28,5.1,9,0.00,0
0.186,10.16,2.34,0.00,14.84,0.00,-10.85,0.0,14.08,-9.97,14.32,14.73,0.0,0.17,751.7,14.99,190,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,414,438,71.8,2,7.50,0.56,66,2.61,2.80,0.82,3.10,204,0.0,17.50,881,0.00,5.18,0.000,-28.91,8.26,5.1,8,0.00,0
0.190,10.16,2.34,0.00,14.82,0.00,-10.84,0.0,14.08,-9.97,14.32,14.73,0.0,0.17,751.6,14.99,190,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,413,438,71.8,2,7.50,0.56,66,2.61,2.80,0.82,3.10,204,0.0,17.50,882,0.00,5.18,0.000,-27.34,8.26,5.1,8,0.00,0
