Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),AVCS Exh Left (°),AVCS Exh Right (°),AVCS In Left (°),AVCS In Right (°),Accel Position (%),Baro Pressure (psi),Boost Extended (psi),CL Fuel Target (AFR),Calculated Load Ext (g/rev),Closed Loop Sw (on/off),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Ethanol Final (%),Feedback Knock (°),Fine Knock Learn (°),Fuel Pressure (psi),Fuel Pressure Target (psi),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),KS Noise Cyl 1 (raw),KS Noise Cyl 2 (raw),KS Noise Cyl 3 (raw),KS Noise Cyl 4 (raw),Limits Boost Table Base Rel SL Ext (psi),MAF Corr Final (g/s),MAF Table (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),RPM (RPM),Req Torque (Nm),Roughness Cyl 1 (count),Roughness Cyl 2 (count),Roughness Cyl 3 (count),Roughness Cyl 4 (count),Sns Only TGV R (raw),TGV Map Ratio (mult),Target Boost Final Rel Ext (psi),Throttle Pos (%),Wastegate Duty (%),"AP Info:[AP3-SUB-004 v1.7.4.2-18474][2016 USDM WRX MT COBB Custom Features Gen2][Reflash: 2016 WRX 91 - 09.ptm - Realtime: 2016 WRX 91 - 09.ptm]"
0.000,-16.41,0.00,14.25,0,0,0,0,0.0,13.05,-9.38,14.70,0.21,on,14.70,190,1.000,0.0,0.00,0.00,399,438,71.8,0,7.00,0.59,108,109,1,0,1,0,22.0,3.28,3.48,0.94,3.69,168,923,0.00,0,1,0,0,65.57,0.000,-10.17,6.7,0.00,0
0.035,-16.41,0.00,14.28,0,0,-1,0,0.0,13.05,-9.38,14.70,0.21,on,14.70,190,1.000,0.0,0.00,0.00,385,438,71.8,0,6.50,0.59,108,109,1,0,1,0,22.0,3.29,3.44,0.94,3.71,168,927,0.00,0,1,0,0,65.67,0.000,-10.16,6.7,0.00,0
0.038,-16.41,0.00,14.35,0,0,-1,0,0.0,13.05,-9.37,14.70,0.21,on,14.70,190,1.000,0.0,0.00,0.00,389,438,71.8,0,6.50,0.59,108,109,0,0,1,0,22.0,3.31,3.17,0.92,3.70,168,930,0.00,0,1,0,0,65.83,0.000,-10.15,6.7,0.00,0
0.062,-16.41,0.00,14.37,0,0,-1,0,0.0,13.05,-9.37,14.70,0.21,on,14.70,190,1.000,0.0,0.00,0.00,395,438,71.8,0,6.00,0.60,108,109,0,0,1,0,22.0,3.32,3.13,0.90,3.70,168,932,0.00,0,1,0,0,65.88,0.000,-10.15,6.3,0.00,0
0.083,-16.41,0.00,14.38,0,0,-1,0,0.0,13.05,-9.37,14.70,0.21,on,14.70,190,1.000,0.0,0.00,0.00,383,438,71.8,0,6.00,0.60,108,109,0,0,1,0,22.0,3.31,3.23,0.90,3.71,168,930,0.00,0,1,0,0,65.95,0.000,-10.15,6.3,0.00,0
0.094,-16.41,0.00,14.45,0,0,-1,0,0.0,13.05,-9.36,14.70,0.21,on,14.70,190,1.000,0.0,0.00,0.00,402,438,71.8,0,5.50,0.59,108,109,0,0,1,0,22.0,3.31,3.07,0.92,3.71,168,930,0.00,0,1,0,0,66.04,0.000,-10.15,6.3,0.00,0
0.098,-16.41,0.00,14.47,0,0,-1,0,2.4,13.05,-9.37,14.70,0.21,on,14.70,190,1.000,0.0,0.00,0.00,389,438,71.8,0,5.50,0.59,108,109,0,0,1,0,22.0,3.30,3.13,0.90,3.71,168,930,7.22,0,1,0,0,66.07,0.000,-9.73,6.3,0.00,0
0.122,-16.41,0.78,14.49,0,0,-1,0,7.5,13.05,-9.37,14.70,0.21,on,14.70,190,1.000,0.0,0.00,0.00,401,438,71.8,0,8.00,0.60,108,109,0,0,1,0,22.0,3.31,3.10,0.90,3.69,168,935,22.60,0,1,0,0,66.10,0.000,-3.71,7.9,0.00,0
0.125,-15.62,2.34,14.54,0,0,-1,0,14.9,13.05,-9.26,14.70,0.22,on,14.70,190,1.000,0.0,0.00,0.00,384,438,71.8,0,8.00,0.60,108,109,0,0,1,0,22.0,3.53,6.11,1.00,3.79,168,938,45.79,0,1,0,0,66.15,0.000,11.29,12.6,0.00,0
0.129,-15.62,3.91,14.58,0,0,-1,0,18.8,13.05,-9.12,14.70,0.24,on,14.70,190,1.000,0.0,0.00,0.00,402,438,71.8,0,9.00,0.60,108,109,0,0,1,0,22.0,3.90,13.03,1.34,3.79,168,944,57.49,0,1,0,0,66.17,0.000,15.92,17.7,0.00,0
