Time (sec),AF Correction 1 (%),AF Correction 3 (%),AF Sens 1 Curr (mA),AF Sens 1 Ratio (AFR),AVCS Exh Table (°),AVCS In Table (°),Accel Position (%),Battery Volts (V),Boost Extended (psi),CL Fuel Target (AFR),CL Fuel Target Table (AFR),CPC Purge Valve Duty (%),Calculated Load (g/rev),Catalyst Temp (F),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv Base Table (°),Dynamic Adv Lrn (°),EGR Estimate (steps),Engine Start Mode (mode),Feedback Knock (°),Fine Knock Learn (°),Fuel Econ Corr (mult),Fuel Pressure (psi),Fuel Pressure Target (psi),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF Corr Final (g/s),MAF Table (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),Per Gear Boost (%),Primary Ign (°),RPM (RPM),Req Torque (Nm),TD Boost Error Ext (psi),TGV Map Ratio (mult),TPS Duty (%),Target Boost Final Abs Ext (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.4.0-17408][2016 USDM WRX MT COBB Custom Features Gen2][Reflash: Stage2+BigSF 91 v361 LWG.ptm - Realtime: Stage2+BigSF 91 v361 LWG.ptm]
0.000,-0.78,3.91,-0.12,14.28,0.00,-11.11,0.0,14.08,-9.81,14.09,14.73,0.0,0.18,1114.8,14.42,194,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,425,438,71.8,1,0.50,0.58,63,2.77,2.89,0.84,3.12,209,0.0,18.50,909,0.00,4.95,0.000,-21.88,8.05,5.1,3,0.00,0
0.021,-0.78,3.91,-0.12,14.25,0.00,-11.10,0.0,14.00,-9.81,14.09,14.73,0.0,0.18,1114.8,14.42,194,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,415,438,71.8,1,0.50,0.58,63,2.76,2.89,0.84,3.12,209,0.0,18.00,907,0.00,4.96,0.000,-28.91,8.05,5.1,3,0.00,0
0.060,-0.78,3.91,-0.12,14.23,0.00,-11.10,0.0,14.00,-9.81,14.09,14.73,0.0,0.18,1114.8,14.42,194,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,421,438,71.8,1,0.50,0.58,63,2.76,2.80,0.84,3.12,209,0.0,18.00,906,0.00,4.95,0.000,-28.91,8.06,5.1,3,0.00,0
0.065,-0.78,3.91,-0.25,14.21,0.00,-11.08,0.0,14.00,-9.80,14.09,14.73,0.0,0.18,1114.8,14.42,194,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,434,438,71.8,1,1.00,0.58,63,2.75,2.76,0.82,3.12,209,0.0,18.00,904,0.00,4.97,0.000,-28.12,8.08,5.1,3,0.00,0
0.069,-0.78,3.91,-0.25,14.19,0.00,-11.06,0.0,14.00,-9.80,14.09,14.73,0.0,0.18,1114.6,14.42,194,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,435,438,71.8,1,1.00,0.58,63,2.74,2.76,0.82,3.13,209,0.0,18.00,902,0.00,4.99,0.000,-28.91,8.09,5.1,3,0.00,0
0.104,-0.78,3.91,-0.25,14.15,0.00,-11.06,0.0,14.00,-9.79,14.09,14.73,0.0,0.18,1114.6,14.42,194,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,437,438,71.8,1,1.00,0.58,63,2.74,2.70,0.82,3.13,209,0.0,18.00,902,0.00,4.98,0.000,-30.47,8.09,5.1,3,0.00,0
0.108,-0.78,3.91,-0.25,14.16,0.00,-11.05,0.0,13.92,-9.79,14.09,14.73,0.0,0.18,1114.6,14.42,194,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,426,438,71.8,1,1.00,0.58,63,2.73,2.76,0.82,3.13,209,0.0,18.00,900,0.00,4.99,0.000,-31.25,8.09,5.1,3,0.00,0
0.134,-0.78,3.91,-0.25,14.14,0.00,-11.05,0.0,13.92,-9.80,14.09,14.73,0.0,0.18,1114.6,14.42,194,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,431,438,71.8,1,1.00,0.58,63,2.73,2.83,0.82,3.13,209,0.0,18.00,899,0.00,4.98,0.000,-31.25,8.09,5.1,3,0.00,0
0.144,-1.56,3.91,-0.25,14.13,0.00,-11.04,0.0,14.00,-9.79,14.09,14.73,0.0,0.18,1114.6,14.64,194,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,439,438,71.8,1,1.00,0.57,63,2.72,2.92,0.84,3.13,209,0.0,18.00,897,0.00,5.00,0.000,-31.25,8.10,5.1,3,0.00,0
0.148,-1.56,3.91,-0.25,14.11,0.00,-11.02,0.0,14.00,-9.80,14.09,14.73,0.0,0.18,1114.6,14.64,194,0.750,0.00,0.00,0.0,0.0,0.00,0.00,1.000,432,438,71.8,1,1.00,0.57,63,2.72,2.92,0.84,3.13,209,0.0,18.00,897,0.00,5.00,0.000,-31.25,8.11,5.1,3,0.00,0
