Time (sec),AF Correction 1 (%),AF Correction 3 (%),AF Sens 1 Curr (mA),AF Sens 1 Ratio (AFR),AVCS Exh Table (°),AVCS In Table (°),Accel Position (%),Battery Volts (V),Boost Extended (psi),CL Fuel Target (AFR),CL Fuel Target Table (AFR),CPC Purge Valve Duty (%),Calculated Load (g/rev),Catalyst Temp (F),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv Base Table (°),Dynamic Adv Lrn (°),EGR Estimate (steps),Engine Start Mode (mode),Feedback Knock (°),Fine Knock Learn (°),Fuel Econ Corr (mult),Fuel Pressure (psi),Fuel Pressure Target (psi),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF Corr Final (g/s),MAF Table (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),Per Gear Boost (%),Primary Ign (°),RPM (RPM),Req Torque (Nm),TD Boost Error Ext (psi),TGV Map Ratio (mult),TPS Duty (%),Target Boost Final Abs Ext (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.4.0-17408][2016 USDM WRX MT COBB Custom Features Gen2][Reflash: Stage2+BigSF 91 v361 LWG.ptm - Realtime: Stage2+BigSF 91 v361 LWG.ptm]
0.000,0.00,0.00,3.25,22.20,0.00,-6.00,93.3,14.08,-10.20,13.64,14.60,0.0,0.14,1166.0,12.89,190,0.812,0.00,0.00,0.0,0.0,0.00,0.00,1.000,626,438,71.8,6,17.50,0.65,66,8.61,22.27,1.44,3.82,214,0.0,30.50,3076,156.03,11.85,1.000,39.84,14.70,18.5,82,0.00,0
0.006,0.00,6.25,3.38,22.20,10.00,20.00,100.0,13.84,-8.38,13.64,14.60,0.0,0.32,1165.5,12.67,190,0.812,0.00,0.00,0.0,0.0,0.00,0.00,1.000,481,637,71.8,6,19.00,2.65,66,18.03,42.44,2.30,6.51,214,0.0,29.50,3100,231.03,14.26,1.000,55.47,18.51,27.6,82,2.35,0
0.012,0.00,6.25,3.38,22.20,10.00,20.00,100.0,13.84,-7.45,13.64,14.60,0.0,0.41,1165.5,12.67,190,0.812,0.00,0.00,0.0,0.0,0.00,0.00,1.000,473,836,71.8,6,19.00,2.65,66,23.96,48.13,2.30,7.62,214,0.0,28.50,3111,261.02,16.19,1.000,55.47,21.32,27.6,82,2.35,0
0.017,0.00,6.25,2.75,22.20,10.00,20.00,100.0,14.00,-6.10,13.62,14.59,0.0,0.52,1165.5,12.76,190,0.812,0.00,0.00,0.0,0.0,0.00,0.00,1.000,676,1115,71.8,6,19.00,5.30,66,29.56,57.63,2.52,9.80,214,0.0,27.00,3106,291.02,18.19,1.000,99.22,24.29,100.0,82,11.76,0
0.064,0.00,6.25,1.75,22.20,10.00,22.09,100.0,14.00,-3.45,13.66,14.63,0.0,0.75,1165.5,12.80,190,0.812,1.05,0.00,5.0,0.0,0.00,0.00,1.000,1083,1539,71.8,6,18.50,6.59,66,39.66,66.85,2.74,11.22,214,-1.6,22.50,3088,350.00,22.66,1.000,-11.72,31.20,100.0,82,19.61,0
0.103,0.00,6.25,0.88,18.62,10.00,23.14,100.0,13.92,-2.16,13.48,14.44,0.0,0.81,1165.5,12.80,190,0.812,1.76,1.00,5.0,0.0,0.00,0.00,1.000,1368,1632,78.8,6,19.50,5.90,66,41.16,55.87,2.62,11.77,214,-1.6,21.00,3068,350.00,22.80,1.000,42.97,33.20,100.0,82,21.57,0
0.107,0.00,6.25,0.88,16.83,11.57,24.07,100.0,13.92,-1.48,13.46,14.42,0.0,0.84,1165.5,12.80,190,0.812,1.76,1.00,4.0,0.0,0.00,0.00,1.000,1514,1725,78.8,6,19.50,5.90,66,43.53,58.13,2.62,12.06,214,-1.6,20.00,3064,350.00,21.61,1.000,42.97,33.11,100.0,82,21.57,0
0.134,0.00,6.25,0.38,16.17,11.57,24.26,100.0,13.84,-1.16,13.46,14.42,0.0,0.85,1165.0,12.80,190,0.812,1.76,1.00,3.0,0.0,0.00,0.00,1.000,1628,1725,78.8,6,18.50,5.24,66,45.45,57.45,2.58,12.24,214,-1.6,19.50,3069,350.00,21.30,1.000,35.94,33.14,100.0,82,21.96,0
0.212,0.00,6.25,0.38,15.90,11.57,24.44,100.0,13.84,-0.92,13.66,14.62,0.0,0.87,1165.0,12.80,190,0.812,1.76,1.00,3.0,0.0,0.00,0.00,1.000,1647,1725,78.8,6,18.50,5.24,66,45.71,55.87,2.58,12.45,214,-1.6,19.50,3075,350.00,21.08,1.000,35.94,33.19,100.0,82,21.96,0
0.223,0.00,6.25,0.12,15.43,12.36,24.81,100.0,13.76,-0.58,13.65,14.61,0.0,0.92,1165.0,12.80,190,0.812,1.76,1.00,3.0,0.0,0.00,0.00,1.000,1583,1818,78.8,6,18.50,5.25,66,47.94,56.40,2.54,12.65,214,-1.6,18.00,3079,350.00,20.80,1.000,25.00,33.20,100.0,82,21.96,0
