Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),AVCS Exh Left (°),AVCS Exh Right (°),AVCS In Left (°),AVCS In Right (°),Accel Position (%),Baro Pressure (psi),Boost Extended (psi),CL Fuel Target (AFR),Calculated Load Ext (g/rev),Closed Loop Sw (on/off),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Ethanol Final (%),Feedback Knock (°),Fine Knock Learn (°),Fuel Pressure (psi),Fuel Pressure Target (psi),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),KS Noise Cyl 1 (raw),KS Noise Cyl 2 (raw),KS Noise Cyl 3 (raw),KS Noise Cyl 4 (raw),Limits Boost Table Base Rel SL Ext (psi),MAF Corr Final (g/s),MAF Table (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),RPM (RPM),Req Torque (Nm),Roughness Cyl 1 (count),Roughness Cyl 2 (count),Roughness Cyl 3 (count),Roughness Cyl 4 (count),Sns Only TGV R (raw),TGV Map Ratio (mult),Target Boost Final Rel Ext (psi),Throttle Pos (%),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.4.2-17441][2016 USDM WRX MT COBB Custom Features Gen2][Reflash: 2016 WRX 91 - 03.ptm - Realtime: 2016 WRX 91 - 03.ptm]
0.000,0.00,0.78,13.48,0,0,-2,0,22.4,13.20,-11.27,14.70,0.10,off,14.70,192,1.000,0.0,0.00,0.00,638,438,71.8,3,16.00,0.41,108,100,3,6,4,6,22.0,3.35,2.54,0.74,1.93,199,1909,27.35,0,0,0,0,66.48,0.000,3.86,10.2,0.00,0
0.006,0.00,0.78,13.50,0,0,-2,0,57.3,13.20,-11.23,14.70,0.12,off,14.70,192,1.000,0.0,0.00,0.00,631,438,71.8,3,16.00,0.41,108,100,4,6,4,3,22.0,3.91,4.30,0.74,2.00,199,1925,46.41,0,0,0,0,66.48,0.000,11.63,10.2,0.00,0
0.031,0.00,0.78,13.52,0,0,-1,0,81.2,13.20,-10.69,14.70,0.19,off,14.70,192,1.000,0.0,0.00,0.00,581,438,71.8,3,16.50,0.41,108,100,4,3,10,7,22.0,6.15,17.76,1.04,3.66,199,1918,79.34,0,0,0,0,66.49,0.000,19.18,15.4,0.78,0
0.036,-4.69,0.78,13.56,0,0,-1,-1,92.5,13.20,-9.62,14.70,0.28,off,14.70,192,1.000,0.0,0.00,0.00,554,518,71.8,3,17.00,1.23,108,100,7,3,3,7,22.0,10.89,36.42,1.68,6.18,199,1927,95.91,0,0,0,0,66.49,0.000,20.41,25.2,4.31,0
0.062,-4.69,0.78,13.60,0,0,-2,-2,100.0,13.20,-8.58,14.70,0.50,on,14.70,192,1.000,0.0,0.00,0.00,512,796,71.8,3,17.50,2.48,108,100,7,3,3,7,22.0,17.85,56.09,2.34,7.88,199,1945,121.15,0,0,0,0,66.48,0.000,21.01,35.4,8.24,0
0.095,-3.12,0.78,14.13,0,0,-7,-10,100.0,13.20,-2.65,14.52,0.87,on,14.64,192,1.000,0.0,0.00,0.00,1030,1646,71.8,3,8.00,3.40,108,102,44,8,5,52,22.0,28.21,46.29,2.38,12.77,199,1977,191.69,0,0,0,0,66.58,0.060,21.10,61.0,16.47,0
0.170,-3.12,0.78,14.14,0,0,-7,-10,100.0,13.20,-2.01,14.52,0.89,on,14.59,192,1.000,0.0,0.00,0.00,1258,1646,71.8,3,8.00,3.40,108,102,44,8,58,52,22.0,28.40,33.82,2.38,12.97,199,1908,208.75,0,0,0,0,66.04,0.090,21.10,61.0,16.47,0
0.175,-1.56,0.78,14.48,0,0,-13,-16,100.0,13.20,-0.70,14.48,0.88,on,14.53,192,1.000,0.0,0.00,0.00,1405,1646,71.8,3,11.50,3.20,108,102,98,39,167,118,22.0,27.60,27.05,1.90,13.15,199,1887,264.36,0,0,0,0,55.66,0.511,21.10,78.0,23.92,0
0.216,-1.56,0.78,14.48,1,0,-13,-17,100.0,13.20,-0.48,14.48,0.89,on,14.53,192,1.000,0.0,0.00,0.00,1427,1646,71.8,3,11.50,3.27,108,102,98,148,167,243,22.0,28.48,30.48,2.02,13.20,199,1930,280.64,0,0,0,0,49.16,0.765,21.10,100.0,27.84,0
0.227,-1.56,0.78,14.44,1,0,-13,-17,100.0,13.20,-0.31,14.48,0.89,on,14.53,192,1.000,0.0,0.00,0.00,1425,1646,71.8,3,11.50,3.27,108,102,444,148,331,243,22.0,29.05,27.56,2.02,13.26,199,1961,306.06,0,0,0,0,43.44,0.785,21.10,100.0,27.84,0
