Time (sec),AF Correction 1,AF Learning 1,AF Sensor 1 Ratio,Accelerator Position,Barometric Pressure,Boost Limits Base FINAL Abs Extended,Boost Target FINAL Abs Extended,Calculated Load,Calculated Load Extended,Catalyst Temperature,Closed Loop Fuel Target,Coolant Temperature,Dynamic Advance Final,Dynamic Advance Multiplier,Engine Speed,Feedback Knock Correction,Fine Knock Learning,Fuel Injector Timing CRANKING TABLE,Fuel Pressure Target Main TABLE,Fuel Pump Duty,Gear Position ESTIMATED,Ignition Timing,Intake Temperature Manifold,Intake Temperature Pre Turbo,Knock Sensor Level Threshold Cylinder 1,Knock Sensor Level Threshold Cylinder 2,Knock Sensor Level Threshold Cylinder 3,Knock Sensor Level Threshold Cylinder 4,Knock Sensor Noise Level Cylinder 1,Knock Sensor Noise Level Cylinder 2,Knock Sensor Noise Level Cylinder 3,Knock Sensor Noise Level Cylinder 4,Knock Sum,Manifold Abs Pressure,Manifold Abs Pressure Extended BOOST CONTROL,Manifold Abs Pressure Extended RAW,Mass Airflow Corrected FINAL,Mass Airflow Corrected SD,Oil Temperature,Primary Ignition,Requested Torque,Throttle Position,Vehicle Speed,Wastegate Duty,Wastegate Duty Cycles High TABLE,Wastegate Duty Cycles Low TABLE,Wastegate Duty Max,Manifold Rel Pressure Extended,Inj Duty Cycle
0.572,1.56,8.59,1.00,0.0,0.90,0.2,0.59,0.18,0.18,253.4,1.00,90,0.00,1.0000,709,0.00,0.00,40,30.2,71.8,0,5.50,59,58,2662,2867,2611,2560,0,0,0,0,20,0.25,0.24,0.24,2.18,3.02,97,17.00,0.00,5.1,0,0.00,0.00,0.00,0.00,-0.66,0.48
0.597,1.56,8.59,1.00,0.0,0.90,0.2,0.59,0.18,0.18,253.4,1.00,90,0.00,1.0000,709,0.00,0.00,40,30.2,71.8,0,5.50,59,58,2662,2867,2611,2560,0,0,0,0,20,0.25,0.24,0.25,2.19,3.03,97,17.00,0.00,5.1,0,0.00,0.00,0.00,0.00,-0.66,0.48
0.618,1.56,8.59,1.00,0.0,0.90,0.2,0.59,0.18,0.18,253.4,1.00,90,0.00,1.0000,710,0.00,0.00,40,30.2,71.8,0,5.50,59,58,2662,2867,2611,2560,0,0,0,0,20,0.25,0.24,0.24,2.19,3.02,97,17.00,0.00,5.1,0,0.00,0.00,0.00,0.00,-0.66,0.48
0.637,1.56,8.59,1.00,0.0,0.90,0.2,0.59,0.18,0.19,253.4,1.00,90,0.00,1.0000,710,0.00,0.00,40,30.2,71.8,0,5.50,59,58,2662,2867,2611,2560,0,0,0,0,20,0.25,0.24,0.25,2.19,3.04,97,17.00,0.00,5.1,0,0.00,0.00,0.00,0.00,-0.66,0.48
0.657,1.56,8.59,1.01,0.0,0.90,0.2,0.59,0.18,0.18,253.4,1.00,90,0.00,1.0000,713,0.00,0.00,40,30.2,71.8,0,5.50,59,58,2662,2867,2611,2560,0,0,0,0,20,0.25,0.24,0.24,2.20,3.04,97,17.00,0.00,5.1,0,0.00,0.00,0.00,0.00,-0.66,0.48
0.686,1.56,8.59,1.00,0.0,0.90,0.2,0.59,0.18,0.18,253.4,1.00,90,0.00,1.0000,714,0.00,0.00,40,30.2,71.8,0,5.50,59,58,2662,2867,2611,2560,0,0,0,0,20,0.25,0.25,0.24,2.20,3.06,97,17.00,0.00,5.1,0,0.00,0.00,0.00,0.00,-0.65,0.49
0.705,1.56,8.59,1.00,0.0,0.90,0.2,0.59,0.18,0.19,253.4,1.00,90,0.00,1.0000,713,0.00,0.00,40,30.2,71.8,0,5.50,59,58,2662,2867,2611,2560,0,0,0,0,20,0.25,0.24,0.25,2.20,3.04,97,17.00,0.00,5.1,0,0.00,0.00,0.00,0.00,-0.66,0.48
0.726,1.56,8.59,1.00,0.0,0.90,0.2,0.59,0.18,0.19,253.4,1.00,90,0.00,1.0000,713,0.00,0.00,40,30.2,71.8,0,5.50,59,58,2662,2867,2611,2560,0,0,0,0,20,0.25,0.25,0.24,2.20,3.05,97,17.00,0.00,5.1,0,0.00,0.00,0.00,0.00,-0.65,0.48
0.757,1.56,8.59,1.00,0.0,0.90,0.2,0.59,0.18,0.19,253.4,1.00,90,0.00,1.0000,713,0.00,0.00,40,30.2,71.8,0,5.50,59,58,2662,2867,2611,2560,0,0,1,0,20,0.25,0.24,0.25,2.20,3.05,97,17.00,0.00,5.1,0,0.00,0.00,0.00,0.00,-0.66,0.48
0.778,1.56,8.59,1.00,0.0,0.90,0.2,0.59,0.18,0.19,253.4,1.00,90,0.00,1.0000,709,0.00,0.00,40,30.2,71.8,0,5.50,59,58,2662,2867,2611,2560,0,0,1,0,20,0.25,0.24,0.24,2.20,3.05,96,17.00,0.00,5.1,0,0.00,0.00,0.00,0.00,-0.66,0.48
0.800,1.56,8.59,1.00,0.0,0.90,0.2,0.59,0.18,0.19,253.4,1.00,90,0.00,1.0000,706,0.00,0.00,40,30.2,71.8,0,5.50,59,58,2662,2867,2611,2560,0,0,1,0,20,0.25,0.24,0.25,2.19,3.02,96,17.00,0.00,5.1,0,0.00,0.00,0.00,0.00,-0.66,0.48
0.820,1.56,8.59,1.00,0.0,0.90,0.2,0.59,0.18,0.19,253.4,1.00,90,0.00,1.0000,708,0.00,0.00,40,30.2,71.8,0,5.50,59,58,2662,2867,2611,2560,0,0,1,0,20,0.25,0.24,0.24,2.19,3.02,96,17.00,0.00,5.1,0,0.00,0.00,0.00,0.00,-0.66,0.49
0.839,1.56,8.59,1.00,0.0,0.90,0.2,0.59,0.18,0.19,253.4,1.00,90,0.00,1.0000,710,0.00,0.00,40,30.2,71.8,0,5.50,59,58,2662,2867,2611,2560,0,0,1,0,20,0.25,0.24,0.25,2.19,3.03,96,17.00,0.00,5.1,0,0.00,0.00,0.00,0.00,-0.66,0.49
0.857,1.56,8.59,1.00,0.0,0.90,0.2,0.59,0.18,0.19,253.3,1.00,90,0.00,1.0000,709,0.00,0.00,40,30.2,71.8,0,5.50,59,58,2662,2867,2611,2560,0,0,1,0,20,0.25,0.24,0.24,2.19,3.03,96,17.00,0.00,5.1,0,0.00,0.00,0.00,0.00,-0.66,0.49
0.878,1.56,8.59,1.00,0.0,0.90,0.2,0.59,0.18,0.19,253.3,1.00,90,0.00,1.0000,709,0.00,0.00,40,30.2,71.8,0,5.50,59,58,2662,2867,2611,2560,0,0,1,0,20,0.25,0.24,0.25,2.19,3.02,96,17.00,0.00,5.1,0,0.00,0.00,0.00,0.00,-0.66,0.49
0.906,1.56,8.59,1.00,0.0,0.90,0.2,0.59,0.18,0.18,253.3,1.00,90,0.00,1.0000,709,0.00,0.00,40,30.2,71.8,0,5.50,59,58,2662,2867,2611,2560,0,0,1,0,20,0.25,0.24,0.24,2.18,3.03,96,17.00,0.00,5.1,0,0.00,0.00,0.00,0.00,-0.66,0.49
0.926,1.56,8.59,1.00,0.0,0.90,0.2,0.59,0.18,0.19,253.3,1.00,90,0.00,1.0000,708,0.00,0.00,40,30.2,71.8,0,5.50,59,58,2662,2867,2611,2560,0,0,0,0,20,0.25,0.24,0.25,2.18,3.02,96,17.00,0.00,5.1,0,0.00,0.00,0.00,0.00,-0.66,0.48
0.946,1.56,8.59,1.00,0.0,0.90,0.2,0.59,0.18,0.18,253.3,1.00,90,0.00,1.0000,708,0.00,0.00,40,30.2,71.8,0,5.50,59,58,2662,2867,2611,2560,0,0,0,0,20,0.25,0.24,0.24,2.18,3.02,96,17.00,0.00,5.1,0,0.00,0.00,0.00,0.00,-0.66,0.48
0.978,1.56,8.59,1.00,0.0,0.90,0.2,0.59,0.18,0.19,253.3,1.00,90,0.00,1.0000,705,0.00,0.00,40,30.2,71.8,0,5.50,59,58,2662,2867,2611,2560,0,0,0,0,20,0.25,0.24,0.24,2.18,3.01,96,17.00,0.00,5.1,0,0.00,0.00,0.00,0.00,-0.66,0.48
0.997,1.56,8.59,1.00,0.0,0.90,0.2,0.59,0.18,0.18,253.3,1.00,90,0.00,1.0000,708,0.00,0.00,40,30.2,71.8,0,5.50,59,58,2662,2867,2611,2560,0,0,0,0,20,0.25,0.24,0.24,2.18,3.01,96,17.00,0.00,5.1,0,0.00,0.00,0.00,0.00,-0.66,0.49
1.019,1.56,8.59,1.00,0.0,0.90,0.2,0.59,0.18,0.18,253.3,1.00,90,0.00,1.0000,708,0.00,0.00,40,30.2,71.8,0,5.50,59,58,2662,2867,2611,2560,0,0,0,0,20,0.25,0.24,0.25,2.18,3.02,96,17.00,0.00,5.1,0,0.00,0.00,0.00,0.00,-0.66,0.49
1.039,1.56,8.59,1.00,0.0,0.90,0.2,0.59,0.18,0.18,253.3,1.00,90,0.00,1.0000,706,0.00,0.00,40,30.2,71.8,0,5.50,59,58,2662,2867,2611,2560,0,0,0,0,20,0.25,0.24,0.24,2.18,3.01,96,17.00,0.00,5.1,0,0.00,0.00,0.00,0.00,-0.66,0.48
1.057,1.56,8.59,1.00,0.0,0.90,0.2,0.59,0.18,0.18,253.3,1.00,90,0.00,1.0000,705,0.00,0.00,40,30.2,71.8,0,5.50,59,58,2662,2867,2611,2560,0,0,0,0,20,0.25,0.24,0.25,2.17,3.01,96,17.00,0.00,5.1,0,0.00,0.00,0.00,0.00,-0.66,0.48
1.079,1.56,8.59,1.00,0.0,0.90,0.2,0.59,0.18,0.18,253.3,1.00,90,0.00,1.0000,706,0.00,0.00,40,30.2,71.8,0,5.50,59,58,2662,2867,2611,2560,0,0,0,0,20,0.25,0.24,0.24,2.17,3.01,96,17.00,0.00,5.1,0,0.00,0.00,0.00,0.00,-0.66,0.48
1.097,1.56,8.59,1.00,0.0,0.90,0.2,0.59,0.18,0.18,253.3,1.00,90,0.00,1.0000,706,0.00,0.00,40,30.2,71.8,0,5.50,59,58,2662,2867,2611,2560,0,0,0,0,20,0.25,0.24,0.25,2.17,3.01,96,17.00,0.00,5.1,0,0.00,0.00,0.00,0.00,-0.66,0.48
1.118,1.56,8.59,1.00,0.0,0.90,0.2,0.59,0.18,0.19,253.3,1.00,90,0.00,1.0000,703,0.00,0.00,40,30.2,71.8,0,5.50,59,58,2662,2867,2611,2560,0,0,0,0,20,0.25,0.24,0.24,2.17,3.01,96,17.00,0.00,5.1,0,0.00,0.00,0.00,0.00,-0.66,0.48
1.137,1.56,8.59,1.00,0.0,0.90,0.2,0.59,0.18,0.19,253.3,1.00,90,0.00,1.0000,702,0.00,0.00,40,30.2,71.8,0,5.50,59,58,2662,2867,2611,2560,0,0,0,0,20,0.25,0.24,0.25,2.17,3.00,96,17.00,0.00,5.1,0,0.00,0.00,0.00,0.00,-0.66,0.48
1.157,1.56,8.59,1.00,0.0,0.90,0.2,0.59,0.18,0.18,253.3,1.00,90,0.00,1.0000,703,0.00,0.00,40,30.2,71.8,0,5.50,59,58,2662,2867,2611,2560,0,0,0,0,20,0.25,0.24,0.24,2.17,3.00,96,17.00,0.00,5.1,0,0.00,0.00,0.00,0.00,-0.66,0.49
1.179,1.56,8.59,1.00,0.0,0.90,0.2,0.59,0.18,0.18,253.3,1.00,90,0.00,1.0000,704,0.00,0.00,40,30.2,71.8,0,6.00,59,58,2662,2867,2611,2560,0,0,0,0,20,0.25,0.24,0.25,2.17,3.00,96,17.00,0.00,5.1,0,0.00,0.00,0.00,0.00,-0.66,0.49
